,UNC119B (84747)
ACH-000004,-0.0861710922872
ACH-000007,-0.08938847038460002
ACH-000009,-0.21455110548300002
ACH-000011,-0.226647039096
ACH-000012,-0.18914127363299998
ACH-000013,-0.0279223026365
ACH-000014,-0.358707149095
ACH-000015,-0.2697991253
ACH-000017,0.0281385909423
ACH-000018,-3.53061322018e-05
ACH-000019,0.0248724113923
ACH-000021,-0.133662547007
ACH-000022,-0.237165265479
ACH-000025,-0.316906827522
ACH-000028,-0.0728347762609
ACH-000030,-0.127361886931
ACH-000035,-0.0287447567595
ACH-000036,-0.16133666042300002
ACH-000037,-0.227966972421
ACH-000039,-0.147707947712
ACH-000040,-0.380217692321
ACH-000041,-0.19924297018599998
ACH-000042,-0.21362383712699998
ACH-000045,-0.212155502478
ACH-000047,-0.149990294905
ACH-000052,0.19816228494600002
ACH-000053,-0.116570494152
ACH-000054,-0.154109681788
ACH-000055,-0.40981377269
ACH-000060,-0.101214393959
ACH-000067,-0.450653766022
ACH-000070,-0.111321977373
ACH-000075,-0.0871866654485
ACH-000078,-0.17874105238200003
ACH-000082,-0.291581537784
ACH-000085,-0.0985807098542
ACH-000086,-0.00846274898583
ACH-000087,-0.19549515290999997
ACH-000092,-0.172640783885
ACH-000095,-0.22518473230099997
ACH-000097,-0.0605741651439
ACH-000098,-0.264480793152
ACH-000099,-0.233568900628
ACH-000108,-0.150140186255
ACH-000113,-0.0435857850064
ACH-000115,-0.328649048582
ACH-000116,-0.146908884669
ACH-000118,-0.280703600145
ACH-000120,-0.284970121209
ACH-000123,-0.0470412420271
ACH-000127,-0.188119107065
ACH-000128,-0.28056572323199996
ACH-000132,-0.119268403366
ACH-000133,-0.16821121515
ACH-000137,-0.0482691989476
ACH-000138,-0.09266689189470001
ACH-000142,-0.00307505193846
ACH-000143,0.156064158313
ACH-000146,-0.177317698422
ACH-000148,0.0749679501433
ACH-000150,-0.331812064811
ACH-000152,-0.117894835999
ACH-000153,-0.33596456485
ACH-000159,-0.267892858723
ACH-000160,-0.21750605088199998
ACH-000163,-0.154629203369
ACH-000167,-0.0325387388041
ACH-000168,-0.159706650768
ACH-000169,-0.0335789721535
ACH-000178,-0.0749185169761
ACH-000182,-0.0539331636764
ACH-000183,-0.03949501236419999
ACH-000188,-0.11600125464000001
ACH-000189,0.0400069253794
ACH-000190,-0.46683042586499995
ACH-000198,-0.0536424970639
ACH-000204,-0.355201889502
ACH-000206,-0.16858594116099998
ACH-000207,-0.0216680966988
ACH-000211,-0.0284527599748
ACH-000215,-0.0172081496685
ACH-000221,-0.154732629047
ACH-000222,-0.1716468559
ACH-000223,-0.17889392065
ACH-000226,-0.125978876235
ACH-000227,-0.19903569945
ACH-000228,0.0718590242526
ACH-000231,-0.15287003809
ACH-000232,-0.15008555047299998
ACH-000233,-0.153340900043
ACH-000234,-0.345607153829
ACH-000235,-0.16896695377
ACH-000237,-0.20192028450999996
ACH-000238,-0.19702949114999999
ACH-000243,-0.11397131070999998
ACH-000244,-0.160886163484
ACH-000246,-0.0253566174185
ACH-000248,0.0647630546171
ACH-000250,-0.191439108264
ACH-000251,-0.239956181547
ACH-000253,-0.108883867425
ACH-000255,-0.12208187789899999
ACH-000256,-0.095249589514
ACH-000257,-0.102814761243
ACH-000258,-0.150179118386
ACH-000259,-0.155456060752
ACH-000260,-0.195812357784
ACH-000261,-0.131933838726
ACH-000262,-0.275927335823
ACH-000263,-0.384845344775
ACH-000264,-0.159258831324
ACH-000265,-0.159905370444
ACH-000266,-0.142088223874
ACH-000272,0.0037002981132399997
ACH-000273,-0.13028058554400002
ACH-000274,0.100972711719
ACH-000277,-0.451596114158
ACH-000278,-0.219162465947
ACH-000279,-0.116528153522
ACH-000280,-0.0527916600027
ACH-000281,-0.282427750716
ACH-000288,-0.161488476364
ACH-000291,-0.030090844408900003
ACH-000293,-0.122014319649
ACH-000294,-0.10210621148700001
ACH-000295,-0.0785102866422
ACH-000296,-0.32593248001200004
ACH-000302,-0.15591301206
ACH-000304,-0.20939142674400002
ACH-000307,-0.15453781902799998
ACH-000308,-0.0831844056738
ACH-000310,-0.298887041476
ACH-000311,-0.119387770394
ACH-000312,0.0377095884991
ACH-000315,-0.34912537166599994
ACH-000316,-0.24789287866300003
ACH-000317,-0.175780869599
ACH-000318,0.11563217322699999
ACH-000319,-0.000300810253274
ACH-000320,-0.46052009266800004
ACH-000322,-0.17122337021899997
ACH-000323,-0.398556608382
ACH-000324,-0.0157386934027
ACH-000329,-0.15021387725
ACH-000330,-0.021093003697299998
ACH-000331,-0.155569662729
ACH-000332,-0.155185639959
ACH-000334,-0.0689306246428
ACH-000335,-0.40028247184199994
ACH-000336,-0.283336817745
ACH-000337,-0.08878254706180001
ACH-000339,-0.17681907525899998
ACH-000341,-0.252499566017
ACH-000348,-0.40961816397
ACH-000350,-0.0664516847294
ACH-000352,0.0314072041299
ACH-000356,-0.139642092355
ACH-000361,-0.050868943254
ACH-000362,-0.0164298094472
ACH-000363,-0.232103995371
ACH-000364,-0.09497415687239999
ACH-000365,-0.0766901347261
ACH-000366,-0.224885294408
ACH-000368,-0.38206797992799996
ACH-000374,-0.317557830286
ACH-000375,-0.097452838177
ACH-000376,-0.279277574095
ACH-000381,-0.375552144412
ACH-000383,-0.09950956834289999
ACH-000387,-0.187937081601
ACH-000389,-0.0305369418253
ACH-000390,-0.020373574171099997
