,RAC3 (5881)
ACH-000004,-0.701566303455
ACH-000007,-0.14851709640900002
ACH-000009,-0.5003933777440001
ACH-000011,-0.613042765491
ACH-000012,-0.67586912894
ACH-000013,-0.410586401659
ACH-000014,-0.375119542305
ACH-000015,-0.53657954609
ACH-000017,-0.445810860856
ACH-000018,-0.39485489492299997
ACH-000019,-0.267068275902
ACH-000021,-0.38828298755
ACH-000022,-0.553040288298
ACH-000025,-0.568371541641
ACH-000028,-0.326760076686
ACH-000030,-0.564210457638
ACH-000035,-0.460079494051
ACH-000036,-0.552855720353
ACH-000037,-0.633520763635
ACH-000039,-0.568500086481
ACH-000040,-0.481874995544
ACH-000041,-0.7984393299279999
ACH-000042,-0.6564547370620001
ACH-000045,-0.554944119462
ACH-000047,-0.45511134912699996
ACH-000052,-0.713951094606
ACH-000053,-0.41142400020900005
ACH-000054,-0.736540730549
ACH-000055,-0.468220648469
ACH-000060,-0.49122051137500006
ACH-000067,-0.364168333458
ACH-000070,-0.344836553654
ACH-000075,-0.23190666293099998
ACH-000078,-0.640018357109
ACH-000082,-0.500994044077
ACH-000085,-0.48847608224600003
ACH-000086,-0.391615765723
ACH-000087,-0.565432070695
ACH-000092,-0.36142795319
ACH-000095,-0.427455774184
ACH-000097,-0.517100828076
ACH-000098,-0.473227187261
ACH-000099,-0.822043440819
ACH-000108,-0.557882456486
ACH-000113,-0.647802790557
ACH-000115,-0.666187856543
ACH-000116,-0.497778998824
ACH-000118,-0.42857629211900006
ACH-000120,-0.656293082664
ACH-000123,-0.410894347461
ACH-000127,-0.447867971087
ACH-000128,-0.443345597891
ACH-000132,-0.5211274285399999
ACH-000133,-0.504381136066
ACH-000137,-0.331308758436
ACH-000138,-0.381830036677
ACH-000142,-0.7723985503470001
ACH-000143,-0.39188112801200004
ACH-000146,-0.601549206382
ACH-000148,-0.597758765102
ACH-000150,-0.532429997208
ACH-000152,-0.542209359095
ACH-000153,-0.7750651864679999
ACH-000159,-0.538314178017
ACH-000160,-0.47798840797200004
ACH-000163,-0.411259262082
ACH-000167,-0.500162398203
ACH-000168,-0.6248270856979999
ACH-000169,-0.6061080857460001
ACH-000178,-0.453490459063
ACH-000182,-0.743793616648
ACH-000183,-0.40434904404700006
ACH-000188,-0.526522610682
ACH-000189,-0.722912956806
ACH-000190,-0.548243826249
ACH-000198,-0.628309414865
ACH-000204,-0.0852544962754
ACH-000206,-0.491418399999
ACH-000207,-0.405831528151
ACH-000211,-0.48253638431999996
ACH-000215,-0.499328919251
ACH-000221,-0.51771428929
ACH-000222,-0.38222313668700003
ACH-000223,-0.551762345014
ACH-000226,-0.451748342618
ACH-000227,-0.281974727861
ACH-000228,-0.323535669245
ACH-000231,-0.640895407913
ACH-000232,-0.49552690706200003
ACH-000233,-0.439073946722
ACH-000234,-0.607055494864
ACH-000235,-0.618463605911
ACH-000237,-0.450189276726
ACH-000238,-0.592390858556
ACH-000243,-0.6523910560639999
ACH-000244,-0.43897945747100003
ACH-000246,-0.6654450564800001
ACH-000248,-0.798977361876
ACH-000250,-0.617150740128
ACH-000251,-0.722412506816
ACH-000253,-0.621306841886
