,TTLL10 (254173)
ACH-000406,0.019935979951400003
ACH-000407,0.15018294806399998
ACH-000408,-0.16197363269099999
ACH-000410,0.112683617985
ACH-000411,0.045981025327699994
ACH-000414,-0.08876203086449999
ACH-000415,0.00741725866935
ACH-000416,0.007189270166720001
ACH-000420,0.055074253245199996
ACH-000421,0.00317877334058
ACH-000424,0.053597163654199996
ACH-000425,0.0819160055353
ACH-000426,0.113930614678
ACH-000427,0.053490974572
ACH-000433,0.00879994229948
ACH-000436,0.183098304762
ACH-000444,0.024653030887
ACH-000445,0.22590388303300002
ACH-000448,0.218797090935
ACH-000450,0.066457335437
ACH-000452,0.00245749387608
ACH-000454,0.106213526777
ACH-000458,-0.0212269907766
ACH-000459,0.00987485622144
ACH-000460,-0.0326903246745
ACH-000461,0.034036670893099995
ACH-000463,-0.0512408382792
ACH-000464,0.0480537033674
ACH-000466,-0.161347151037
ACH-000467,-0.133117343282
ACH-000468,0.015084113093000001
ACH-000469,0.0536084639566
ACH-000470,0.116673667408
ACH-000471,0.026800607628599996
ACH-000472,0.020229130834400002
ACH-000473,-0.288242196266
ACH-000475,0.021774805948
ACH-000476,-0.0555260139558
ACH-000477,-0.0535063033213
ACH-000480,0.0533581336087
ACH-000481,0.1126455521
ACH-000483,0.010952388155200003
ACH-000484,0.0630172184696
ACH-000485,0.0141398628547
ACH-000486,0.0473811953092
ACH-000487,-0.0684787966356
ACH-000488,-0.084863584452
ACH-000490,0.0436880275803
ACH-000491,0.146880545517
ACH-000495,0.136333353957
ACH-000496,0.00476672270209
ACH-000499,0.152308550516
ACH-000500,0.148625961387
ACH-000502,-0.102812583838
ACH-000503,0.28675703421
ACH-000505,0.165467148394
ACH-000507,-0.07123464440510001
ACH-000510,0.0397063425015
ACH-000511,0.0750751886274
ACH-000512,-0.0141944135439
ACH-000516,-0.048097182060699996
ACH-000517,0.00966344969268
ACH-000518,-0.15478013200500002
ACH-000520,-0.119587365888
ACH-000521,-0.30209601671999997
ACH-000522,0.032166606714400005
ACH-000524,-0.035214279364
ACH-000527,-0.0029672378702500003
ACH-000528,0.053750713327599994
ACH-000537,-0.0358668458928
ACH-000541,-0.0349188251764
ACH-000542,-0.057093605002199996
ACH-000544,-0.0671751364829
ACH-000545,0.264192005787
ACH-000547,0.24647207957800002
ACH-000548,0.23073423729200002
ACH-000549,0.029646692148000003
ACH-000550,-0.158792555925
ACH-000552,0.0751948620562
ACH-000556,0.0846625444167
ACH-000557,-0.07493696292299999
ACH-000570,-0.00562350445216
ACH-000571,-0.0663785335672
ACH-000573,-0.0651312792147
ACH-000576,-0.21333044473999999
ACH-000580,-0.168443915236
ACH-000584,0.0584138066022
ACH-000585,0.0607521215322
ACH-000588,0.076499472244
ACH-000589,-0.07198759206710001
ACH-000591,0.131654468148
ACH-000593,-0.170747026094
ACH-000600,0.0982242743195
ACH-000601,0.0549228233922
ACH-000604,-0.18102614702
ACH-000605,0.09758613963150001
ACH-000606,0.0979978738989
ACH-000608,0.09141665297160001
ACH-000614,-0.032823537562
ACH-000616,-0.050164571561900004
ACH-000618,0.0148311929486
ACH-000619,-0.22459068639199997
ACH-000620,0.0619823546856
ACH-000621,-0.09229849667850001
ACH-000622,-0.256949501947
ACH-000623,-0.11668648414
ACH-000624,-0.0263312693536
ACH-000627,-0.10000833570800001
ACH-000630,0.037018794744
ACH-000632,-0.0381229224417
ACH-000633,-0.12187539454000001
ACH-000637,0.280499234898
ACH-000638,0.0419684513072
ACH-000646,0.16730521248
ACH-000647,0.0589064103153
ACH-000648,0.025611696349200002
ACH-000649,-0.058217112544800005
ACH-000651,0.00100074667096
ACH-000652,-0.0037351617185
ACH-000653,-0.143064190151
ACH-000657,-0.054785138125
ACH-000658,0.104409549816
ACH-000661,-0.15680450378
ACH-000662,0.235573532033
ACH-000663,0.17975283507800002
ACH-000665,0.11715227399700001
ACH-000671,0.19497016535
ACH-000673,0.011188077378
ACH-000676,0.131938018001
ACH-000677,0.17175325041700001
ACH-000681,-0.0236142233731
ACH-000682,0.020487340270599997
ACH-000683,0.00506994557143
ACH-000684,0.289152949216
ACH-000688,-0.09326632760579999
ACH-000693,0.0733405961141
ACH-000694,0.034700840421599995
ACH-000695,-0.045557454128599996
ACH-000696,0.04938925631990001
ACH-000697,0.186407127148
ACH-000699,-0.0550543703635
ACH-000701,-0.0944611880911
ACH-000706,-0.06991576819560001
ACH-000711,0.0273243111035
ACH-000713,0.0367223404438
ACH-000714,-0.0999236445455
ACH-000718,-0.140578555972
ACH-000720,0.0365334315582
ACH-000721,-0.0452518214149
ACH-000724,-0.0127532231809
ACH-000725,0.050169254157099996
ACH-000732,0.0794474011708
ACH-000734,-0.07996260757660001
ACH-000735,0.07122800832960001
ACH-000736,0.0631536707957
ACH-000738,0.0402813482194
ACH-000746,0.258648439947
ACH-000747,0.159158837993
ACH-000748,0.157982730426
ACH-000753,0.015734064991
ACH-000756,0.019899618082599997
ACH-000757,-0.12121170401900001
ACH-000758,0.015521354321899999
ACH-000760,0.0454023289516
ACH-000763,-0.0172258964444
ACH-000764,-0.015659159168499998
ACH-000765,-0.12888941712000002
ACH-000766,-0.09468754661550001
ACH-000767,0.0906106477475
ACH-000768,0.157937219811
ACH-000769,0.0235699870013
ACH-000770,-0.101364516843
ACH-000771,0.032649717642000003
ACH-000773,-0.0576325418324
ACH-000776,0.0101106888608
ACH-000777,-0.0038119440609499997
ACH-000778,0.0280290396359
ACH-000781,-0.00113562274211
ACH-000782,-0.00509077122574
ACH-000783,-0.029277043098
ACH-000784,-0.00483316454754
ACH-000785,0.037797128490800004
ACH-000787,0.0406729126743
ACH-000788,0.0952728161596
ACH-000791,-0.00276893535784
ACH-000792,-0.092746866558
ACH-000794,-0.079205641497
ACH-000796,0.00521812721746
ACH-000799,0.0221178592696
ACH-000800,0.10732180910599999
ACH-000802,0.0879767582604
ACH-000804,-0.0289210939805
ACH-000805,0.0290578392694
ACH-000809,-0.011274702821899999
ACH-000810,-0.232087546143
ACH-000811,0.102790503134
