,NDUFB4 (4710)
ACH-000004,-0.511661479793
ACH-000007,-0.702094808177
ACH-000009,-0.45881337471699996
ACH-000011,-0.25037824583
ACH-000012,-0.7510901578929999
ACH-000013,-0.681719155967
ACH-000014,-0.774379536032
ACH-000015,-0.8355819356090001
ACH-000017,-0.611837110863
ACH-000018,-0.6925815805519999
ACH-000019,-0.884809321278
ACH-000021,-0.806431474213
ACH-000022,-0.54643648835
ACH-000025,-0.786175582088
ACH-000028,-1.10080301849
ACH-000030,-0.6338777703549999
ACH-000035,-0.829110642308
ACH-000036,-0.474512012024
ACH-000037,-0.49866969573299996
ACH-000039,-0.688554424555
ACH-000040,-0.38886617706
ACH-000041,-0.882133860338
ACH-000042,-0.46516890822400003
ACH-000045,-0.666032969608
ACH-000047,-0.948312347509
ACH-000052,-0.278458971152
ACH-000053,-0.778009429879
ACH-000054,-0.6451296965709999
ACH-000055,-0.673515966045
ACH-000060,-0.713503452923
ACH-000067,-0.838241975552
ACH-000070,-0.79582089623
ACH-000075,-0.34073586551299995
ACH-000078,-0.758963357675
ACH-000082,-0.563675260398
ACH-000085,-0.720176545373
ACH-000086,-0.7703651967149999
ACH-000087,-0.848206201429
ACH-000092,-0.668921320365
ACH-000095,-0.47012630386999993
ACH-000097,-0.607704028022
ACH-000098,-0.430773823376
ACH-000099,-0.623551075163
ACH-000108,-0.518319153446
ACH-000113,-0.6945663968539999
ACH-000115,-0.499673680213
ACH-000116,-0.838308826046
ACH-000118,-1.10176075619
ACH-000120,-1.00065090653
ACH-000123,-0.707249915686
ACH-000127,-0.8005305788529999
ACH-000128,-1.0749657503899999
ACH-000132,-0.675277623158
ACH-000133,-0.641967822116
ACH-000137,-0.834381479383
ACH-000138,-0.7167186874729999
ACH-000142,-0.670074005203
ACH-000143,-0.81581514745
ACH-000146,-0.6265374299140001
ACH-000148,-0.610808896584
ACH-000150,-0.78123558198
ACH-000152,-0.7042324192910001
ACH-000153,-0.779030897621
ACH-000159,-0.829434602855
ACH-000160,-0.916844800733
ACH-000163,-0.443825611607
ACH-000167,-0.5506605497739999
ACH-000168,-0.18456021952999999
ACH-000169,-0.8256214526569999
ACH-000178,-0.319243657443
ACH-000182,-1.12766441814
ACH-000183,-0.642714048325
ACH-000188,-0.518824594765
ACH-000189,-0.541398680418
ACH-000190,-0.612121217034
ACH-000198,-0.960157851508
ACH-000204,-0.916729499411
ACH-000206,-0.27683724786999997
ACH-000207,-0.660546062381
ACH-000211,-0.661036514344
ACH-000215,-0.848543443906
ACH-000221,-1.25223531966
ACH-000222,-0.6821399295739999
ACH-000223,-0.7406135754150001
ACH-000226,-0.7437240624349999
ACH-000227,-0.940752654521
ACH-000228,-0.6655430654
ACH-000231,-0.453086287342
ACH-000232,-0.622571674848
ACH-000233,-1.10109462295
ACH-000234,-0.388666738954
ACH-000235,-0.65141626748
ACH-000237,-0.291567192875
ACH-000238,-0.375913406032
ACH-000243,-0.684278207929
ACH-000244,-0.592896962049
ACH-000246,-0.876729958317
ACH-000248,-0.543572444363
ACH-000250,-0.67298223368
ACH-000251,-0.623796528763
ACH-000253,-0.519759879931
ACH-000255,-0.657020608424
ACH-000256,-0.48474705273999996
ACH-000257,-0.529295257022
ACH-000258,-0.334732263541
ACH-000259,-0.9295630541
ACH-000260,-0.520630891094
ACH-000261,-0.66497885937
ACH-000262,-0.38042696803099996
ACH-000263,-0.6643201118050001
ACH-000264,-0.863251461865
ACH-000265,-0.8461954444750001
ACH-000266,-0.578250322196
ACH-000272,-0.764877642369
ACH-000273,-0.6449225483709999
ACH-000274,-0.658994108065
ACH-000277,-0.899109991321
ACH-000278,-0.47861484356000006
ACH-000279,-0.785209027759
ACH-000280,-0.93734564744
ACH-000281,-0.5850659756059999
ACH-000288,-0.918512784551
ACH-000291,-0.725282684772
ACH-000293,-0.687789989207
ACH-000294,0.0510282577996
ACH-000295,-0.577571464955
ACH-000296,-0.304122494844
ACH-000302,-1.13405306775
ACH-000304,-1.1968907837
ACH-000307,-0.4891599758
ACH-000308,-0.574947946091
ACH-000310,-0.769934582349
ACH-000311,-0.44236634469400005
ACH-000312,-0.839931201014
ACH-000315,-0.8602945460600001
ACH-000316,-0.568826086737
ACH-000317,-1.1092574613600001
ACH-000318,-0.669405746915
ACH-000319,-0.507567949049
ACH-000320,-0.7638810047560001
ACH-000322,-0.570448134299
ACH-000323,-0.875600040769
ACH-000324,-0.46022479792099996
ACH-000329,-1.27042220509
ACH-000330,-0.41419193990599995
ACH-000331,-0.40797483774300003
ACH-000332,-0.48156261345299994
ACH-000334,-0.39116254074600004
ACH-000335,-0.49849281608
ACH-000336,-1.0910254393799999
ACH-000337,-0.48529547709299997
ACH-000339,-0.635275502485
ACH-000341,-1.00477875365
ACH-000348,-0.753735830253
ACH-000350,-0.7785015074439999
ACH-000352,-0.953559414517
ACH-000356,-0.7255243073100001
ACH-000361,-0.7793825766060001
ACH-000362,-0.758100455323
ACH-000363,-0.736280857101
ACH-000364,-0.7030131507260001
ACH-000365,-0.804504594709
ACH-000366,-0.591658121452
ACH-000368,-0.528575823153
ACH-000374,-0.7681396600020001
ACH-000375,-0.762465565427
ACH-000376,-0.8853260107619999
ACH-000381,-0.6285407615209999
ACH-000383,-0.757608598206
