,POU2F1 (5451)
ACH-000004,-0.23702596173700002
ACH-000007,-0.195707307403
ACH-000009,-0.511751855678
ACH-000011,-0.49989607663900004
ACH-000012,-0.215220866676
ACH-000013,-0.0644773411786
ACH-000014,-0.024087406889
ACH-000015,-0.308685465616
ACH-000017,0.0453620863577
ACH-000018,-0.204906975968
ACH-000019,-0.629217468692
ACH-000021,-0.192851272995
ACH-000022,-0.00815783138243
ACH-000025,-0.21554782376200002
ACH-000028,-0.172999142004
ACH-000030,-0.077533237564
ACH-000035,-0.27086843323000004
ACH-000036,-0.181782566468
ACH-000037,-0.16818162113600002
ACH-000039,-0.168680628301
ACH-000040,-0.126860759538
ACH-000041,-0.248655414829
ACH-000042,-0.11421599609000001
ACH-000045,0.0413548053655
ACH-000047,-0.404490755843
ACH-000052,-0.431032469604
ACH-000053,-0.48076762887100005
ACH-000054,-0.23695254344099997
ACH-000055,-0.540544199695
ACH-000060,-0.252037125453
ACH-000067,-0.0695106758958
ACH-000070,-0.5242818411969999
ACH-000075,-0.0487805363182
ACH-000078,-0.210105768988
ACH-000082,-0.128850444243
ACH-000085,-0.27924386078499996
ACH-000086,-0.519188841456
ACH-000087,-0.396496566128
ACH-000092,-0.22428186458000002
ACH-000095,-0.251144546011
ACH-000097,-0.351842226523
ACH-000098,-0.160158738279
ACH-000099,-0.0033934274778600003
ACH-000108,-0.273024012172
ACH-000113,-0.019625831321599996
ACH-000115,0.0510666814195
ACH-000116,-0.359981077689
ACH-000118,-0.412226620802
ACH-000120,-0.314862813066
ACH-000123,-0.202028032514
ACH-000127,-0.252357356671
ACH-000128,-0.21645607029199998
ACH-000132,-0.170872787575
ACH-000133,-0.152358144116
ACH-000137,-0.24583680607500003
ACH-000138,-0.305499893395
ACH-000142,-0.10521064872300001
ACH-000143,-0.0503323045675
ACH-000146,-0.11038125301400001
ACH-000148,-0.223789450223
ACH-000150,-0.23531959648200002
ACH-000152,-0.223499366983
ACH-000153,-0.17427864930599998
ACH-000159,-0.414960768254
ACH-000160,-0.09906326752189999
ACH-000163,-0.329063103893
ACH-000167,-0.211579492264
ACH-000168,-0.40643555961499994
ACH-000169,-0.0385145191485
ACH-000178,-0.136433213015
ACH-000182,-0.256393711514
ACH-000183,-0.422174931634
ACH-000188,-0.0339915589753
ACH-000189,-0.47148560299
ACH-000190,-0.418052260184
ACH-000198,0.0431944923601
ACH-000204,-0.492873302457
ACH-000206,-0.45942939148100004
ACH-000207,0.0308249013647
ACH-000211,-0.228899416317
ACH-000215,-0.18507551844300002
ACH-000221,-0.028235050636400003
ACH-000222,0.140578304639
ACH-000223,-0.308092583015
ACH-000226,-0.221391729261
ACH-000227,-0.047305994827100004
ACH-000228,-0.39850256568099995
ACH-000231,-0.42574645321599996
ACH-000232,-0.495845961215
ACH-000233,-0.198485421549
ACH-000234,-0.45829970734399994
ACH-000235,-0.14512277576899998
ACH-000237,-0.497179306728
ACH-000238,-0.111442540373
ACH-000243,-0.140464626224
ACH-000244,0.00757652996461
ACH-000246,-0.558307327623
ACH-000248,-0.218171568376
ACH-000250,0.00762688386341
ACH-000251,-0.262640840893
ACH-000253,-0.103736262645
ACH-000255,-0.107036386613
ACH-000256,-0.19927145135699997
ACH-000257,-0.039949136656699996
ACH-000258,-0.613756190965
ACH-000259,-0.132599185538
ACH-000260,-0.301142533009
ACH-000261,-0.122397123595
ACH-000262,-0.16915072032499998
ACH-000263,-0.148646884373
ACH-000264,-0.43344185185500006
ACH-000265,-0.117922056819
ACH-000266,-0.25576827390900003
ACH-000272,-0.364874794353
ACH-000273,-0.528439681234
ACH-000274,-0.0624226568403
ACH-000277,-0.261300691149
ACH-000278,-0.007050492069540001
ACH-000279,-0.38794216994099995
ACH-000280,-0.146095166058
ACH-000281,-0.056549031113
ACH-000288,-0.18161273500300001
ACH-000291,-0.178204893679
ACH-000293,-0.106299866387
ACH-000294,0.0790013277923
ACH-000295,-0.0350036177281
ACH-000296,-0.0758394587
ACH-000302,-0.51060408177
ACH-000304,-0.269994713238
ACH-000307,-0.274571247602
ACH-000308,-0.33599863992299994
ACH-000310,-0.268459852446
ACH-000311,-0.158644642549
ACH-000312,-0.180378708676
ACH-000315,0.011949728204600002
ACH-000316,-0.197958614158
ACH-000317,-0.36622004218500004
ACH-000318,-0.249787765853
ACH-000319,-0.041958117352599994
ACH-000320,-0.0712966063913
ACH-000322,-0.153852833928
ACH-000323,-0.162506673386
ACH-000324,-0.326440876928
ACH-000329,-0.254689711807
ACH-000330,-0.43020814393
ACH-000331,-0.428825065278
ACH-000332,-0.140238872913
ACH-000334,-0.423179938009
ACH-000335,-0.199071960298
ACH-000336,-0.520645354208
ACH-000337,-0.112192896822
ACH-000339,-0.296114448956
ACH-000341,-0.361760601475
ACH-000348,-0.288002087418
ACH-000350,-0.10057541988
ACH-000352,-0.0769630089799
ACH-000356,-0.236998580189
ACH-000361,0.037664926683400005
ACH-000362,-0.166815111442
ACH-000363,-0.4955016521399999
ACH-000364,-0.399388166276
ACH-000365,0.0349028754052
ACH-000366,-0.344690039488
ACH-000368,-0.0136417582983
ACH-000374,-0.202983479677
ACH-000375,-0.246820025832
ACH-000376,-0.48510688993
ACH-000381,-0.241958027022
ACH-000383,-0.13418624146400002
ACH-000387,-0.211685748999
ACH-000389,-0.027530814804400002
ACH-000390,-0.113625435144
ACH-000393,-0.156338031268
ACH-000395,-0.22477832852
ACH-000397,-0.21981369168099998
ACH-000401,-0.44726492314599997
ACH-000402,0.18116016262
ACH-000403,-0.352782680818
ACH-000404,-0.624535477426
ACH-000406,-0.252428248865
ACH-000407,-0.280355826796
ACH-000408,-0.191187636831
ACH-000410,-0.449344439538
ACH-000411,-0.407896616516
ACH-000414,-0.382267497807
ACH-000415,-0.0807127843536
ACH-000416,-0.347162200044
ACH-000420,-0.218120902463
ACH-000421,-0.192924345845
ACH-000424,-0.294471203882
ACH-000425,0.0054283677691
ACH-000426,-0.20835555800099997
ACH-000427,-0.09703234300750001
ACH-000433,-0.329252660093
ACH-000436,-0.226487948993
ACH-000444,-0.0583253616584
ACH-000445,-0.154040518762
ACH-000448,-0.124371223137
ACH-000450,-0.279680123525
ACH-000452,-0.237144751184
ACH-000454,-0.22951079159200002
ACH-000458,-0.019789499881400004
ACH-000459,-0.485537319643
ACH-000460,-0.28253139247
ACH-000461,-0.272996524322
ACH-000463,-0.344955955193
ACH-000464,-0.250705948897
ACH-000466,-0.026748543305900003
ACH-000467,-0.226297621734
ACH-000468,-0.144249468702
ACH-000469,-0.126576993058
ACH-000470,-0.09768935290580001
ACH-000471,-0.225308228507
ACH-000472,-0.279562141109
ACH-000473,0.0216551577015
ACH-000475,-0.305143719621
ACH-000476,-0.238705226998
ACH-000477,0.101744175025
ACH-000480,-0.112898329098
ACH-000481,-0.106937852581
ACH-000483,-0.24768132566
ACH-000484,-0.314097398109
ACH-000485,-0.0918796692539
ACH-000486,-0.20346379785399998
ACH-000487,-0.344293621623
ACH-000488,-0.32163603770300003
ACH-000490,-0.356594131955
ACH-000491,-0.28022730809
ACH-000495,-0.0786538648777
ACH-000496,-0.287739994864
ACH-000499,-0.150425309878
ACH-000500,-0.462529852392
ACH-000502,-0.193589362709
ACH-000503,-0.753576008485
ACH-000505,-0.107646713734
ACH-000507,-0.009947633126299999
ACH-000510,-0.27290813851
ACH-000511,-0.220258362759
ACH-000512,0.009910806762080001
ACH-000516,-0.21485038738499998
ACH-000517,-0.329702338495
ACH-000518,-0.25518069
ACH-000520,-0.17762057564199998
ACH-000521,-0.178066339303
ACH-000522,-0.283453343446
ACH-000524,-0.04684295410130001
ACH-000527,-0.305511656086
ACH-000528,-0.29402399668400003
ACH-000537,-0.287638628467
ACH-000541,-0.20583550582199997
ACH-000542,-0.04538143217130001
ACH-000544,-0.33229874116999997
ACH-000545,-0.10208370103299999
ACH-000547,-0.152025266247
ACH-000548,-0.0564142337476
ACH-000549,-0.250293186246
ACH-000550,-0.021575471014299998
ACH-000552,-0.364267224972
ACH-000556,-0.142612105329
ACH-000557,-0.326916498879
ACH-000570,-0.164561833328
ACH-000571,-0.163132650455
ACH-000573,-0.156676728908
ACH-000576,-0.292122963203
ACH-000580,-0.307674311899
ACH-000584,-0.280786536646
ACH-000585,-0.42269961980899995
ACH-000588,-0.5723915637120001
ACH-000589,-0.184756215183
ACH-000591,-0.0956778197591
ACH-000593,-0.162420289181
ACH-000600,-0.194271079098
ACH-000601,-0.218893289875
ACH-000604,-0.165202567439
ACH-000605,-0.029234453638900003
ACH-000606,-0.0263409707321
ACH-000608,-0.164293675389
ACH-000614,-0.0733546837538
ACH-000616,-0.190593551375
ACH-000618,-0.132226035953
ACH-000619,-0.166994896506
ACH-000620,-0.36998836141999997
ACH-000621,-0.175989712327
ACH-000622,0.0271833183569
ACH-000623,-0.250748159764
ACH-000624,-0.251951207575
ACH-000627,-0.241551953185
ACH-000630,-0.111352809265
ACH-000632,-0.147460041065
ACH-000633,-0.09034999113289999
ACH-000637,-0.267056952863
ACH-000638,-0.26463221574900003
ACH-000646,-0.402738137566
ACH-000647,-0.264261090556
ACH-000648,-0.087828976542
ACH-000649,-0.375730678852
ACH-000651,-0.292605512871
ACH-000652,-0.021295200081799998
ACH-000653,-0.9078051093799999
ACH-000657,-0.270771362613
ACH-000658,-0.38536815264799995
ACH-000661,-0.120329534071
ACH-000662,-0.241635014696
ACH-000663,-0.2629369756
ACH-000665,-0.283021604305
ACH-000671,-0.152495966817
ACH-000673,-0.232843455372
ACH-000676,-0.070246563717
ACH-000677,-0.037371806314099996
ACH-000681,-0.197041806918
ACH-000682,0.0150634243777
ACH-000683,-0.476331253137
ACH-000684,-0.36629243715899995
ACH-000688,-0.145310918264
ACH-000693,-0.151781202126
ACH-000694,-0.07377770555970001
ACH-000695,-0.359778125141
ACH-000696,-0.263028366151
ACH-000697,0.0273641305347
ACH-000699,-0.20930422885299999
ACH-000701,-0.18209826642000002
ACH-000706,-0.42866910785400003
