,TOMM70A (9868)
ACH-000004,-0.18374857909200001
ACH-000007,-0.252531787774
ACH-000009,-0.248026376932
ACH-000011,-0.386217072343
ACH-000012,-0.404625486219
ACH-000013,-0.12959168564200002
ACH-000014,-0.35526809261299996
ACH-000015,-0.594005382121
ACH-000017,-0.33461193901700004
ACH-000018,-0.16737586712400002
ACH-000019,-0.7293209532289999
ACH-000021,-0.315907053701
ACH-000022,-0.33585633232699996
ACH-000025,-0.6839156977770001
ACH-000028,-0.41123993194700004
ACH-000030,-0.285856531566
ACH-000035,-0.23504589859000002
ACH-000036,-0.511252891355
ACH-000037,-0.270793208055
ACH-000039,-0.07416357386689999
ACH-000040,-0.418373463829
ACH-000041,-0.142422696264
ACH-000042,-0.335328635031
ACH-000045,-0.24132924953
ACH-000047,-0.2382934491
ACH-000052,-0.477313670828
ACH-000053,-0.240795159444
ACH-000054,0.0083816267641
ACH-000055,0.0425945897759
ACH-000060,-0.572547600259
ACH-000067,-0.36060670565499997
ACH-000070,-0.473141491491
ACH-000075,-0.414660143366
ACH-000078,-0.244221688265
ACH-000082,-0.0311470982864
ACH-000085,-0.0549593116048
ACH-000086,-0.7279143039720001
ACH-000087,-0.281485059903
ACH-000092,-0.272534065177
ACH-000095,-0.223205060642
ACH-000097,-0.399542541501
ACH-000098,-0.34578799481600003
ACH-000099,-0.27356468305799997
ACH-000108,-0.292683299633
ACH-000113,-0.47461048217600005
ACH-000115,-0.555995307506
ACH-000116,-0.22232140147100002
ACH-000118,-0.552320237786
ACH-000120,-0.37292524650200004
ACH-000123,-0.43403910226000003
ACH-000127,0.0293050810996
ACH-000128,-0.580611584582
ACH-000132,-0.377331490019
ACH-000133,-0.659706864006
ACH-000137,-0.5187164005780001
ACH-000138,-0.265280617062
ACH-000142,-0.697050945357
ACH-000143,-0.521832089815
ACH-000146,0.00118396604497
ACH-000148,-0.30501110429699996
ACH-000150,-0.361734741831
ACH-000152,-0.17204513676
ACH-000153,-0.34492287508100006
ACH-000159,-0.15521087131
ACH-000160,-0.308078566535
ACH-000163,-0.583597046249
ACH-000167,-0.117410025356
ACH-000168,-0.124323863411
ACH-000169,-0.718380478686
ACH-000178,-0.303938612723
ACH-000182,-0.778304610616
ACH-000183,-0.05368943919480001
ACH-000188,-0.528897506618
ACH-000189,-0.511693765832
ACH-000190,-0.659441967207
ACH-000198,-0.47337253898299997
ACH-000204,-0.80116544435
ACH-000206,-0.12219482289400001
ACH-000207,-0.34004746334799996
ACH-000211,-0.534993964221
ACH-000215,-0.31584314316
ACH-000221,-0.691154184949
ACH-000222,-0.169531029904
ACH-000223,-0.6981072080060001
ACH-000226,-0.39062595728200006
ACH-000227,-0.311619120137
ACH-000228,-0.34100521789099997
ACH-000231,-0.314909213788
ACH-000232,-0.210612317589
ACH-000233,-0.31936303681
ACH-000234,-0.24860969805100003
ACH-000235,-0.184969304085
ACH-000237,-0.04317480716680001
ACH-000238,-0.023112033944900003
ACH-000243,-0.348486213473
ACH-000244,-0.549664592134
ACH-000246,-0.678789862537
ACH-000248,-0.14984556726700002
ACH-000250,-0.36691930515199994
ACH-000251,-0.223997729848
ACH-000253,-0.07832934184889999
ACH-000255,-0.5141393070620001
ACH-000256,-0.31979171153999997
ACH-000257,-0.0119051117729
ACH-000258,-0.465327245272
ACH-000259,-0.435496673758
ACH-000260,-0.479343206923
ACH-000261,-0.37781270761
ACH-000262,-0.40552381076300004
ACH-000263,-0.5889992240199999
ACH-000264,-0.270360891739
ACH-000265,-0.487497431707
ACH-000266,-0.13415347522
ACH-000272,-0.288357145787
ACH-000273,-0.46284493208300004
ACH-000274,-0.30973463595600004
ACH-000277,-0.356748775578
ACH-000278,-0.30356379654800003
ACH-000279,-0.375646685594
ACH-000280,-0.16894280787799998
ACH-000281,-0.16600780468
ACH-000288,-0.190343598919
ACH-000291,-0.313204903516
ACH-000293,-0.11968552514
ACH-000294,0.179532540427
ACH-000295,0.124726699713
ACH-000296,-0.388516617391
ACH-000302,-0.169599383268
ACH-000304,-0.13191167080900001
ACH-000307,-0.34558570485699996
ACH-000308,-0.109268501238
ACH-000310,-0.143536732891
ACH-000311,-0.273409599795
ACH-000312,-0.203295481897
ACH-000315,-0.228300580556
ACH-000316,-0.5115214212870001
ACH-000317,-1.0426639337799999
ACH-000318,-0.33209847070099996
ACH-000319,-0.00648320630876
ACH-000320,-0.38806975749300004
ACH-000322,-0.09242852034110001
ACH-000323,-0.365061505571
ACH-000324,-0.19695163482900002
ACH-000329,-0.364023831418
ACH-000330,-0.45968060110200004
ACH-000331,-0.647662384375
ACH-000332,-0.0822871289184
ACH-000334,-0.48245664782700004
ACH-000335,-0.678788538767
ACH-000336,-0.18222028266100002
ACH-000337,-0.637009457894
ACH-000339,-0.318142924615
ACH-000341,-0.451825376864
ACH-000348,-0.308209333493
ACH-000350,-0.267544408758
ACH-000352,-0.265512689261
ACH-000356,-0.110049257729
ACH-000361,-0.108192268215
ACH-000362,-0.045549950289
ACH-000363,-0.39517444328
ACH-000364,-0.520449688188
ACH-000365,-0.563765439106
ACH-000366,-0.385005789741
ACH-000368,-0.5656004966170001
ACH-000374,-0.166505343424
ACH-000375,-0.354882179632
ACH-000376,-0.24371562391899998
ACH-000381,-0.276767005374
ACH-000383,-0.303403154566
ACH-000387,-0.104699208124
ACH-000389,-0.307977275968
ACH-000390,-0.695479108944
ACH-000393,-0.106365338608
ACH-000395,-0.194145073209
ACH-000397,-0.324981525997
ACH-000401,-0.43807849980499997
ACH-000402,-0.545720022295
ACH-000403,-0.06217132694019999
ACH-000404,-0.0727547158483
ACH-000406,-0.489828623159
ACH-000407,-0.39029777690300005
ACH-000408,-0.316018194474
ACH-000410,-0.39062509699000003
ACH-000411,-0.203981371793
ACH-000414,-0.437536850209
ACH-000415,-0.693874169348
ACH-000416,-0.117615862136
ACH-000420,-0.24605457935800001
ACH-000421,-0.29811550165
ACH-000424,-0.623133851361
ACH-000425,-0.14114825078600002
ACH-000426,-0.134792271142
ACH-000427,-0.195488540126
ACH-000433,-0.268000885598
ACH-000436,-0.249035534482
ACH-000444,-0.197878249497
ACH-000445,-0.47106028997500005
ACH-000448,-0.340244689101
ACH-000450,-0.184085605436
ACH-000452,-0.244443342384
ACH-000454,-0.506602432048
ACH-000458,-0.24031548281999998
ACH-000459,-0.929115868644
ACH-000460,-0.205043959023
ACH-000461,-0.32548211803300003
ACH-000463,-0.5319541277409999
ACH-000464,-0.196779585546
ACH-000466,-0.182054609607
ACH-000467,-0.333327611513
ACH-000468,-0.291140201065
ACH-000469,-0.31836717068000003
ACH-000470,-0.14467974534800002
ACH-000471,-0.726193996662
ACH-000472,-0.316383329674
ACH-000473,-0.280365424265
ACH-000475,-0.286517540344
ACH-000476,-0.43460994086300003
ACH-000477,-0.354826919183
ACH-000480,-0.52430483478
ACH-000481,-0.271796297472
ACH-000483,-0.248812281491
ACH-000484,-0.253981561992
ACH-000485,-0.24353941073399998
ACH-000486,-0.580329156185
ACH-000487,-0.0772900029564
ACH-000488,-0.660116060097
ACH-000490,-0.692735222394
ACH-000491,-0.362668799077
ACH-000495,-0.39528499250200005
ACH-000496,-0.38388527419699997
ACH-000499,-0.789810037031
ACH-000500,-0.0074691419329
ACH-000502,-0.166438509441
ACH-000503,-0.332785516472
ACH-000505,-0.284213224598
ACH-000507,-0.395453307967
ACH-000510,-0.115745585913
ACH-000511,-0.273743467216
ACH-000512,-0.979643636927
ACH-000516,-0.365032373375
ACH-000517,-0.281461878792
ACH-000518,-0.220853678975
ACH-000520,-0.155526295063
ACH-000521,-0.26613351380100003
ACH-000522,-0.558370912511
ACH-000524,-0.21269466818100002
ACH-000527,-0.432108385283
ACH-000528,-0.541045654591
ACH-000537,-0.48408372944600003
ACH-000541,-0.05863363253880001
ACH-000542,-0.37796632717699996
ACH-000544,-0.529868146333
ACH-000545,-0.574842231166
ACH-000547,-0.38330724448700004
ACH-000548,-0.147018275248
ACH-000549,-0.45543555267700003
ACH-000550,-0.187291821409
ACH-000552,-0.65281727082
ACH-000556,-0.288158417655
ACH-000557,-0.278324004194
ACH-000570,-0.5262344026
ACH-000571,-0.319065337532
ACH-000573,-0.27325436217300003
ACH-000576,-0.0687457509149
ACH-000580,-0.156951013842
ACH-000584,-0.111060331514
ACH-000585,-0.494922502363
ACH-000588,-0.45987553726400004
ACH-000589,-0.422929157261
ACH-000591,-0.572375426222
ACH-000593,-0.39169037449199995
ACH-000600,-0.311801312005
ACH-000601,-0.0217171588136
ACH-000604,-0.0566774677576
ACH-000605,-0.305415904376
ACH-000606,-0.469291190974
ACH-000608,-0.324599115796
ACH-000614,-0.445719773274
ACH-000616,-0.342088650113
ACH-000618,-0.35458345177
ACH-000619,-0.686415275371
ACH-000620,-0.627467178224
ACH-000621,-0.297615163129
ACH-000622,-0.24965016684900002
ACH-000623,-0.132891711923
ACH-000624,0.132938652565
ACH-000627,-0.24445864335200002
ACH-000630,-0.75478831818
ACH-000632,-0.190409018505
ACH-000633,-0.288904818451
ACH-000637,-0.313319818776
ACH-000638,-0.274152144392
ACH-000646,-0.308207628264
ACH-000647,-0.5800483604209999
ACH-000648,-0.365784801632
ACH-000649,-0.54842366591
ACH-000651,-0.475222324087
ACH-000652,-0.364102281118
ACH-000653,-0.31304456660999996
ACH-000657,-0.48987901098000003
ACH-000658,-0.13235796303
ACH-000661,-0.242755594009
ACH-000662,-0.235022400616
ACH-000663,-0.23609276768000004
ACH-000665,-0.321218880398
ACH-000671,-0.7505196489139999
ACH-000673,-0.15691315157400001
ACH-000676,-0.535477165069
ACH-000677,-0.456722595287
ACH-000681,-0.604417176692
ACH-000682,-0.302299154965
ACH-000683,-0.20375936767299999
ACH-000684,-0.63777548444
ACH-000688,-0.500097376669
ACH-000693,-0.664839720283
ACH-000694,-0.455347823489
ACH-000695,-0.481499595404
ACH-000696,-0.783291871537
ACH-000697,-0.74281125105
ACH-000699,-0.404441673657
ACH-000701,-0.232261574653
ACH-000706,-0.61394790264
ACH-000711,-0.270829900166
ACH-000713,-0.146285563825
ACH-000714,-0.311798514168
ACH-000718,-0.370770942932
ACH-000720,-0.148338301107
ACH-000721,-0.275679477166
ACH-000724,-0.521276437158
ACH-000725,-0.199072038585
ACH-000732,-0.549046253532
ACH-000734,-0.49214155911000007
