,DLST (1743)
ACH-000004,-0.824239964875
ACH-000007,-0.28936165478799997
ACH-000009,-0.41433606260399997
ACH-000011,-0.958203224715
ACH-000012,-0.336452394635
ACH-000013,-0.19495787894699998
ACH-000014,-0.388156917453
ACH-000015,-0.128355710198
ACH-000017,-0.583909896775
ACH-000018,-0.300055803063
ACH-000019,-0.459162198186
ACH-000021,-0.10126049874700001
ACH-000022,-0.19515285928399997
ACH-000025,-0.526982975291
ACH-000028,-0.12283831317399999
ACH-000030,-0.346247947474
ACH-000035,-0.23096297886599998
ACH-000036,-0.0667842189629
ACH-000037,-0.32430088078499997
ACH-000039,-0.378339699513
ACH-000040,-0.143558214961
ACH-000041,-0.467168591135
ACH-000042,-0.39547377689999996
ACH-000045,-0.571329323505
ACH-000047,-0.697060019619
ACH-000052,-0.00471765866866
ACH-000053,-0.731527034592
ACH-000054,-0.408281912286
ACH-000055,-0.549355336393
ACH-000060,-0.272439942189
ACH-000067,-0.22871321926999996
ACH-000070,-0.570908985088
ACH-000075,-0.18352562581300003
ACH-000078,-0.297421847482
ACH-000082,-0.40065848132200005
ACH-000085,0.121446869656
ACH-000086,-0.103903476312
ACH-000087,-0.53180445503
ACH-000092,-0.35128457792900003
ACH-000095,-0.09614056572969999
ACH-000097,-0.511582121803
ACH-000098,-0.203295246513
ACH-000099,-0.420599683033
ACH-000108,-0.501310785318
ACH-000113,-0.326915795894
ACH-000115,-0.116842073773
ACH-000116,-0.0477339737942
ACH-000118,-0.387476973007
ACH-000120,-0.265394764525
ACH-000123,-0.265823549507
ACH-000127,-0.479324978167
ACH-000128,-0.135981801885
ACH-000132,-0.08607330870549999
ACH-000133,-0.20345059563
ACH-000137,-0.00944811924536
ACH-000138,-0.475883559278
ACH-000142,-0.409771219907
ACH-000143,-0.330325996616
ACH-000146,-0.995215952444
ACH-000148,-0.449828056805
ACH-000150,0.22597712259199998
ACH-000152,-0.266695165724
ACH-000153,-0.420422339731
ACH-000159,-0.604197215237
ACH-000160,0.10980821106899999
ACH-000163,-0.153441922254
ACH-000167,0.45439942666999994
ACH-000168,-0.442513542157
ACH-000169,-0.0320938075583
ACH-000178,-0.16650570832
ACH-000182,-0.486497955653
ACH-000183,-0.632966360138
ACH-000188,-0.0862046557668
ACH-000189,-0.627511913256
ACH-000190,0.0828528592694
ACH-000198,-0.596097432944
ACH-000204,-0.710889825678
ACH-000206,-0.658429357661
ACH-000207,-0.558055542711
ACH-000211,-0.24287706168099998
ACH-000215,-0.24325511428000002
ACH-000221,-0.535385713022
ACH-000222,-0.665088899248
ACH-000223,-0.23053286875100001
ACH-000226,-0.64216110079
ACH-000227,-0.172479491938
ACH-000228,-0.302506296695
ACH-000231,-0.195444334563
ACH-000232,-0.0880899795927
ACH-000233,-0.428459631971
ACH-000234,-0.310094705881
ACH-000235,-0.762581890922
ACH-000237,-0.09693277797419998
ACH-000238,-0.207545961432
ACH-000243,-0.266228531687
ACH-000244,-0.154406252929
ACH-000246,-0.327357810173
ACH-000248,-0.175932372142
ACH-000250,-0.7752858121189999
ACH-000251,-0.404577506901
ACH-000253,-0.499233417252
ACH-000255,-0.114414074477
ACH-000256,-0.240545695653
ACH-000257,-0.727314218968
ACH-000258,-0.443769692916
ACH-000259,-0.497851534701
ACH-000260,-0.0597793896506
ACH-000261,-0.628859499819
ACH-000262,-0.815482800884
ACH-000263,-0.6472882028410001
ACH-000264,-0.546878017721
ACH-000265,-0.109044761958
ACH-000266,-0.25086881577500003
ACH-000272,-0.574521572642
ACH-000273,-0.323993830834
ACH-000274,-0.240835727657
ACH-000277,-0.714038070255
ACH-000278,-0.114913505587
ACH-000279,-0.5102277943469999
