,FAHD2B (151313)
ACH-000004,0.186232609148
ACH-000007,-0.29251549633900004
ACH-000009,-0.23285257585299998
ACH-000011,-0.19479495806299998
ACH-000012,-0.016383571652
ACH-000013,-0.279820638645
ACH-000014,-0.129195439302
ACH-000015,-0.308695120939
ACH-000017,-0.117940608314
ACH-000018,-0.156380860975
ACH-000019,-0.4453186956600001
ACH-000021,-0.215483775178
ACH-000022,0.07161752522760001
ACH-000025,-0.292540180381
ACH-000028,-0.273312429589
ACH-000030,-0.26643824529300003
ACH-000035,-0.11595099217
ACH-000036,-0.29461265
ACH-000037,-0.260163577729
ACH-000039,-0.0778242707483
ACH-000040,-0.35445073496600005
ACH-000041,-0.0741179096072
ACH-000042,-0.283715222067
ACH-000045,-0.412812269379
ACH-000047,-0.0163152722023
ACH-000052,-0.07385797938130001
ACH-000053,-0.24549313555
ACH-000054,-0.360969561843
ACH-000055,0.0436594997494
ACH-000060,-0.132943790103
ACH-000067,0.0695450489867
ACH-000070,0.190039135732
ACH-000075,-0.187466577295
ACH-000078,-0.127525089931
ACH-000082,-0.245219420271
ACH-000085,-0.334275718009
ACH-000086,-0.128630370592
ACH-000087,-0.454291272292
ACH-000092,-0.352673099806
ACH-000095,-0.16896098501200002
ACH-000097,-0.050806839493199994
ACH-000098,-0.134598585586
ACH-000099,-0.238506130108
ACH-000108,-0.105842242114
ACH-000113,-0.11702618967
ACH-000115,0.0638725830824
ACH-000116,-0.051744673551300004
ACH-000118,-0.18510085444000002
ACH-000120,-0.18024344057100003
ACH-000123,-0.153897606656
ACH-000127,-0.128235045229
ACH-000128,-0.266685691269
ACH-000132,0.0226939516621
ACH-000133,-0.23306767131900002
ACH-000137,-0.282663911266
ACH-000138,-0.0995833103278
ACH-000142,-0.179666222799
ACH-000143,0.020299288187
ACH-000146,-0.0173514702693
ACH-000148,-0.391170803485
ACH-000150,-0.417386064342
ACH-000152,-0.347848438115
ACH-000153,-0.500601073236
ACH-000159,-0.132710968947
ACH-000160,-0.24297791781599998
ACH-000163,-0.435166886135
ACH-000167,-0.604465616717
ACH-000168,0.025666639100000003
ACH-000169,-0.289051796494
ACH-000178,-0.209092811479
ACH-000182,-0.37813840942500004
ACH-000183,-0.10084445060799999
ACH-000188,-0.195043967647
ACH-000189,-0.531380651119
ACH-000190,-0.435744720074
ACH-000198,-0.42261428174599996
ACH-000204,-0.132019339525
ACH-000206,-0.556783045314
ACH-000207,-0.3329607311
ACH-000211,-0.334860745365
ACH-000215,-0.137124688845
ACH-000221,-0.505560296557
ACH-000222,-0.253902871091
ACH-000223,-0.34003630616499997
ACH-000226,-0.267103611264
ACH-000227,-0.227650708243
ACH-000228,-0.315156446401
ACH-000231,-0.452020768864
ACH-000232,-0.115102277269
ACH-000233,-0.30102220204
ACH-000234,-0.235195631109
ACH-000235,-0.0800013205835
ACH-000237,-0.241531641144
ACH-000238,-0.0662934495047
ACH-000243,-0.211977349961
ACH-000244,-0.046363887505400006
ACH-000246,0.0165132152286
ACH-000248,-0.221514331138
ACH-000250,-0.230751592639
ACH-000251,0.0246610641774
ACH-000253,-0.378530395279
ACH-000255,-0.262544950381
ACH-000256,-0.0716170936543
ACH-000257,-0.29030780947900003
ACH-000258,-0.250353412905
ACH-000259,-0.07065754165289999
ACH-000260,-0.203511976648
ACH-000261,-0.18534761393899998
ACH-000262,-0.18613226081700002
ACH-000263,-0.7156971853499999
ACH-000264,-0.11524399622199999
ACH-000265,-0.292321110103
ACH-000266,-0.244300831567
ACH-000272,-0.458094616853
ACH-000273,-0.21002904182100002
ACH-000274,-0.459174978754
ACH-000277,-0.09304611763399999
ACH-000278,-0.124507842235
ACH-000279,-0.216936073569
ACH-000280,-0.133438843615
ACH-000281,-0.166832978917
ACH-000288,-0.32758184364
ACH-000291,-0.04734841178730001
ACH-000293,-0.031265916226900003
ACH-000294,-0.321216599366
ACH-000295,-0.19088211484099998
ACH-000296,0.0129976015931
ACH-000302,-0.233752276107
ACH-000304,-0.333700452854
ACH-000307,-0.26054066694
ACH-000308,0.0038793862961499998
ACH-000310,-0.16614247567600002
ACH-000311,-0.17387246956099997
ACH-000312,-0.0816146255327
ACH-000315,0.056767905089999994
ACH-000316,-0.108869575965
ACH-000317,-0.180323050631
ACH-000318,-0.211044839008
ACH-000319,-0.202398728321
ACH-000320,-0.23315049956199999
ACH-000322,-0.0401887096625
ACH-000323,-0.272772036865
ACH-000324,-0.387109178364
ACH-000329,-0.477693842725
ACH-000330,-0.275702337288
ACH-000331,-0.241357156204
ACH-000332,-0.196327344412
ACH-000334,-0.595748546392
ACH-000335,-0.038780340210699996
ACH-000336,-0.176449330977
ACH-000337,-0.188733352995
ACH-000339,-0.143367814014
ACH-000341,-0.45782214074600003
ACH-000348,-0.22716815319800002
