,EID2B (126272)
ACH-000004,-0.276573104291
ACH-000007,-0.0692406236224
ACH-000009,-0.30089294034499997
ACH-000011,-0.106117943889
ACH-000012,-0.425955224847
ACH-000013,-0.817574450715
ACH-000014,-0.381802940781
ACH-000015,-0.329018965427
ACH-000017,-0.0593607397998
ACH-000018,-0.10081009719699999
ACH-000019,-0.0722007576524
ACH-000021,-0.284628094876
ACH-000022,-0.3159798115
ACH-000025,0.048412414333199996
ACH-000028,-0.189944444993
ACH-000030,-0.239075904087
ACH-000035,-0.308662773489
ACH-000036,-0.36965842084899997
ACH-000037,-0.133226384946
ACH-000039,-0.15841716228
ACH-000040,-0.09223927153010002
ACH-000041,-0.227294589586
ACH-000042,-0.150370075533
ACH-000045,-0.269974120953
ACH-000047,-0.283365981327
ACH-000052,-0.121325942672
ACH-000053,-0.292865885435
ACH-000054,-0.22565252286499998
ACH-000055,-0.251761299776
ACH-000060,0.00909508183475
ACH-000067,-0.212181479822
ACH-000070,-0.20530656008
ACH-000075,-0.600727889585
ACH-000078,-0.152106920297
ACH-000082,-0.20204542185199997
ACH-000085,-0.0348623653811
ACH-000086,-0.17821213818700002
ACH-000087,-0.192345500609
ACH-000092,-0.207512571527
ACH-000095,-0.21552352469
ACH-000097,-0.19073856902800002
ACH-000098,-0.452023349508
ACH-000099,-0.23740679458099997
ACH-000108,-0.218128354116
ACH-000113,-0.23840575241300002
ACH-000115,-0.244184881994
ACH-000116,-0.218854296283
ACH-000118,-0.298336146348
ACH-000120,-0.133727025669
ACH-000123,-0.19157247072500003
ACH-000127,-0.19198516685699998
ACH-000128,-0.12362202011199999
ACH-000132,-0.19450243708599999
ACH-000133,-0.267763915247
ACH-000137,-0.674181831821
ACH-000138,-0.23087907438799998
ACH-000142,-0.23713342768800003
ACH-000143,-0.157891693005
ACH-000146,-0.275387795958
ACH-000148,-0.09033914214269999
ACH-000150,-0.305702040102
ACH-000152,-0.261920387434
ACH-000153,-0.435541093731
ACH-000159,-0.09113502224390001
ACH-000160,-0.261056639924
ACH-000163,-0.09855849602260001
ACH-000167,-0.475812149937
ACH-000168,0.051691218673400006
ACH-000169,-0.124959440894
ACH-000178,-0.281309784028
ACH-000182,-0.27143030976599997
ACH-000183,-0.32797691488
ACH-000188,-0.018530879406
ACH-000189,-0.276949984239
ACH-000190,-0.08304149278800001
ACH-000198,-0.307331639555
ACH-000204,0.12712867291
ACH-000206,-0.0172826291735
ACH-000207,-0.30634799289500003
ACH-000211,-0.313961896927
ACH-000215,-0.280489759065
ACH-000221,-0.316836847127
ACH-000222,-0.25828902201
ACH-000223,-0.168757920891
ACH-000226,-0.14160802118
ACH-000227,-0.346756514319
ACH-000228,-0.184927092471
ACH-000231,-0.164170829544
ACH-000232,-0.368453078958
ACH-000233,-0.148176913073
ACH-000234,-0.326004807035
ACH-000235,-0.203867693861
ACH-000237,-0.17666452503600003
ACH-000238,0.023731327591
ACH-000243,-0.107929016621
ACH-000244,-0.00706056320373
ACH-000246,-0.211434546456
ACH-000248,-0.0737512583363
ACH-000250,-0.26180913293499997
ACH-000251,-0.618026837384
ACH-000253,-0.337262712632
ACH-000255,-0.31780371040399996
ACH-000256,-0.235669572919
ACH-000257,-0.0666867019992
ACH-000258,-0.152935137527
ACH-000259,-0.0993289683969
ACH-000260,-0.20557349925500001
ACH-000261,-0.29706715476100004
ACH-000262,-0.353149912233
ACH-000263,-0.150412343531
ACH-000264,-0.162405527637
ACH-000265,-0.197207713502
ACH-000266,-0.161139438876
ACH-000272,-0.24528551515
ACH-000273,-0.103566229804
ACH-000274,-0.460191606049
ACH-000277,-0.17093859458500002
ACH-000278,-0.169089905517
ACH-000279,-0.172601946433
ACH-000280,-0.218369786138
ACH-000281,0.004936051909229999
ACH-000288,-0.056931520500800005
ACH-000291,-0.411789408844
ACH-000293,-1.0106265643899999
ACH-000294,0.0303257727383
ACH-000295,0.0201510381781
ACH-000296,-0.262099824882
ACH-000302,-0.44697233316000007
ACH-000304,-0.117853088891
ACH-000307,-0.0742735648469
ACH-000308,-0.31138017598900003
ACH-000310,-0.16889693955600002
ACH-000311,-0.166745658594
ACH-000312,-0.0735256329151
ACH-000315,-0.23929068001899997
ACH-000316,-0.028051619478599996
ACH-000317,-0.0144547887329
ACH-000318,-0.416911222959
ACH-000319,-0.25024051583900003
ACH-000320,0.022152716677
ACH-000322,-0.0134860085641
ACH-000323,-0.12228611430099999
ACH-000324,-0.18583527745099998
ACH-000329,-0.142045943831
ACH-000330,-0.25187402409000004
ACH-000331,-0.225469290829
ACH-000332,-0.38400778364699995
ACH-000334,-0.37754857911600004
ACH-000335,-0.290725362579
ACH-000336,-0.217984747989
ACH-000337,-0.042342925256
ACH-000339,-0.293231054929
ACH-000341,-0.518832674821
ACH-000348,-0.202853305572
ACH-000350,-0.35500769897699996
ACH-000352,-0.226892922783
ACH-000356,-0.16825675325599998
ACH-000361,-0.289951679682
ACH-000362,-0.432873956326
ACH-000363,-0.0417956758443
ACH-000364,-0.193889614899
ACH-000365,-0.20085796157000002
ACH-000366,-0.43105474180200004
ACH-000368,0.104998399563
ACH-000374,-0.280241636429
ACH-000375,-0.241724219652
ACH-000376,-0.263035252429
ACH-000381,-0.143769604672
ACH-000383,-0.304040136945
ACH-000387,-0.052549277113
ACH-000389,-0.23864698227400002
ACH-000390,-0.330325720361
ACH-000393,-0.286731250441
ACH-000395,-0.244107061053
ACH-000397,-0.424761033587
ACH-000401,-0.254625642696
ACH-000402,-0.09086219877110001
ACH-000403,-0.40000975752499995
ACH-000404,-0.314108214911
ACH-000406,-0.271832438396
ACH-000407,-0.034462948876
ACH-000408,-0.33307350207499997
ACH-000410,-0.240848944031
ACH-000411,-0.228129397387
ACH-000414,-0.10652366005899999
ACH-000415,-0.294963421572
ACH-000416,-0.182939386536
ACH-000420,-0.201535484679
ACH-000421,-0.195308421255
ACH-000424,-0.0166294421022
ACH-000425,-0.197829159389
ACH-000426,-0.400039584274
ACH-000427,-0.225147566906
ACH-000433,-0.305508986416
ACH-000436,-0.343464903605
ACH-000444,-0.193327231689
ACH-000445,-0.285840485611
ACH-000448,-0.342757463676
ACH-000450,0.14819459783
ACH-000452,-0.209140833811
ACH-000454,-0.315418776691
ACH-000458,-0.188972911101
ACH-000459,-0.48423779004699996
ACH-000460,-0.281101709223
ACH-000461,-0.207290214383
ACH-000463,-0.17089801219
ACH-000464,-0.0767386973477
ACH-000466,-0.293372177542
ACH-000467,-0.238498102918
ACH-000468,-0.23029803836999999
ACH-000469,-0.467855735514
ACH-000470,-0.25936284996500003
ACH-000471,-0.259570906273
ACH-000472,-0.397892064548
ACH-000473,-0.157363148222
ACH-000475,-0.16843466235100002
ACH-000476,-0.216018887553
ACH-000477,-0.526276458362
ACH-000480,-0.24342123019900003
ACH-000481,-0.144109419121
ACH-000483,-0.07768399626189999
ACH-000484,-0.21268916284800002
ACH-000485,-0.280010383173
ACH-000486,-0.452919278753
ACH-000487,-0.25773466327100003
ACH-000488,-0.1111409211
ACH-000490,-0.2633539468
ACH-000491,-0.125419792795
ACH-000495,0.0503806136587
ACH-000496,-0.050951515608
ACH-000499,-0.6858524387389999
ACH-000500,-0.468472804595
ACH-000502,-0.21726252289099998
ACH-000503,-0.208802612453
ACH-000505,-0.268176520973
ACH-000507,-0.049105978468500004
ACH-000510,-0.7086131958349999
ACH-000511,-0.309280801993
ACH-000512,-0.386097805151
ACH-000516,-0.30795021058899996
ACH-000517,-0.305072535142
ACH-000518,-0.217334480979
ACH-000520,0.023071433338599998
ACH-000521,-0.18104501506499998
ACH-000522,-0.217149473602
ACH-000524,-0.304235094506
ACH-000527,-0.27856147006
ACH-000528,-0.137049679753
