,RABL2B (11158)
ACH-000004,-0.07385205032869999
ACH-000007,-0.0939816836176
ACH-000009,-0.173512215094
ACH-000011,-0.31502222321199996
ACH-000012,-0.34615681796899994
ACH-000013,-0.259377570121
ACH-000014,-0.217258716851
ACH-000015,0.0067786765513900005
ACH-000017,-0.201752377232
ACH-000018,-0.172340026719
ACH-000019,-0.170256994428
ACH-000021,-0.28438995676199996
ACH-000022,-0.313675586021
ACH-000025,-0.171723907086
ACH-000028,-0.247992149143
ACH-000030,-0.419585140286
ACH-000035,-0.11823380761800001
ACH-000036,-0.21858067444600002
ACH-000037,-0.28792433836
ACH-000039,-0.466984781053
ACH-000040,-0.133680519336
ACH-000041,-0.171872008258
ACH-000042,-0.184521970836
ACH-000045,-0.07656693056660001
ACH-000047,-0.27855879125300004
ACH-000052,-0.09026670537499999
ACH-000053,-0.31719803531199997
ACH-000054,-0.148321100932
ACH-000055,-0.294460819905
ACH-000060,-0.262621372188
ACH-000067,0.0292510369456
ACH-000070,-0.22126871555799998
ACH-000075,-0.255466476972
ACH-000078,-0.36858666162799997
ACH-000082,-0.121862450328
ACH-000085,-0.261457894621
ACH-000086,-0.04267962935050001
ACH-000087,-0.34779693112599996
ACH-000092,-0.13474332264799999
ACH-000095,-0.24703787654399997
ACH-000097,-0.218162672295
ACH-000098,-0.0687124606583
ACH-000099,-0.457688550477
ACH-000108,-0.432156647976
ACH-000113,-0.20232079389199997
ACH-000115,-0.276019936306
ACH-000116,-0.21103551037999999
ACH-000118,-0.203062662964
ACH-000120,0.0105634101214
ACH-000123,-0.28372010061
ACH-000127,-0.0757128813818
ACH-000128,-0.039169059685100004
ACH-000132,-0.04359865299790001
ACH-000133,-0.05138947368869999
ACH-000137,-0.23302705567200002
ACH-000138,-0.198774703031
ACH-000142,-0.172653675044
ACH-000143,-0.458743950418
ACH-000146,-0.256781632389
ACH-000148,-0.12915091095200001
ACH-000150,-0.0473280179793
ACH-000152,-0.408800684547
ACH-000153,-0.125062400248
ACH-000159,-0.279094814957
ACH-000160,-0.21827554248300002
ACH-000163,-0.28990752931200003
ACH-000167,-0.24137800862599998
ACH-000168,-0.263091241942
ACH-000169,-0.29635236619000005
ACH-000178,-0.246267335994
ACH-000182,-0.0646709515598
ACH-000183,-0.241989513952
ACH-000188,-0.249442963803
ACH-000189,-0.314313350936
ACH-000190,-0.146255924557
ACH-000198,-0.187227187557
ACH-000204,0.0321590693707
ACH-000206,0.0346034906766
ACH-000207,-0.30005117756099997
ACH-000211,-0.20842299834000003
ACH-000215,-0.153654738231
ACH-000221,-0.251557887
ACH-000222,-0.493353391443
ACH-000223,-0.277686693652
ACH-000226,-0.174994759407
ACH-000227,-0.33461053117
ACH-000228,-0.183632599541
ACH-000231,-0.433129045863
ACH-000232,-0.153759331084
ACH-000233,-0.347027400359
ACH-000234,-0.339004464397
ACH-000235,-0.229368458869
ACH-000237,-0.384946511465
ACH-000238,-0.433822062922
ACH-000243,-0.216083626161
ACH-000244,-0.167668339565
ACH-000246,-0.16242395415400002
ACH-000248,-0.226487346505
ACH-000250,-0.217480768261
ACH-000251,-0.204618109034
ACH-000253,-0.36688286160800004
ACH-000255,-0.0552917511198
ACH-000256,-0.358972367749
ACH-000257,-0.286513224972
ACH-000258,-0.170498142016
ACH-000259,-0.39843775600000003
ACH-000260,-0.20448554807500002
ACH-000261,-0.17069887698199998
ACH-000262,-0.173402299289
ACH-000263,-0.196373800315
ACH-000264,-0.304388790595
ACH-000265,-0.183838482993
ACH-000266,-0.267750527849
ACH-000272,-0.22965826849100002
ACH-000273,-0.211290542628
ACH-000274,-0.259113160096
ACH-000277,-0.305325745373
ACH-000278,-0.303994446094
ACH-000279,-0.26355371005399997
ACH-000280,-0.38137246453400003
ACH-000281,-0.341393007732
ACH-000288,-0.273776254476
ACH-000291,-0.331424124757
ACH-000293,-0.19448852851
ACH-000294,-0.12184092741800001
ACH-000295,-0.360443902808
ACH-000296,-0.346185401843
ACH-000302,-0.141757653264
ACH-000304,-0.10055397095100001
ACH-000307,-0.21265099176
ACH-000308,-0.215661495583
ACH-000310,-0.35623645635300005
ACH-000311,-0.256118868111
ACH-000312,-0.422701496352
ACH-000315,-0.046415781402400005
ACH-000316,-0.0757811659495
ACH-000317,-0.211516533053
ACH-000318,-0.31157466644000004
ACH-000319,-0.256658858696
ACH-000320,-0.437335964229
ACH-000322,-0.431909812375
ACH-000323,-0.07786160128320001
ACH-000324,-0.377052990976
ACH-000329,-0.23158194506700003
ACH-000330,-0.10509814844200001
ACH-000331,-0.0274352549118
ACH-000332,-0.237665451921
ACH-000334,-0.404842402491
ACH-000335,0.0546423697306
ACH-000336,0.149173433147
ACH-000337,-0.163217245199
ACH-000339,-0.19064711757199998
ACH-000341,-0.12154029080600001
ACH-000348,-0.27716277438700004
ACH-000350,-0.230839540196
ACH-000352,-0.17786812644699998
ACH-000356,0.00907682850331
ACH-000361,-0.31510357048300003
ACH-000362,-0.122639656981
ACH-000363,-0.250473690826
ACH-000364,-0.054740867612
ACH-000365,-0.346042311832
ACH-000366,-0.286030844521
ACH-000368,-0.290126293551
ACH-000374,-0.12428465119200001
ACH-000375,-0.524638527424
ACH-000376,-0.23970497688499998
ACH-000381,-0.178689491106
ACH-000383,-0.120342014597
ACH-000387,-0.17530894708500003
ACH-000389,-0.400768738156
ACH-000390,-0.194479608732
ACH-000393,-0.191720290746
ACH-000395,-0.198797626006
ACH-000397,-0.231081346816
ACH-000401,-0.171504999782
ACH-000402,-0.611026747082
ACH-000403,-0.37659010050999997
ACH-000404,-0.161154674764
ACH-000406,-0.142290436883
ACH-000407,-0.142593351625
ACH-000408,-0.307189113965
ACH-000410,-0.0269474034234
ACH-000411,-0.212084703774
ACH-000414,-0.46279138748000004
ACH-000415,-0.09392154473379999
ACH-000416,-0.299073433479
ACH-000420,-0.364012438371
ACH-000421,-0.15036983472999998
ACH-000424,-0.281455078593
ACH-000425,-0.34577326915
ACH-000426,0.028768224769799997
ACH-000427,-0.48834277556199995
ACH-000433,-0.38379931809
ACH-000436,-0.192433572609
ACH-000444,-0.127489142108
ACH-000445,-0.387964681197
ACH-000448,-0.139959828135
ACH-000450,0.0234827241477
ACH-000452,-0.16641918794399999
ACH-000454,-0.0177117899183
ACH-000458,-0.211610907692
ACH-000459,-0.120663771657
ACH-000460,-0.18110608914
ACH-000461,-0.0774342979147
ACH-000463,-0.202243910094
ACH-000464,-0.176808302718
ACH-000466,-0.23581145597199998
ACH-000467,-0.2518260566
ACH-000468,-0.42771182857600004
ACH-000469,-0.20573427125100002
ACH-000470,-0.21990161771800001
ACH-000471,-0.42932500475100005
ACH-000472,-0.241590050013
ACH-000473,-0.316926441845
ACH-000475,-0.249579140714
ACH-000476,-0.289523177642
ACH-000477,-0.215328735874
ACH-000480,-0.11796625630799999
ACH-000481,-0.138938147021
ACH-000483,-0.158674467117
ACH-000484,-0.21847564348
ACH-000485,-0.193872738223
ACH-000486,-0.154719254215
ACH-000487,-0.21342042405900002
ACH-000488,-0.244108444178
ACH-000490,-0.126398913652
ACH-000491,-0.0325552968784
ACH-000495,-0.13595255458
ACH-000496,-0.0210080321537
ACH-000499,-0.153095797934
ACH-000500,0.25241918543
ACH-000502,-0.47442196990099994
ACH-000503,-0.29388779139800003
ACH-000505,-0.23224981862799998
ACH-000507,-0.0282226372192
ACH-000510,-0.04910495202930001
ACH-000511,-0.101128864039
ACH-000512,-0.08905578025630001
ACH-000516,-0.288935275487
ACH-000517,-0.257669849507
ACH-000518,-0.347713750914
ACH-000520,-0.10204495809
ACH-000521,-0.137842643663
ACH-000522,-0.0500261771884
ACH-000524,-0.467794831884
