,SCG3 (29106)
ACH-000004,0.251191012704
ACH-000007,0.233925023879
ACH-000009,0.277754531265
ACH-000011,0.304903757034
ACH-000012,0.08882053953569999
ACH-000013,0.26039424008
ACH-000014,0.26742823511
ACH-000015,0.334473051585
ACH-000017,0.0537652233918
ACH-000018,0.305473410983
ACH-000019,0.293141022207
ACH-000021,0.189903677327
ACH-000022,0.250472206302
ACH-000025,0.235880281086
ACH-000028,0.357777492948
ACH-000030,0.194956057599
ACH-000035,0.087777379115
ACH-000036,0.251268033517
ACH-000037,0.38675641660300003
ACH-000039,0.37602891271600003
ACH-000040,0.27137166440099997
ACH-000041,0.244159219402
ACH-000042,0.262863316825
ACH-000045,0.362256219855
ACH-000047,0.12193476029000001
ACH-000052,0.272448172384
ACH-000053,0.107094575167
ACH-000054,0.15223197002299999
ACH-000055,0.110454949578
ACH-000060,0.166518540679
ACH-000067,0.227646988746
ACH-000070,0.26544206385499997
ACH-000075,0.260280426956
ACH-000078,0.09438032053369999
ACH-000082,0.17765702319200002
ACH-000085,0.291695508612
ACH-000086,0.127450773512
ACH-000087,0.41141349090999996
ACH-000092,0.189396258906
ACH-000095,0.276519637125
ACH-000097,0.22554065284699998
ACH-000098,0.236089541968
ACH-000099,0.23809616670400002
ACH-000108,0.23024848591699998
ACH-000113,0.122135951497
ACH-000115,0.0501421649407
ACH-000116,0.158920846301
ACH-000118,0.215514226639
ACH-000120,0.298840480948
ACH-000123,0.17134035265
ACH-000127,0.19524980716600002
ACH-000128,0.127947393367
ACH-000132,0.203307748491
ACH-000133,0.31773632975
ACH-000137,0.308321502573
ACH-000138,0.375820152439
ACH-000142,0.23600892325300002
ACH-000143,0.291389002475
ACH-000146,0.272929136137
ACH-000148,0.241129410055
ACH-000150,0.264980618392
ACH-000152,0.186008629783
ACH-000153,0.520785535003
ACH-000159,0.254338689409
ACH-000160,0.24632306236499998
ACH-000163,0.148084571197
ACH-000167,-0.25370856725900004
ACH-000168,0.31428432884
ACH-000169,0.383711472789
ACH-000178,0.229657589829
ACH-000182,0.254462571648
ACH-000183,0.167618995177
ACH-000188,0.22472883261100002
ACH-000189,0.103517991614
ACH-000190,0.237682428075
