,LY6G5C (80741)
ACH-000004,-0.172954098437
ACH-000007,-0.22604283395599997
ACH-000009,0.018664880476099998
ACH-000011,0.06652084109069999
ACH-000012,-0.024451014770499997
ACH-000013,0.00480613482521
ACH-000014,-0.180440939522
ACH-000015,0.0360960179951
ACH-000017,0.051477493236999995
ACH-000018,0.007096650226779999
ACH-000019,0.00558700164261
ACH-000021,-0.0624802017696
ACH-000022,0.0500260965295
ACH-000025,0.0349430141747
ACH-000028,-0.0579372305067
ACH-000030,-0.04322148792830001
ACH-000035,-0.169234835629
ACH-000036,-0.0698230267231
ACH-000037,0.00311399731921
ACH-000039,0.20263605777
ACH-000040,-0.192462264351
ACH-000041,-0.0150690136532
ACH-000042,-0.00018014630728399998
ACH-000045,-0.128264383585
ACH-000047,0.038737938829099997
ACH-000052,-0.110228519918
ACH-000053,0.004843241884119999
ACH-000054,-0.0313162096663
ACH-000055,-0.280844451748
ACH-000060,-0.170332202229
ACH-000067,-0.126265368964
ACH-000070,-0.243192814896
ACH-000075,-0.240913897014
ACH-000078,0.0752811891363
ACH-000082,-0.19146139132800002
ACH-000085,-0.0646595840295
ACH-000086,-0.22088427564399998
ACH-000087,-0.20904863084000003
ACH-000092,-0.0451635084672
ACH-000095,-0.031599200614
ACH-000097,-0.033188889577599995
ACH-000098,0.0489667035065
ACH-000099,0.0096230366589
ACH-000108,-0.0926945480791
ACH-000113,-0.0953354319345
ACH-000115,-0.128972679965
ACH-000116,-0.0432175118476
ACH-000118,-0.0821796744274
ACH-000120,-0.053503246412
ACH-000123,-0.226654373663
ACH-000127,-0.153171697753
ACH-000128,-0.33067983283700003
ACH-000132,-0.181279566644
ACH-000133,-0.109138538161
ACH-000137,-0.0992197963206
ACH-000138,-0.205988518978
ACH-000142,-0.143499896746
ACH-000143,-0.248160350466
ACH-000146,0.00115516922879
ACH-000148,-0.09019691736610001
ACH-000150,0.0630893209414
ACH-000152,-0.216894861685
ACH-000153,-0.0312584227104
ACH-000159,-0.116707037788
ACH-000160,-0.030105670892500002
ACH-000163,0.0472470348757
ACH-000167,-0.019070473647
ACH-000168,-0.16866144903299998
ACH-000169,-0.187197461353
ACH-000178,-0.106966510382
ACH-000182,-0.009299724996040001
ACH-000183,-0.0366938529355
ACH-000188,-0.057084449578400004
ACH-000189,0.0734869899679
ACH-000190,-0.323690098137
ACH-000198,0.0165153169129
ACH-000204,-0.104712725641
ACH-000206,-0.458340421013
ACH-000207,-0.22401923511799998
ACH-000211,-0.029247690646599996
ACH-000215,-0.178699439617
ACH-000221,-0.108081033734
ACH-000222,0.014604185631
ACH-000223,-0.15750214284800002
ACH-000226,-0.101349921417
ACH-000227,-0.478062602062
ACH-000228,-0.0217683075044
ACH-000231,-0.186767268013
ACH-000232,-0.0754519518508
ACH-000233,-0.0814155453017
ACH-000234,0.0067340608959
ACH-000235,0.00438854534722
ACH-000237,0.143561187951
ACH-000238,-0.0513896807331
ACH-000243,-0.0622323843895
ACH-000244,0.09007814783530001
ACH-000246,-0.0253810822591
ACH-000248,-0.370751356708
ACH-000250,-0.0774142084247
ACH-000251,0.113089548705
ACH-000253,-0.066043864585
ACH-000255,-0.148703477315
ACH-000256,-0.110715426037
ACH-000257,-0.353333460551
ACH-000258,-0.056924143649199996
ACH-000259,0.018654120678400003
ACH-000260,-0.06680061214130001
ACH-000261,-0.171828618893
ACH-000262,-0.13671016683
ACH-000263,-0.389033343446
ACH-000264,-0.294109781149
ACH-000265,-0.00357832266152
ACH-000266,-0.0435299838688
ACH-000272,-0.14662972833
ACH-000273,-0.200572409006
ACH-000274,-0.0040812924689
ACH-000277,0.0132194143793
ACH-000278,-0.305906182879
ACH-000279,0.0109844981369
ACH-000280,0.08982269164519999
ACH-000281,-0.17721190120000002
ACH-000288,-0.0510771641335
ACH-000291,-0.06359490827740001
ACH-000293,-0.016716709812399998
ACH-000294,-0.050052287307900005
ACH-000295,-0.233124096772
ACH-000296,0.20553695785999998
ACH-000302,-0.185498198787
ACH-000304,-0.224524158959
ACH-000307,0.0745198157497
ACH-000308,-0.14242301425
ACH-000310,0.00854977785468
ACH-000311,-0.015736031714999998
ACH-000312,-0.0473814615534
ACH-000315,-0.07077931960739998
ACH-000316,-0.134213562485
ACH-000317,-0.13202908112700001
ACH-000318,-0.012795270817599999
ACH-000319,-0.0393674950189
ACH-000320,0.0727876646156
ACH-000322,-0.400514282989
ACH-000323,-0.13325251876299998
ACH-000324,-0.0198726309852
ACH-000329,-0.251326340493
ACH-000330,-0.13771624609799998
ACH-000331,-0.020575945029200002
ACH-000332,-0.146476587085
ACH-000334,-0.35713618904700006
ACH-000335,0.23819911609799999
ACH-000336,0.013346941886400001
ACH-000337,-0.225756158002
