,CORO1C (23603)
ACH-000004,-0.14683071795299998
ACH-000007,-0.31164226584800003
ACH-000009,-0.563487266055
ACH-000011,0.135503037486
ACH-000012,-0.495391897708
ACH-000013,-0.0230179652539
ACH-000014,-0.148442134029
ACH-000015,0.023658079342
ACH-000017,0.07333737200839999
ACH-000018,0.0515416475545
ACH-000019,0.0363451529489
ACH-000021,-0.269343042278
ACH-000022,-0.10978123499800001
ACH-000025,0.0653209165514
ACH-000028,-0.030156083379199998
ACH-000030,-0.21706965831500002
ACH-000035,-0.0571541155166
ACH-000036,-0.0554413983952
ACH-000037,-0.246486283627
ACH-000039,-0.0611360249153
ACH-000040,-0.130625878984
ACH-000041,-0.07084288635080001
ACH-000042,-0.08739623267060001
ACH-000045,-0.08471820127489998
ACH-000047,-0.229360207595
ACH-000052,-0.317468764241
ACH-000053,-0.00260573873342
ACH-000054,-0.221103525555
ACH-000055,-0.25841692329
ACH-000060,-0.08234232288110001
ACH-000067,0.00429367461643
ACH-000070,-0.100768821063
ACH-000075,-0.0472049071115
ACH-000078,0.20865990758699998
ACH-000082,-0.0278008817402
ACH-000085,-0.640674138123
ACH-000086,-0.039746671653
ACH-000087,-0.33600158629199994
ACH-000092,0.0208306221023
ACH-000095,-0.252987950664
ACH-000097,-0.0672237511585
ACH-000098,0.0312748563903
ACH-000099,0.09325041659460001
ACH-000108,-0.06729429359519999
ACH-000113,-0.10905916632000001
ACH-000115,-0.169498111038
ACH-000116,-0.017748748990599996
ACH-000118,0.14108970582900002
ACH-000120,-0.301111381002
ACH-000123,0.00504246451313
ACH-000127,-0.127581578798
ACH-000128,-0.10241953998
ACH-000132,-0.245605485328
ACH-000133,-0.209131590851
ACH-000137,-0.171046581433
ACH-000138,-0.22927466541400002
ACH-000142,-0.130750622592
ACH-000143,-0.127630540695
ACH-000146,-0.117818844203
ACH-000148,-0.185431102369
ACH-000150,-0.247416022825
ACH-000152,0.07323736394739999
ACH-000153,-0.0101698158815
ACH-000159,-0.426492342796
ACH-000160,-0.172765727574
ACH-000163,-0.11840763539100001
ACH-000167,-0.38309520094000005
ACH-000168,-0.04203000396869999
ACH-000169,-0.0399127465483
ACH-000178,-0.000659154134644
ACH-000182,-0.069936588207
ACH-000183,-0.023360665726799998
ACH-000188,-0.12508871810799999
ACH-000189,-0.0716729639725
ACH-000190,-0.304944875148
ACH-000198,-0.0142780316894
ACH-000204,-0.0178206847509
ACH-000206,0.243176154393
ACH-000207,-0.042476907246400006
ACH-000211,-0.0402445085666
ACH-000215,-0.03553063750259999
ACH-000221,-0.0221708241287
ACH-000222,-0.157389529772
ACH-000223,-0.139206924162
ACH-000226,-0.07299719361389999
ACH-000227,-0.421332896654
ACH-000228,-0.255522168098
ACH-000231,-0.18938678634300002
ACH-000232,-0.160839545045
ACH-000233,-0.0568645041263
ACH-000234,-0.320304082281
ACH-000235,0.0140856279092
ACH-000237,-0.081030210032
ACH-000238,-0.40838493220100003
ACH-000243,-0.05734720148709999
ACH-000244,-0.301746862457
ACH-000246,-0.435187674528
ACH-000248,-0.0950782786572
ACH-000250,-0.294080889003
ACH-000251,0.362918018613
ACH-000253,-0.06362271363630001
ACH-000255,-0.00878747011548
ACH-000256,-0.133643334441
ACH-000257,0.189191830482
ACH-000258,0.0113458998349
ACH-000259,-0.170594152279
ACH-000260,-0.027372439983999998
ACH-000261,-0.195300602962
ACH-000262,-0.153124908673
ACH-000263,-0.324852371855
ACH-000264,-0.09778142036710001
ACH-000265,0.0227038416211
ACH-000266,-0.127253395833
ACH-000272,0.0454693507809
ACH-000273,-0.0179042619492
ACH-000274,0.0161160845416
ACH-000277,-0.212588960563
ACH-000278,-0.13285542078600002
ACH-000279,-0.216721942164
ACH-000280,-0.0915314932451
ACH-000281,-0.20468828271899997
ACH-000288,-0.144676552753
ACH-000291,-0.0980023564341
ACH-000293,-0.131652962391
ACH-000294,-0.1179325066
ACH-000295,0.181708553031
ACH-000296,-0.18650388629700002
ACH-000302,-0.206253206587
ACH-000304,-0.0795920090286
ACH-000307,-0.0976414089958
ACH-000308,-0.175612887371
ACH-000310,0.0955097621436
ACH-000311,-0.08470237570450001
ACH-000312,-0.0668422997796
ACH-000315,-0.192323994718
ACH-000316,-0.05829592382119999
ACH-000317,0.17007275581300002
ACH-000318,-0.200150466742
ACH-000319,-0.00415337021082
ACH-000320,0.04703008486119999
ACH-000322,-0.234961890113
ACH-000323,0.00404847098652
ACH-000324,-0.09853699173260001
ACH-000329,-0.348294723288
ACH-000330,-0.0629647431856
ACH-000331,-0.168476435697
ACH-000332,-0.131909227202
ACH-000334,-0.299866823595
ACH-000335,-0.588513299333
ACH-000336,0.079559305877
ACH-000337,0.149577723585
ACH-000339,-0.167394148642
ACH-000341,-0.140215147525
ACH-000348,0.0012990295448299998
ACH-000350,-0.0466716013681
ACH-000352,-0.130796138851
ACH-000356,0.029517569811400003
ACH-000361,-0.100207087819
ACH-000362,-0.024648031561599996
ACH-000363,0.00633807909208
ACH-000364,-0.0178295374054
ACH-000365,-0.0687822844058
ACH-000366,-0.017602093865599997
ACH-000368,-0.172345431708
ACH-000374,-0.122915163237
ACH-000375,-0.018263962653999998
ACH-000376,-0.257254784994
ACH-000381,-0.324719394476
ACH-000383,-0.149954867913
ACH-000387,-0.0164264888574
ACH-000389,-0.456050317091
ACH-000390,-0.320535343889
ACH-000393,-0.0877859226329
ACH-000395,-0.25334784683600003
ACH-000397,-0.246740854691
ACH-000401,-0.0181424627335
ACH-000402,-0.297116916003
ACH-000403,-0.188009103682
ACH-000404,0.270073915228
ACH-000406,-0.0403565067737
ACH-000407,-0.220106629657
ACH-000408,-0.037252770041400006
ACH-000410,-0.199092400831
ACH-000411,0.099443967065
ACH-000414,-0.0249620098971
ACH-000415,-0.00402226088514
ACH-000416,-0.22305609306899998
ACH-000420,-0.416149417027
ACH-000421,-0.18565062347800002
ACH-000424,-0.0172415087587
ACH-000425,-0.22979566211199998
ACH-000426,-0.32482560577799996
ACH-000427,0.0163796006674
ACH-000433,-0.0443719805557
ACH-000436,0.053900818337
ACH-000444,-0.23148678565900002
ACH-000445,-0.20375687338399998
ACH-000448,-0.019415860825
ACH-000450,-0.048164772083099994
ACH-000452,-0.36896540401199995
ACH-000454,-0.473745491751
ACH-000458,-0.285651401745
ACH-000459,0.13009965286800002
ACH-000460,-0.26535585888700003
ACH-000461,-0.243728980516
ACH-000463,-0.265712746334
ACH-000464,-0.450699186488
ACH-000466,-0.086367032752
ACH-000467,-0.25856070626999994
ACH-000468,-0.20832339846700001
ACH-000469,-0.0109513998762
ACH-000470,-0.207440077387
ACH-000471,-0.218964496155
ACH-000472,-0.204228911596
ACH-000473,-0.0824375697838
ACH-000475,-0.123477207493
ACH-000476,-0.47138398224699996
ACH-000477,-0.5328523853930001
ACH-000480,-0.372391120083
ACH-000481,-0.382656506685
ACH-000483,-0.280590385678
ACH-000484,-0.468572979809
ACH-000485,-0.183085033539
ACH-000486,-0.123927764275
ACH-000487,-0.0682803340213
ACH-000488,-0.502554798753
ACH-000490,-0.0975377651455
ACH-000491,-0.492182524646
ACH-000495,-0.06910705236280001
ACH-000496,-0.32234663618299997
ACH-000499,-0.15484781752000001
ACH-000500,-0.126570640835
ACH-000502,-0.24142498747900001
ACH-000503,-0.391396447058
ACH-000505,-0.13430583233899998
ACH-000507,-0.151110036223
ACH-000510,0.0360486185929
ACH-000511,-0.034370802423300005
ACH-000512,-0.0908894215071
ACH-000516,-0.10105291993200001
ACH-000517,-0.137416783721
ACH-000518,-0.044170015663700005
ACH-000520,-0.000262937684675
ACH-000521,0.183109605216
ACH-000522,0.146940762586
ACH-000524,-0.117244244969
ACH-000527,-0.202460910786
ACH-000528,-0.0559656013038
ACH-000537,-0.271552504524
ACH-000541,-0.186651066714
ACH-000542,-0.34413145747100005
ACH-000544,-0.305108785618
ACH-000545,-0.218936198523
ACH-000547,-0.517418023284
ACH-000548,-0.0532986672199
ACH-000549,-0.023690236707900002
ACH-000550,0.0200539869827
ACH-000552,0.0670326179654
ACH-000556,-0.18836628688
ACH-000557,-0.04443054600330001
ACH-000570,-0.25639119898699997
ACH-000571,0.007975211403789999
