,TAMM41 (132001)
ACH-000004,-1.3713511446000002
ACH-000007,-1.58024937627
ACH-000009,-1.57065196389
ACH-000011,-1.42704144118
ACH-000012,-1.14503039246
ACH-000013,-1.3417853801100001
ACH-000014,-1.49095608671
ACH-000015,-1.40597925864
ACH-000017,-1.28204832639
ACH-000018,-1.5778677761200002
ACH-000019,-0.6990595557100001
ACH-000021,-0.826881757288
ACH-000022,-1.5076068089599999
ACH-000025,-1.10212031781
ACH-000028,-1.2449158200900001
ACH-000030,-1.4209475634
ACH-000035,-1.7728597959599999
ACH-000036,-1.0472433215999999
ACH-000037,-1.24715593727
ACH-000039,-0.730704898662
ACH-000040,-1.34543626006
ACH-000041,-1.55504140909
ACH-000042,-1.4158659879700002
ACH-000045,-1.21901998124
ACH-000047,-0.870419866899
ACH-000052,-1.20264266827
ACH-000053,-1.26559833824
ACH-000054,-0.7524837233670001
ACH-000055,-1.2044562698299999
ACH-000060,-1.4593992039500001
ACH-000067,-1.27633244624
ACH-000070,-1.3315363522600001
ACH-000075,-0.86221377326
ACH-000078,-0.78389903432
ACH-000082,-0.478310140616
ACH-000085,-1.4673294542
ACH-000086,-1.1442202581299998
ACH-000087,-1.41356869271
ACH-000092,-0.8734648294480001
ACH-000095,-0.835009755248
ACH-000097,-1.2137114409999998
ACH-000098,-1.3760945762099999
ACH-000099,-1.04176480567
ACH-000108,-1.12369766095
ACH-000113,-1.2063332858700002
ACH-000115,-1.21769008819
ACH-000116,-1.5470925389399999
ACH-000118,-1.2937701271200002
ACH-000120,-0.903407016715
ACH-000123,-1.2306306622799998
ACH-000127,-1.3678708241799997
ACH-000128,-1.79719416855
ACH-000132,-1.03391070002
ACH-000133,-1.23699365227
ACH-000137,-0.749341901883
ACH-000138,-1.68720620458
ACH-000142,-1.15187294981
ACH-000143,-1.49008920301
ACH-000146,-1.57846425506
ACH-000148,-1.36074938419
ACH-000150,-1.5499777325
ACH-000152,-1.31712732624
ACH-000153,-1.09798876377
ACH-000159,-1.09566027244
ACH-000160,-1.3219822264299999
ACH-000163,-1.70759184844
ACH-000167,-1.36924956573
ACH-000168,-1.90514638357
ACH-000169,-1.24488981049
ACH-000178,-1.37474884211
ACH-000182,-1.3929359086200002
ACH-000183,-1.21787032445
ACH-000188,-1.37072497735
ACH-000189,-1.24952807429
ACH-000190,-1.39148323273
ACH-000198,-1.05215318317
ACH-000204,-1.03794956182
ACH-000206,-1.31579854353
ACH-000207,-1.3160446286799998
ACH-000211,-1.15444025003
ACH-000215,-1.51572656345
ACH-000221,-1.71020227754
ACH-000222,-1.1265252965399999
ACH-000223,-0.81019797602
ACH-000226,-1.3128684993700002
ACH-000227,-1.26723650108
ACH-000228,-1.28365597688
ACH-000231,-1.16486498605
