,LCN6 (158062)
ACH-000004,-0.0378194959219
ACH-000007,-0.276651171717
ACH-000009,-0.5071270927220001
ACH-000011,-0.48682968513400005
ACH-000012,-0.450759384064
ACH-000013,-0.538647182012
ACH-000014,-0.185449072806
ACH-000015,-0.317081877384
ACH-000017,-0.289931185577
ACH-000018,-0.344140606105
ACH-000019,0.007160879504
ACH-000021,-0.274151039397
ACH-000022,-0.472232488311
ACH-000025,-0.236865753259
ACH-000028,-0.29529630029
ACH-000030,-0.34886517218
ACH-000035,-0.20958674081
ACH-000036,-0.334568146878
ACH-000037,-0.0135009870805
ACH-000039,-0.188840991325
ACH-000040,-0.419543385115
ACH-000041,-0.497156260878
ACH-000042,-0.490890082741
ACH-000045,-0.310425637919
ACH-000047,-0.320896413513
ACH-000052,-0.38034820119199997
ACH-000053,-0.478170010488
ACH-000054,-0.40339190345299997
ACH-000055,-0.191474377049
ACH-000060,-0.26150388443399997
ACH-000067,-0.274491173498
ACH-000070,-0.284050737634
ACH-000075,-0.38245706211400005
ACH-000078,-0.492572233089
ACH-000082,-0.059810878232100004
ACH-000085,-0.333159658926
ACH-000086,-0.309577320689
ACH-000087,-0.420646086323
ACH-000092,-0.268567102504
ACH-000095,-0.121228427022
ACH-000097,-0.267736976839
ACH-000098,-0.118593552292
ACH-000099,-0.520556608914
ACH-000108,-0.5917459628180001
ACH-000113,-0.412981430348
ACH-000115,-0.512174148401
ACH-000116,-0.375282156756
ACH-000118,-0.38871217676799996
ACH-000120,-0.38409301303800003
ACH-000123,-0.343878106094
ACH-000127,-0.209180589448
ACH-000128,-0.39398321192900004
ACH-000132,-0.387217061638
ACH-000133,-0.22408759439399997
ACH-000137,-0.139520490026
ACH-000138,-0.591581571015
ACH-000142,-0.36192154303900004
ACH-000143,-0.312574344421
ACH-000146,-0.383689023514
ACH-000148,-0.467665973882
ACH-000150,-0.43202331646799996
ACH-000152,-0.375928629867
ACH-000153,-0.243066474169
ACH-000159,-0.223539389331
ACH-000160,-0.233570854087
ACH-000163,-0.216380401154
ACH-000167,-0.049092122189600004
ACH-000168,-0.513179202719
ACH-000169,-0.351713241522
ACH-000178,-0.475376531157
ACH-000182,-0.425590049412
ACH-000183,-0.289886684249
ACH-000188,-0.48967137460500004
ACH-000189,-0.208254957091
ACH-000190,-0.244896937594
ACH-000198,-0.225179176835
ACH-000204,0.0155024773442
ACH-000206,-0.0826634187727
ACH-000207,-0.423203911149
ACH-000211,-0.286003460438
ACH-000215,-0.277216949665
ACH-000221,-0.335292711039
ACH-000222,-0.338995096334
ACH-000223,-0.242453226642
ACH-000226,-0.250980382421
ACH-000227,-0.375173947373
ACH-000228,-0.30199006375
ACH-000231,-0.204953461694
ACH-000232,-0.258465382344
ACH-000233,-0.45113146015
ACH-000234,-0.31816828575100004
ACH-000235,-0.327172301605
ACH-000237,-0.317261817962
ACH-000238,-0.419019451563
ACH-000243,-0.24710425254
ACH-000244,-0.47171827683399997
ACH-000246,-0.5688392045049999
ACH-000248,-0.09460219080280001
ACH-000250,-0.512803699296
ACH-000251,-0.576328071
ACH-000253,-0.461521606811
ACH-000255,-0.335952310246
ACH-000256,-0.318198632337
ACH-000257,-0.141964373206
ACH-000258,-0.161172016843
ACH-000259,-0.356695947228
ACH-000260,-0.321380682288
ACH-000261,-0.268315533596
ACH-000262,-0.632603310622
ACH-000263,-0.1232306233
ACH-000264,-0.26877957312600004
ACH-000265,-0.330000980105
