,AHSA1 (10598)
ACH-000004,-0.234703499942
ACH-000007,-0.0337006738905
ACH-000009,-0.18231251771200002
ACH-000011,0.20554575498799998
ACH-000012,-0.38387162566
ACH-000013,-0.197832943535
ACH-000014,-0.569262944888
ACH-000015,-0.116618411171
ACH-000017,-0.551312315049
ACH-000018,0.06400776351649999
ACH-000019,-0.100433900645
ACH-000021,-0.07959015169660001
ACH-000022,-0.0638426030706
ACH-000025,-0.09521678736580001
ACH-000028,-0.266105339634
ACH-000030,-0.0588843860788
ACH-000035,-0.163668518085
ACH-000036,-0.245810989476
ACH-000037,-0.304194689096
ACH-000039,-0.281610763981
ACH-000040,0.0218981992646
ACH-000041,-0.188180321264
ACH-000042,-0.0775881277015
ACH-000045,0.0721970575493
ACH-000047,-0.237004274318
ACH-000052,0.0037650109286599997
ACH-000053,-0.38718231475299997
ACH-000054,-0.16894588661499998
ACH-000055,0.0782395435919
ACH-000060,-0.359125104767
ACH-000067,0.069159194154
ACH-000070,-0.24103068736299998
ACH-000075,-0.0443896186973
ACH-000078,-0.38437127233
ACH-000082,-0.19135948912599998
ACH-000085,-0.291196197643
ACH-000086,-0.19514519925999999
ACH-000087,0.040085215271499997
ACH-000092,-0.249390302778
ACH-000095,-0.214748276868
ACH-000097,-0.18890480789900002
ACH-000098,-0.12416880461200001
ACH-000099,-0.35503644281900004
ACH-000108,-0.0331675178708
ACH-000113,-0.848857812823
ACH-000115,-0.0494089718364
ACH-000116,-0.268401819449
ACH-000118,-0.27124744459600003
ACH-000120,-0.019319769127599997
ACH-000123,-0.14404848631
ACH-000127,-0.0670570998295
ACH-000128,-0.11513402772600001
ACH-000132,-0.229909649239
ACH-000133,-0.294826239536
ACH-000137,-0.09450140878550001
ACH-000138,-0.12582974249
ACH-000142,-0.0814195464398
ACH-000143,0.115656695438
ACH-000146,-0.133327499574
ACH-000148,-0.27889786817699996
ACH-000150,0.0226068267551
ACH-000152,-0.0645042163572
ACH-000153,0.23505416681
ACH-000159,-0.201769972151
ACH-000160,-0.295674295154
ACH-000163,-0.21166021227
ACH-000167,-0.141915473464
ACH-000168,-0.09097768722510001
ACH-000169,-0.260526477858
ACH-000178,0.0482032412431
ACH-000182,-0.0837716511333
ACH-000183,-0.0188634305399
ACH-000188,-0.0754582473662
ACH-000189,-0.111635133599
ACH-000190,-0.16710880494000002
ACH-000198,-0.13594915460999998
ACH-000204,-0.19928739646899998
ACH-000206,-0.178260718582
ACH-000207,-0.34496245894
ACH-000211,-0.151303250944
ACH-000215,-0.10418712162799999
ACH-000221,-0.145390113794
ACH-000222,0.011403467088799997
ACH-000223,-0.35313779159599995
ACH-000226,-0.09693021454180001
ACH-000227,-0.234036946845
ACH-000228,-0.08050388069730001
ACH-000231,-0.050876347506
ACH-000232,-0.13551180921199998
ACH-000233,-0.181390332476
ACH-000234,-0.07665221534189999
ACH-000235,-0.100851198267
ACH-000237,-0.0181307065666
ACH-000238,-0.32971853451
ACH-000243,-0.09187172077780001
ACH-000244,-0.17051920909
ACH-000246,-0.199172345048
