,HINFP (25988)
ACH-000004,-1.2290607288700002
ACH-000007,-1.10550048067
ACH-000009,-1.1178271838299998
ACH-000011,-1.2515721102
ACH-000012,-1.0128721652200001
ACH-000013,-1.64101257914
ACH-000014,-0.902593003793
ACH-000015,-1.3017837190000001
ACH-000017,-1.3476045668799999
ACH-000018,-1.0159118134
ACH-000019,-0.991051002862
ACH-000021,-1.09174254073
ACH-000022,-1.38518739319
ACH-000025,-1.00165404235
ACH-000028,-1.06756546556
ACH-000030,-1.05118591404
ACH-000035,-0.959753835888
ACH-000036,-1.25328654869
ACH-000037,-0.6718905434110001
ACH-000039,-1.18151683527
ACH-000040,-1.13172233583
ACH-000041,-1.26661528995
ACH-000042,-1.18495132454
ACH-000045,-1.35457884378
ACH-000047,-1.17667422427
ACH-000052,-0.934429882131
ACH-000053,-1.54066723295
ACH-000054,-1.06137501232
ACH-000055,-1.20563715769
ACH-000060,-1.06512588643
ACH-000067,-0.926285128444
ACH-000070,-1.14474011044
ACH-000075,-1.16737819159
ACH-000078,-1.52987891208
ACH-000082,-1.1996714749700002
ACH-000085,-1.2923118235100002
ACH-000086,-1.20615654156
ACH-000087,-1.22340201207
ACH-000092,-0.92579791954
ACH-000095,-1.46241689926
ACH-000097,-1.19501226025
ACH-000098,-1.11442647784
ACH-000099,-1.16924728851
ACH-000108,-1.19714106073
ACH-000113,-1.2814093010299998
ACH-000115,-1.72339581806
ACH-000116,-1.3007968468
ACH-000118,-1.3485719335799997
ACH-000120,-1.18474513575
ACH-000123,-1.28101297908
ACH-000127,-1.14301497823
ACH-000128,-1.15345778199
ACH-000132,-0.604765611428
ACH-000133,-1.1525315421100002
ACH-000137,-1.7711028122999999
ACH-000138,-1.22679994646
ACH-000142,-1.2383814303899998
ACH-000143,-1.1669938743200001
ACH-000146,-1.27657429874
ACH-000148,-1.3744240555399998
ACH-000150,-1.22328462543
ACH-000152,-0.942918879816
ACH-000153,-1.4243365597100002
ACH-000159,-1.6261534152000001
ACH-000160,-1.14148023434
ACH-000163,-1.1318265327600001
ACH-000167,-1.10048236188
ACH-000168,-1.23887577624
ACH-000169,-1.13370282039
ACH-000178,-1.13512745729
ACH-000182,-1.22481829035
ACH-000183,-1.20968163326
ACH-000188,-1.1411866646
ACH-000189,-1.45449111139
ACH-000190,-0.7562280174930001
ACH-000198,-1.36450151593
ACH-000204,-0.957169562043
ACH-000206,-1.1599784822399999
ACH-000207,-0.7966019058600001
ACH-000211,-1.2566481302399999
ACH-000215,-1.25090169226
ACH-000221,-1.3373117800299998
ACH-000222,-1.35303885265
ACH-000223,-0.9967869177850001
ACH-000226,-1.06707912597
ACH-000227,-1.17262563801
ACH-000228,-1.42177055456
ACH-000231,-1.14522521559
ACH-000232,-1.31399457577
ACH-000233,-1.30026990736
ACH-000234,-1.27921523915
ACH-000235,-1.12818666962
ACH-000237,-0.965428504603
ACH-000238,-1.06793079254
ACH-000243,-1.26172386988
ACH-000244,-0.928725921333
ACH-000246,-1.1189071441299998
ACH-000248,-1.02694481123
ACH-000250,-1.0700436092799999
ACH-000251,-0.533131911331
ACH-000253,-1.34863937424
ACH-000255,-1.0698989747
