,TGFBRAP1 (9392)
ACH-000004,-0.100117301807
ACH-000007,-0.240513044062
ACH-000009,-0.300693019961
ACH-000011,-0.9175367762440001
ACH-000012,-0.165112706836
ACH-000013,-0.29518183480300003
ACH-000014,-0.23142376632300002
ACH-000015,-0.229014042197
ACH-000017,-0.17622934489599998
ACH-000018,-0.273871117921
ACH-000019,-0.179961181988
ACH-000021,-0.154428310428
ACH-000022,-0.223821934832
ACH-000025,-0.209746420246
ACH-000028,-0.141184929238
ACH-000030,-0.39481742138400006
ACH-000035,-0.13296391268
ACH-000036,-0.521738323358
ACH-000037,-0.286193853757
ACH-000039,-0.22087648716999997
ACH-000040,-0.436533708815
ACH-000041,-0.0772557389303
ACH-000042,-0.13933095205999999
ACH-000045,-0.326109206833
ACH-000047,-0.14661731471699999
ACH-000052,-0.311976715808
ACH-000053,-0.351398938495
ACH-000054,-0.264755615271
ACH-000055,-0.12237217337999999
ACH-000060,-0.377141588696
ACH-000067,-0.374574828558
ACH-000070,-0.74129361506
ACH-000075,-0.20305508009300002
ACH-000078,-0.09781924984160001
ACH-000082,-0.27586060416700003
ACH-000085,-0.418973061273
ACH-000086,-0.322309183039
ACH-000087,0.0293631660171
ACH-000092,-0.47086603416999995
ACH-000095,-0.13537098105999998
ACH-000097,-0.13689100935
ACH-000098,-0.818985357961
ACH-000099,-0.110191581437
ACH-000108,-0.34467339291999993
ACH-000113,-0.476726938454
ACH-000115,-0.21098132991000002
ACH-000116,-0.140044399118
ACH-000118,-0.18829906151
ACH-000120,-0.228582806345
ACH-000123,-0.264917268898
ACH-000127,-0.46033164182999997
ACH-000128,-0.243473952605
ACH-000132,-0.345977069877
ACH-000133,-0.35711874214199996
ACH-000137,-0.595687254342
ACH-000138,-0.32773550210499997
ACH-000142,-0.5823725193029999
ACH-000143,-0.297454862662
ACH-000146,-0.49772179200000005
ACH-000148,-0.226800293602
ACH-000150,-0.119104952544
ACH-000152,-0.398479038615
ACH-000153,-0.0332336247846
ACH-000159,-0.388794716867
ACH-000160,-0.243886211899
ACH-000163,-0.309458227533
ACH-000167,-0.756812706518
ACH-000168,-0.304730588174
ACH-000169,-0.16844201353500002
ACH-000178,-0.453683384115
ACH-000182,-0.187757637378
ACH-000183,-0.715456846938
ACH-000188,-0.26471617122900004
ACH-000189,-0.701515497365
ACH-000190,-0.170257632478
ACH-000198,-0.44524182687799996
ACH-000204,-0.9634829512880001
ACH-000206,-0.316378922084
ACH-000207,-0.515524305202
ACH-000211,-0.5218417906480001
ACH-000215,-0.517809157939
ACH-000221,-0.182882007865
ACH-000222,-0.434294356637
ACH-000223,-0.264427848803
ACH-000226,-0.255462482763
ACH-000227,-0.0961064926117
ACH-000228,-0.306758580547
ACH-000231,-0.148582752362
ACH-000232,-0.08532758975579999
ACH-000233,-0.265934283833
ACH-000234,-0.626049430229
ACH-000235,-0.3379284986300001
ACH-000237,-0.36790025522799996
ACH-000238,-0.958162413581
ACH-000243,-0.122728450145
ACH-000244,-0.433667215785
ACH-000246,-0.522261293069
ACH-000248,-0.325502303251
ACH-000250,-0.292618596139
ACH-000251,0.172386476935
ACH-000253,-0.17773645122600001
ACH-000255,-0.256539641438
ACH-000256,-0.165778366768
ACH-000257,-0.20503278860100002
ACH-000258,0.09834168675039999
ACH-000259,-0.0763691299675
ACH-000260,-0.543465721177
ACH-000261,-0.15201170322000002
ACH-000262,-0.934123145178
ACH-000263,-0.153965188662
ACH-000264,-0.8535948086759999
ACH-000265,-0.201400491848
ACH-000266,-0.354528652247
ACH-000272,-0.41822435862199997
ACH-000273,-0.23473129170899998
ACH-000274,-0.276892003895
ACH-000277,-0.26491930212299997
ACH-000278,-0.412018526923
ACH-000279,-0.241284193339
ACH-000280,-0.424501747269
ACH-000281,-0.24397293467700001
ACH-000288,-0.209313076888
ACH-000291,-0.267144597097
ACH-000293,-0.438754384868
ACH-000294,-0.7741859984280001
ACH-000295,-0.787840526896
ACH-000296,-0.19576778168900003
ACH-000302,-0.050750365829800005
ACH-000304,-0.784311392636
ACH-000307,-0.281298625875
ACH-000308,-0.438140753333
ACH-000310,-0.208340855061
ACH-000311,-0.144101202805
ACH-000312,-0.144781278901
ACH-000315,-0.277857256897
ACH-000316,-0.295691069871
ACH-000317,-0.624694863273
ACH-000318,-0.458822490485
ACH-000319,-0.284073228414
ACH-000320,-0.361418599252
ACH-000322,-0.428485839864
ACH-000323,-0.29405005847300003
ACH-000324,-0.20919660032
ACH-000329,-0.259246959143
ACH-000330,-0.166709147511
ACH-000331,-0.32030125072099996
ACH-000332,-0.130900411581
ACH-000334,-0.373959605971
ACH-000335,-0.504426806231
ACH-000336,-0.583312656911
ACH-000337,-0.133016535554
ACH-000339,-0.44245077058300003
ACH-000341,-0.47323608310000004
ACH-000348,-0.314332782811
ACH-000350,-0.050345889791299996
ACH-000352,-0.252987041533
ACH-000356,-0.11431900889900001
ACH-000361,-0.332786311886
ACH-000362,-0.652729898432
ACH-000363,-0.429230173699
ACH-000364,-0.29931340543699997
ACH-000365,-0.282846704503
ACH-000366,-0.274491015415
ACH-000368,-0.28974880652199997
ACH-000374,-0.395254996061
ACH-000375,-0.483862289504
ACH-000376,-0.44165170289800004
ACH-000381,-0.38792969227799995
ACH-000383,-0.882971623065
ACH-000387,-0.31125719708099997
ACH-000389,-0.30739627822
ACH-000390,-0.39999734876500004
ACH-000393,-0.42281906560599997
ACH-000395,-0.374982891071
ACH-000397,-0.933384635103
ACH-000401,-0.144378516359
ACH-000402,-0.34995321910899996
ACH-000403,-0.26118951745700003
ACH-000404,-0.37271461002899997
ACH-000406,-0.34682799476
ACH-000407,-0.161648166065
ACH-000408,-0.375745732615
ACH-000410,-0.147133553849
ACH-000411,-0.301377571959
ACH-000414,-0.324273943424
ACH-000415,-0.481234091625
ACH-000416,-0.296554799169
ACH-000420,-0.405529182808
ACH-000421,-0.324491274154
ACH-000424,-0.136262738654
ACH-000425,-0.327494080805
ACH-000426,-0.12875772189200002
ACH-000427,-0.24407722231999998
ACH-000433,-0.167741432743
ACH-000436,-0.22084649568000003
ACH-000444,-0.024085226899700003
ACH-000445,-0.215451945911
ACH-000448,-0.191123919929
ACH-000450,-0.351431188957
ACH-000452,-0.278861012395
ACH-000454,-0.7883409160100001
ACH-000458,-0.24023825973700003
ACH-000459,-0.5658675591610001
ACH-000460,-0.454744179169
ACH-000461,-0.292204578983
ACH-000463,-0.382988946434
ACH-000464,-0.24154537767499998
ACH-000466,-0.386791051348
ACH-000467,-0.399192775395
ACH-000468,-0.38928867853
ACH-000469,-0.34345782523100005
ACH-000470,-0.174020590903
ACH-000471,-0.19775696581799998
ACH-000472,-0.46615461008500003
ACH-000473,-0.129888257515
ACH-000475,-0.22844806485599997
ACH-000476,-0.653194399133
ACH-000477,-0.35841205542800003
ACH-000480,-0.231121776969
ACH-000481,-0.18594505726399999
ACH-000483,-0.0754922184226
ACH-000484,-0.8958691113700001
ACH-000485,-0.179738360718
ACH-000486,-0.283983526043
ACH-000487,-0.170298618351
ACH-000488,-0.156086178966
ACH-000490,-0.20095941638700002
ACH-000491,-0.288831241908
ACH-000495,-0.549619516735
ACH-000496,-0.566441847715
ACH-000499,-0.381017714374
ACH-000500,-0.056838226424300003
ACH-000502,-0.416456120202
ACH-000503,-0.45000404327200005
ACH-000505,-0.312348798855
ACH-000507,-0.308655304573
ACH-000510,-0.261808812718
ACH-000511,-0.336687299256
ACH-000512,-0.326375527837
ACH-000516,-0.288974457066
ACH-000517,-0.14352693902
ACH-000518,-0.523850277636
ACH-000520,-0.421415537233
ACH-000521,-0.522925074036
ACH-000522,-0.26470114912500003
ACH-000524,-0.22319399312399998
ACH-000527,-0.520138109704
ACH-000528,-0.385456383755
ACH-000537,-0.451092395661
ACH-000541,-0.553223010287
ACH-000542,-0.20015480248
ACH-000544,-1.0232533048299999
ACH-000545,-0.27296717723
ACH-000547,-0.19397681035599998
ACH-000548,-0.9234533965889999
ACH-000549,-0.47008428858
ACH-000550,-0.208989006929
ACH-000552,-0.550171125785
ACH-000556,-0.36117538684199996
ACH-000557,-0.22813857442699997
ACH-000570,-0.24227157198199997
ACH-000571,-0.421266950458
ACH-000573,-0.195463476997
ACH-000576,-0.30365709443100003
ACH-000580,-0.718564640309
ACH-000584,-0.316116929077
ACH-000585,-0.227003395372
