,MCF2L2 (23101)
ACH-000004,-0.132666222813
ACH-000007,0.04572545481919999
ACH-000009,-0.20202121053199998
ACH-000011,-0.25762599958500004
ACH-000012,-0.139245125572
ACH-000013,-0.05170108286069999
ACH-000014,-0.0722295501984
ACH-000015,-0.193052798099
ACH-000017,-0.19144074561799998
ACH-000018,0.0280068326595
ACH-000019,-0.173787474903
ACH-000021,0.035337347148
ACH-000022,-0.145282056537
ACH-000025,-0.052453362473
ACH-000028,-0.259514207315
ACH-000030,-0.07902148681030001
ACH-000035,-0.28321577231
ACH-000036,0.00468942956185
ACH-000037,-0.22297258860599997
ACH-000039,-0.0296504779729
ACH-000040,-0.090744008091
ACH-000041,-0.211107218824
ACH-000042,-0.302338154707
ACH-000045,0.0484128227781
ACH-000047,-0.15996452431299998
ACH-000052,0.0150327970688
ACH-000053,-0.15377154065600002
ACH-000054,-0.25327667777199997
ACH-000055,-0.0759084244331
ACH-000060,-0.0751440433167
ACH-000067,-0.210117667084
ACH-000070,-0.16687418072000001
ACH-000075,0.021045887705799998
ACH-000078,-0.31151769180100003
ACH-000082,-0.200325252723
ACH-000085,-0.052662022525800004
ACH-000086,-0.0753427205753
ACH-000087,-0.18012703568100003
ACH-000092,-0.266396761782
ACH-000095,-0.149167901193
ACH-000097,-0.123586226445
ACH-000098,-0.246079209431
ACH-000099,-0.226754318598
ACH-000108,-0.143045517281
ACH-000113,-0.16214463942600002
ACH-000115,-0.0571682638428
ACH-000116,-0.232244430653
ACH-000118,-0.0691006405656
ACH-000120,0.0104792513836
ACH-000123,-0.0587809315561
ACH-000127,-0.17960101205499998
ACH-000128,-0.148767631973
ACH-000132,-0.113272062322
ACH-000133,-0.0446235798122
ACH-000137,-0.294846457664
ACH-000138,-0.126419584276
ACH-000142,-0.143988075337
ACH-000143,-0.0946965848831
ACH-000146,-0.108276294689
ACH-000148,-0.0984708934393
ACH-000150,-0.0847073061854
ACH-000152,-0.121907041125
ACH-000153,-0.165395851715
ACH-000159,-0.126529881832
ACH-000160,-0.278288973179
ACH-000163,-0.240146361082
ACH-000167,0.0348168863867
ACH-000168,-0.050520714464600006
ACH-000169,-0.17431715385699997
ACH-000178,-0.115282189727
ACH-000182,-0.253671710707
ACH-000183,-0.166496500803
ACH-000188,-0.0194362070074
ACH-000189,-0.18071775032499998
ACH-000190,-0.575478257748
ACH-000198,-0.0421755948073
ACH-000204,-0.20707085269900002
ACH-000206,-0.0712575625527
ACH-000207,0.05854246317219999
ACH-000211,-0.11907215344000001
ACH-000215,-0.104567464445
ACH-000221,-0.15778130117
ACH-000222,0.064657826168
ACH-000223,-0.20496331954100003
ACH-000226,0.045801133634400006
ACH-000227,0.037824565798599996
ACH-000228,-0.265463782444
ACH-000231,-0.17129722633799999
ACH-000232,-0.15190373075400002
ACH-000233,-0.0007432667410650001
ACH-000234,-0.342152575465
ACH-000235,-0.24789713902600002
ACH-000237,-0.371022139978
ACH-000238,-0.231351730161
ACH-000243,-0.126641201085
ACH-000244,-0.00869138662938
ACH-000246,-0.0707006657833
ACH-000248,-0.322295367265
ACH-000250,-0.136206752791
ACH-000251,-0.172249547693
ACH-000253,-0.22659194459100002
ACH-000255,-0.021198101294499998
ACH-000256,-0.17715220602899998
ACH-000257,-0.0406256003631
ACH-000258,-0.123355130711
ACH-000259,-0.08928039424460002
ACH-000260,-0.125286783594
ACH-000261,0.0042298261003699995
ACH-000262,-0.0851845149922
ACH-000263,-0.18894839515099998
ACH-000264,-0.0999311978102
ACH-000265,0.12363025722899999
ACH-000266,-0.263807844927
ACH-000272,-0.164611146153
ACH-000273,-0.0992699521067
ACH-000274,-0.155883924643
ACH-000277,-0.334338722007
ACH-000278,-0.16296743218499998
ACH-000279,-0.126002922888
ACH-000280,-0.249667699745
ACH-000281,-0.35494953638800003
ACH-000288,0.0216942480199
ACH-000291,-0.144915321043
ACH-000293,-0.147432881681
ACH-000294,0.175389088189
ACH-000295,-0.344009076932
ACH-000296,-0.210333090572
ACH-000302,-0.14769880945699998
ACH-000304,0.19018595315
ACH-000307,-0.15138531713700001
ACH-000308,-0.0192710998887
ACH-000310,-0.327927600436
ACH-000311,-0.0824721718757
ACH-000312,-0.08968211666269998
ACH-000315,-0.383162466118
ACH-000316,-0.308727170157
ACH-000317,0.136216757169
ACH-000318,-0.257554665292
ACH-000319,-0.169030445904
ACH-000320,-0.13700051378699998
ACH-000322,-0.334662623649
ACH-000323,-0.288166139079
