,CCM2 (83605)
ACH-000004,0.08045469399569999
ACH-000007,-0.166202512339
ACH-000009,-0.252113588386
ACH-000011,-0.0489489538001
ACH-000012,-0.103097240481
ACH-000013,0.0588597739052
ACH-000014,0.37234658809
ACH-000015,-0.133652083693
ACH-000017,-0.0439904499315
ACH-000018,-0.274493983198
ACH-000019,-0.167768827625
ACH-000021,-0.16843327445599998
ACH-000022,-0.115150929746
ACH-000025,-0.030470890945799998
ACH-000028,0.12030750487700001
ACH-000030,-0.13191897812
ACH-000035,-0.192052854111
ACH-000036,-0.0217229339114
ACH-000037,-0.033730278429400004
ACH-000039,-0.430437804133
ACH-000040,0.00759956361792
ACH-000041,-0.287376506977
ACH-000042,0.152760703877
ACH-000045,-0.015335234159299998
ACH-000047,0.09389790897700001
ACH-000052,-0.008277852678340001
ACH-000053,-0.18160306254500003
ACH-000054,-0.059206080375600004
ACH-000055,-0.0919755974777
ACH-000060,0.41657075851400005
ACH-000067,0.145501470461
ACH-000070,-0.43777937405
ACH-000075,0.0132433603494
ACH-000078,-0.29369813539
ACH-000082,-0.26203360707199996
ACH-000085,-0.140633150826
ACH-000086,-0.022256824150700003
ACH-000087,-0.355198350823
ACH-000092,-0.0122622989005
ACH-000095,-0.0729076152691
ACH-000097,-0.11921000077199999
ACH-000098,0.38084645289700003
ACH-000099,-0.184677747932
ACH-000108,-0.0416183699976
ACH-000113,-0.058099297058199995
ACH-000115,-0.309773346176
ACH-000116,-0.0390070901785
ACH-000118,0.017349971007700003
ACH-000120,-0.196965368175
ACH-000123,-0.756280121851
ACH-000127,-0.209635535861
ACH-000128,-0.08704333859539999
ACH-000132,0.283072339233
ACH-000133,-0.382420049852
ACH-000137,-0.145221239403
ACH-000138,-0.12346339104000001
ACH-000142,-0.00396094562483
ACH-000143,-0.00264045180922
ACH-000146,-0.10770376409000001
ACH-000148,-0.201182607146
ACH-000150,-0.10671300590199999
ACH-000152,-0.111196881131
ACH-000153,0.0710107756787
ACH-000159,-0.20598146237
ACH-000160,-0.107443554959
ACH-000163,0.115508226664
ACH-000167,0.05350611097730001
ACH-000168,0.12343892413100001
ACH-000169,-0.042359854023699996
ACH-000178,0.0514448841792
ACH-000182,-0.245271415103
ACH-000183,-0.048179176359800006
ACH-000188,-0.16486555833799998
ACH-000189,-0.498198318939
ACH-000190,-0.25794232949
ACH-000198,-0.16299093782500002
ACH-000204,-0.44630053454999996
ACH-000206,0.260863589549
ACH-000207,-0.282825943542
ACH-000211,-0.138347954522
ACH-000215,-0.0781516818382
ACH-000221,-0.0190861048747
ACH-000222,-0.0280241667723
ACH-000223,0.0172154269187
ACH-000226,0.037634697127300006
ACH-000227,-0.31627038104000005
ACH-000228,-0.291009741489
ACH-000231,-0.0268491103602
ACH-000232,0.14348111307
ACH-000233,-0.170901143261
