,CD1C (911)
ACH-000004,-0.010168307263600001
ACH-000007,-0.189532393864
ACH-000009,-0.17119001574200002
ACH-000011,-0.194942664985
ACH-000012,-0.0767211979873
ACH-000013,-0.062423340568199995
ACH-000014,-0.20020602163600001
ACH-000015,-0.011955196244299998
ACH-000017,-0.061901948728
ACH-000018,-0.116041772253
ACH-000019,-0.18244675793200002
ACH-000021,-0.251157751434
ACH-000022,-0.0659826109083
ACH-000025,-0.322875200918
ACH-000028,-0.236559408385
ACH-000030,-0.113798172426
ACH-000035,-0.261834376729
ACH-000036,0.053450662116999996
ACH-000037,0.165088390005
ACH-000039,0.18765354515299998
ACH-000040,0.00714971794556
ACH-000041,-0.129164707834
ACH-000042,-0.122425397514
ACH-000045,-0.185879054622
ACH-000047,-0.021805985245400002
ACH-000052,0.06773963748669999
ACH-000053,-0.45287697343
ACH-000054,-0.150506120021
ACH-000055,-0.019981636394
ACH-000060,-0.189517477885
ACH-000067,0.060448341314500005
ACH-000070,-0.029296199322
ACH-000075,-0.232762098268
ACH-000078,-0.09331625877119999
ACH-000082,-0.0005928907503309999
ACH-000085,0.0794481461075
ACH-000086,-0.316558092914
ACH-000087,0.05260962473690001
ACH-000092,-0.164092783979
ACH-000095,-0.166898156428
ACH-000097,-0.164257740472
ACH-000098,-0.188837923073
ACH-000099,-0.103091518154
ACH-000108,0.008217732337260001
ACH-000113,-0.200111443147
ACH-000115,-0.12339802011600001
ACH-000116,-0.159850923988
ACH-000118,-0.0816901646606
ACH-000120,-0.06272728033160001
ACH-000123,-0.141713684588
ACH-000127,-0.183313602345
ACH-000128,0.100207197814
ACH-000132,-0.204502386873
ACH-000133,-0.247806067348
ACH-000137,-0.281466967211
ACH-000138,-0.12090761577199999
ACH-000142,-0.11353330966900001
ACH-000143,-0.179043496682
ACH-000146,-0.18187002425299997
ACH-000148,-0.0755316986673
ACH-000150,-0.214070845006
ACH-000152,-0.0812789338402
ACH-000153,-0.229603128937
ACH-000159,-0.15505876722
ACH-000160,-0.15758392584699998
ACH-000163,-0.25418013844500004
ACH-000167,-0.385454138298
ACH-000168,-0.0367637891802
ACH-000169,-0.09596635233439998
ACH-000178,-0.231354379606
ACH-000182,-1.01724494407e-05
ACH-000183,0.0785833702175
ACH-000188,-0.0562057142059
ACH-000189,0.13590068012700002
ACH-000190,-0.08425381635569999
ACH-000198,-0.145814999361
ACH-000204,-0.572594960086
ACH-000206,-0.050460859307699994
ACH-000207,-0.08723896860989999
ACH-000211,-0.235743682045
ACH-000215,-0.141360430529
ACH-000221,-0.07378677802339999
ACH-000222,-0.194127355783
ACH-000223,-0.2513110829
ACH-000226,-0.0482697299868
ACH-000227,-0.150126831384
ACH-000228,-0.0632097778359
ACH-000231,-0.0786519316269
ACH-000232,-0.214891656895
ACH-000233,-0.0649775088345
ACH-000234,-0.129263380718
ACH-000235,-0.207779812302
ACH-000237,-0.148141722491
ACH-000238,-0.0030085828121699998
ACH-000243,-0.221091527965
ACH-000244,-0.0474672862629
ACH-000246,-0.11178498319800001
ACH-000248,-0.273087683498
ACH-000250,-0.0821081966822
ACH-000251,-0.18896225963500002
ACH-000253,0.0361793351136
ACH-000255,-0.06931805649230001
ACH-000256,-0.09678367895829999
ACH-000257,0.029112764873900004
ACH-000258,-0.158803469043
ACH-000259,-0.144283701541
ACH-000260,-0.0974399476715
ACH-000261,-0.147661141518
ACH-000262,-0.08932858555510001
ACH-000263,0.0619251845079
ACH-000264,-0.259881338003
ACH-000265,-0.09611987232719998
ACH-000266,-0.16292107619
ACH-000272,-0.212808749212
ACH-000273,-0.165596615733
ACH-000274,-0.0976122155207
ACH-000277,0.0448592457388
ACH-000278,-0.171486018304
ACH-000279,-0.125368793124
ACH-000280,-0.048498237852800004
ACH-000281,0.0388029052826
ACH-000288,-0.12312206230799999
ACH-000291,-0.036022020323000004
ACH-000293,-0.04409544607419999
ACH-000294,-0.08646006517629999
ACH-000295,-0.119382402064
ACH-000296,-0.160800760838
ACH-000302,-0.06794057616230001
ACH-000304,-0.44930183497500004
ACH-000307,-0.061290445013300006
ACH-000308,-0.142032979514
ACH-000310,-0.329160057357
ACH-000311,-0.31265824364399997
ACH-000312,-0.115983939084
ACH-000315,0.154745072022
ACH-000316,0.008632134207459998
ACH-000317,-0.221753886619
ACH-000318,-0.0065897080895
ACH-000319,-0.201112473746
ACH-000320,-0.422444448371
ACH-000322,0.022479677617099996
ACH-000323,0.0667046256595
ACH-000324,-0.137464528641
ACH-000329,-0.071591423507
ACH-000330,-0.046893410850400004
ACH-000331,-0.132016839242
ACH-000332,-0.205509492848
ACH-000334,-0.39334530633500003
ACH-000335,-0.13271239392
ACH-000336,-0.33869791947300004
ACH-000337,-0.17620414630800002
ACH-000339,0.0010595176088300001
ACH-000341,-0.39133010472699997
ACH-000348,-0.107808200349
ACH-000350,-0.387344150233
ACH-000352,-0.0503123086795
ACH-000356,-0.228600163374
ACH-000361,-0.24953928868900002
ACH-000362,-0.0813292512709
ACH-000363,-0.07474308199
ACH-000364,-0.14603902517
ACH-000365,-0.11763331265999999
ACH-000366,-0.015172705925600001
ACH-000368,-0.305505931663
ACH-000374,-0.244437418367
ACH-000375,0.18980397417999997
ACH-000376,-0.130589541789
ACH-000381,-0.141854665301
ACH-000383,-0.0975069841769
ACH-000387,-0.266101910773
ACH-000389,-0.012413464145500002
ACH-000390,-0.07125407666339999
ACH-000393,0.0780107976503
ACH-000395,-0.0720183021509
ACH-000397,-0.115198608352
ACH-000401,0.0341719661693
ACH-000402,-0.143763551206
ACH-000403,-0.165767196803
ACH-000404,-0.101722497969
ACH-000406,-0.210575715518
ACH-000407,-0.054474034943199995
ACH-000408,-0.06364630298830001
ACH-000410,-0.290521953739
ACH-000411,-0.326731487788
ACH-000414,-0.192121129399
ACH-000415,-0.109202709912
ACH-000416,-0.0999296074287
ACH-000420,-0.0389148815685
ACH-000421,-0.122201628589
ACH-000424,0.00146105032197
ACH-000425,-0.170837044919
ACH-000426,-0.565098153323
ACH-000427,0.0199922736476
ACH-000433,-0.0387071199399
ACH-000436,-0.289035703325
ACH-000444,-0.037311103405400003
ACH-000445,-0.05251093546109999
ACH-000448,-0.24193871588399998
ACH-000450,0.11115965285
ACH-000452,-0.128308565776
ACH-000454,-0.160578456308
ACH-000458,0.0436113708748
ACH-000459,-0.0860307993344
ACH-000460,-0.0658984085988
ACH-000461,-0.14184595735400002
ACH-000463,-0.12375323682600001
ACH-000464,-0.274896305655
ACH-000466,-0.0506004729912
ACH-000467,-0.101041773884
ACH-000468,-0.117296584774
ACH-000469,-0.149058512848
ACH-000470,-0.10129685177400001
ACH-000471,-0.0932439699711
ACH-000472,0.0072901925173500005
ACH-000473,0.028758572504599997
ACH-000475,-0.154819966644
ACH-000476,-0.08945883305939999
ACH-000477,0.105179114593
ACH-000480,-0.11145202233200001
ACH-000481,-0.10668208943
ACH-000483,-0.111101298505
ACH-000484,-0.07633885020600001
ACH-000485,-0.0817413160555
ACH-000486,-0.10941345121400001
ACH-000487,-0.08689299969969999
ACH-000488,-0.0359432745986
ACH-000490,-0.0962739272825
ACH-000491,-0.0382728136416
ACH-000495,-0.25602699704
ACH-000496,-0.16479334397
ACH-000499,0.101434517894
ACH-000500,-0.272885627561
ACH-000502,-0.11546400304000001
ACH-000503,0.100721638901
ACH-000505,-0.122846669699
ACH-000507,-0.0056080519431
ACH-000510,-0.17485881959000002
ACH-000511,0.0167329608065
ACH-000512,-0.330080539907
ACH-000516,-0.10677633834599999
ACH-000517,-0.247342900613
ACH-000518,-0.0325488719241
ACH-000520,-0.0038864181695300003
ACH-000521,-0.255810699917
ACH-000522,-0.19477315811700002
ACH-000524,-0.06791225404630001
ACH-000527,-0.07103786429610001
ACH-000528,-0.148575077185
ACH-000537,0.0568339068525
ACH-000541,-0.0673235039271
ACH-000542,-0.108308761144
ACH-000544,-0.042843297244300006
ACH-000545,-0.209445730947
ACH-000547,-0.116448827306
ACH-000548,-0.0948254173414
ACH-000549,0.0352966767661
ACH-000550,0.00963639134235
ACH-000552,-0.0905078823591
ACH-000556,-0.140613372775
ACH-000557,0.429968859449
ACH-000570,0.025364252488000002
ACH-000571,-0.100166560652
ACH-000573,-0.22269299215500002
ACH-000576,-0.25555344921
ACH-000580,-0.0292528130279
ACH-000584,0.0269290187213
ACH-000585,-0.212938858576
ACH-000588,-0.0166476432214
ACH-000589,-0.134590273522
ACH-000591,0.169529318517
ACH-000593,-0.000422538488775
ACH-000600,-0.2939550393
ACH-000601,-0.183152514816
ACH-000604,0.0019154375541500003
