,ALOX15 (246)
ACH-000004,-0.30691777324299996
ACH-000007,-0.353650604927
ACH-000009,-0.382809114742
ACH-000011,-0.31296583892900004
ACH-000012,-0.137919437178
ACH-000013,-0.172521457573
ACH-000014,-0.119170956013
ACH-000015,-0.00228412214604
ACH-000017,-0.39498335549
ACH-000018,-0.11990758713300001
ACH-000019,0.10969211923399999
ACH-000021,-0.0737001372958
ACH-000022,-0.126784241435
ACH-000025,-0.23312853571800002
ACH-000028,-0.29587528040100003
ACH-000030,-0.155960358455
ACH-000035,-0.037611627952300004
ACH-000036,-0.217633136613
ACH-000037,-0.161904970512
ACH-000039,-0.21527960329100002
ACH-000040,-0.289183128538
ACH-000041,-0.16764901776799998
ACH-000042,-0.224638076706
ACH-000045,-0.126167903893
ACH-000047,-0.276429108793
ACH-000052,0.0324078902735
ACH-000053,-0.011914904073399998
ACH-000054,-0.192222304261
ACH-000055,-0.441795132712
ACH-000060,-0.19210547127099997
ACH-000067,-0.309340080277
ACH-000070,-0.0231002177057
ACH-000075,-0.18123689037000001
ACH-000078,0.0586642463072
ACH-000082,-0.33358365091
ACH-000085,-0.329436446097
ACH-000086,-0.0984998254108
ACH-000087,-0.28596262431499997
ACH-000092,-0.030962224572200003
ACH-000095,-0.156225432039
ACH-000097,-0.126439946364
ACH-000098,-0.141920781184
ACH-000099,-0.14720752547
ACH-000108,0.0288800655017
ACH-000113,-0.21071411519400002
ACH-000115,-0.16698027048800002
ACH-000116,-0.128952671002
ACH-000118,-0.270893176718
ACH-000120,-0.117925782402
ACH-000123,-0.08784655933730001
ACH-000127,-0.184729393378
ACH-000128,-0.05109794109540001
ACH-000132,-0.236414726717
ACH-000133,-0.20454468050900002
ACH-000137,-0.26585335514499997
ACH-000138,-0.288958203742
ACH-000142,-0.282300374639
ACH-000143,-0.160882938035
ACH-000146,-0.004919727826930001
ACH-000148,-0.153880085711
ACH-000150,-0.39675428602799995
ACH-000152,-0.439271939058
ACH-000153,-0.0614505512898
ACH-000159,-0.0448111670197
ACH-000160,-0.032693311087
ACH-000163,-0.28728380626999994
ACH-000167,-0.26528845781
ACH-000168,-0.42838344937600004
ACH-000169,-0.40022187053900005
ACH-000178,-0.09363369661240001
ACH-000182,-0.253695677225
ACH-000183,-0.262129333887
ACH-000188,-0.29028239057599997
ACH-000189,-0.117948752918
ACH-000190,-0.13528978003699998
ACH-000198,-0.17940180127
ACH-000204,0.0620711007575
ACH-000206,0.104672182136
ACH-000207,-0.35538204146700003
ACH-000211,-0.148273363609
ACH-000215,-0.143954703594
ACH-000221,-0.0391825875087
ACH-000222,-0.130003716918
ACH-000223,-0.160599390208
ACH-000226,-0.107569489343
ACH-000227,-0.183398486261
ACH-000228,-0.0740046420769
ACH-000231,-0.385446703692
ACH-000232,-0.0770358609693
ACH-000233,-0.132917728423
ACH-000234,-0.150451709554
ACH-000235,-0.165263951085
ACH-000237,-0.119636717075
ACH-000238,-0.300563311351
ACH-000243,-0.147877316211
ACH-000244,-0.206952734893
ACH-000246,-0.216084867254
ACH-000248,-0.070401408126
ACH-000250,-0.24485446641699998
ACH-000251,-0.122794571598
ACH-000253,-0.22009582888700002
ACH-000255,-0.0040361691580399995
ACH-000256,-0.369260356196
ACH-000257,-0.0389453757294
ACH-000258,-0.0933691323343
ACH-000259,-0.131444598409
ACH-000260,-0.134304877711
ACH-000261,-0.0234700552025
ACH-000262,-0.21634532092099998
ACH-000263,-0.23703510672800002
ACH-000264,-0.117512274097
