,CHFR (55743)
ACH-000004,-0.0536807365869
ACH-000007,-0.28102182528
ACH-000009,-0.108581706323
ACH-000011,0.12709815459100002
ACH-000012,-0.010590130880499999
ACH-000013,-0.061348652964
ACH-000014,0.0707749437298
ACH-000015,0.0680372004513
ACH-000017,-0.00161348681832
ACH-000018,0.0031501148209499997
ACH-000019,-0.118884899068
ACH-000021,-0.0497326715271
ACH-000022,-0.004812633118069999
ACH-000025,-0.078943129545
ACH-000028,0.0986938910671
ACH-000030,-0.018150688974
ACH-000035,-0.0510221871224
ACH-000036,-0.00911404540135
ACH-000037,-0.20545041865
ACH-000039,-0.23419705677900002
ACH-000040,-0.212149894944
ACH-000041,-0.039133076681199995
ACH-000042,-0.035772008901
ACH-000045,-0.0220054577175
ACH-000047,-0.10223327647399999
ACH-000052,-0.0760456917747
ACH-000053,-0.023036384147200002
ACH-000054,0.20512286039
ACH-000055,-0.0184362617076
ACH-000060,-0.06555102595080001
ACH-000067,0.148704946219
ACH-000070,-0.04698659181440001
ACH-000075,0.24322016585700001
ACH-000078,-0.27490303993799997
ACH-000082,-0.032016742093000004
ACH-000085,-0.27376149891999996
ACH-000086,-0.12621163502399999
ACH-000087,0.041607773738599994
ACH-000092,-0.0365956806189
ACH-000095,0.012665638193000001
ACH-000097,0.0708265860424
ACH-000098,0.0601674991151
ACH-000099,-0.0418742876835
ACH-000108,-0.031354091938
ACH-000113,0.161983294531
ACH-000115,-0.12538006349300002
ACH-000116,0.0903588795854
ACH-000118,0.0246211437566
ACH-000120,-0.0698800980964
ACH-000123,-0.19578096920899998
ACH-000127,0.20494459591800002
ACH-000128,0.121099397907
ACH-000132,0.19635875136199998
ACH-000133,0.126482291578
ACH-000137,0.08542656643680001
ACH-000138,-0.0208473168108
ACH-000142,0.07969823455630001
ACH-000143,-0.21819492388099998
ACH-000146,0.210937555216
ACH-000148,-0.135238751435
ACH-000150,-0.302298710057
ACH-000152,-0.18905175952199998
ACH-000153,-0.201440381813
ACH-000159,0.0615001437275
ACH-000160,0.114238950311
ACH-000163,-0.133610336856
ACH-000167,0.053210121128699994
ACH-000168,-0.18456667142900002
ACH-000169,-0.061023468764000006
ACH-000178,-0.0361744833071
ACH-000182,-0.0166663578146
ACH-000183,0.0509225276675
ACH-000188,-0.103090931145
ACH-000189,-0.29295657106999995
ACH-000190,-0.192809537163
ACH-000198,-0.13376016129899998
ACH-000204,0.128419131131
ACH-000206,0.121646009894
ACH-000207,0.09921867498579999
ACH-000211,-0.0931697736915
ACH-000215,-0.18514602684
ACH-000221,0.26153908801
ACH-000222,-0.08707316751399999
ACH-000223,-0.0459243582701
ACH-000226,0.258487021477
ACH-000227,-0.280136465758
ACH-000228,0.0773494114147
ACH-000231,-0.00020942812911200004
ACH-000232,0.0120818657914
ACH-000233,-0.183326534623
ACH-000234,0.162378759943
ACH-000235,0.042971655537099994
ACH-000237,-0.07486956105880001
ACH-000238,0.0268998912672
ACH-000243,0.10629642390900002
ACH-000244,-0.0769583954128
ACH-000246,-0.0996809926223
ACH-000248,0.0254612334744
ACH-000250,-0.16512500284499998
ACH-000251,-0.0372302771775
ACH-000253,0.0129903841655
ACH-000255,0.10343236337200001
ACH-000256,-0.334717705628
ACH-000257,0.00379272088033
ACH-000258,-0.201640391385
ACH-000259,0.0632173777941
ACH-000260,-0.268328741116
ACH-000261,0.007217715851649999
ACH-000262,-0.036545086036400005
ACH-000263,0.027399355814700002
ACH-000264,0.0595557825706
ACH-000265,0.0610276447022
ACH-000266,0.0571590671876
ACH-000272,0.0197798984268
ACH-000273,-0.11861335157099999
ACH-000274,-0.0923010675901
ACH-000277,-0.054717267221999995
ACH-000278,-0.06035850744269999
ACH-000279,-0.144476355069
ACH-000280,-0.125801860597
ACH-000281,-0.031388013768700006
ACH-000288,-0.12193485523700001
ACH-000291,-0.0253732819396
ACH-000293,0.177805584693
ACH-000294,-0.14113903876599998
ACH-000295,-0.22509817678000002
ACH-000296,0.0702579823728
ACH-000302,-0.045913639799
ACH-000304,-0.0777685534699
ACH-000307,-0.0180753090639
ACH-000308,-0.15838578777999998
ACH-000310,-0.24229861694000002
ACH-000311,-0.0523452835879
ACH-000312,0.12295715903200001
ACH-000315,-0.167099448865
ACH-000316,-0.0182685466891
ACH-000317,0.0922353037337
ACH-000318,0.0036480148655900005
ACH-000319,0.007323616980430001
ACH-000320,0.050795553592800004
ACH-000322,-0.163491382928
ACH-000323,-0.0308751935844
ACH-000324,-0.0843080684468
ACH-000329,-0.25775018629700003
ACH-000330,0.03022999041
ACH-000331,-0.06635717335590001
ACH-000332,-0.005278854860220001
ACH-000334,0.0817983424093
ACH-000335,-0.15573716587
ACH-000336,-0.053391202750699994
ACH-000337,0.247357689198
ACH-000339,0.0298137974697
ACH-000341,-0.167862157846
ACH-000348,-0.0601977420034
ACH-000350,-0.357084815486
ACH-000352,0.00961803726539
ACH-000356,0.22407284477400002
ACH-000361,-0.0376821205399
ACH-000362,0.09119998931600001
ACH-000363,0.0441679055774
ACH-000364,0.203273552172
ACH-000365,0.0062126518125299995
ACH-000366,-0.118989798782
ACH-000368,0.0391233234977
ACH-000374,-0.117684702766
ACH-000375,-0.230129005576
ACH-000376,0.031429766631099997
ACH-000381,0.0756580789154
ACH-000383,0.0164311719811
ACH-000387,-0.045897292878800004
ACH-000389,0.19650583263500002
ACH-000390,-0.11746262376599999
ACH-000393,-0.14141304247199998
ACH-000395,-0.0242811508509
ACH-000397,-0.126722314323
ACH-000401,0.124132798017
ACH-000402,-0.39724559110200003
ACH-000403,-0.00152433486771
ACH-000404,-0.038746595094599996
ACH-000406,-0.0630730080506
ACH-000407,0.0762532035862
ACH-000408,0.06921391955310001
ACH-000410,-0.030592165682200002
ACH-000411,-0.0231317232271
ACH-000414,-0.0323314132143
ACH-000415,0.121402977764
ACH-000416,-0.0346711806834
ACH-000420,-0.0326964514572
ACH-000421,-0.09340419288219999
ACH-000424,-0.197019238097
ACH-000425,0.023526630887700004
ACH-000426,0.213334813546
ACH-000427,0.241090546888
ACH-000433,-0.017689569305
ACH-000436,0.18650888782299999
ACH-000444,0.179238069516
ACH-000445,0.117723115757
ACH-000448,-0.0316963930046
ACH-000450,0.0804774723548
ACH-000452,-0.0444043507838
ACH-000454,-0.133808262638
ACH-000458,-0.168575647522
