,TRRAP (8295)
ACH-000004,-1.4199531078
ACH-000007,-1.56094093591
ACH-000009,-1.5895108063299999
ACH-000011,-1.4592286252700002
ACH-000012,-1.48180734711
ACH-000013,-1.51578056998
ACH-000014,-1.3714765142200003
ACH-000015,-1.55249701389
ACH-000017,-1.1622309575299998
ACH-000018,-1.53737202199
ACH-000019,-1.5842944229799998
ACH-000021,-1.5534008992200001
ACH-000022,-1.53875372437
ACH-000025,-1.56239468083
ACH-000028,-1.17588281973
ACH-000030,-1.43406647488
ACH-000035,-1.3619585367700002
ACH-000036,-1.3880279115
ACH-000037,-1.57030993382
ACH-000039,-1.5284127754199999
ACH-000040,-1.5390955321700002
ACH-000041,-1.54301844872
ACH-000042,-1.51277613683
ACH-000045,-1.3983306306799999
ACH-000047,-1.216681922
ACH-000052,-1.99150886595
ACH-000053,-1.5798248253
ACH-000054,-1.52898663727
ACH-000055,-1.5566710477599999
ACH-000060,-1.39315674814
ACH-000067,-1.00069579495
ACH-000070,-1.3647915018599999
ACH-000075,-1.5706204053600001
ACH-000078,-1.6942623960699998
ACH-000082,-1.30348158801
ACH-000085,-1.69131556103
ACH-000086,-1.3824073664399998
ACH-000087,-1.54781453349
ACH-000092,-1.14152976296
ACH-000095,-1.66050739208
ACH-000097,-1.26089541591
ACH-000098,-1.1894519206999998
ACH-000099,-1.3699029200600001
ACH-000108,-1.40203129262
ACH-000113,-1.5202983299500001
ACH-000115,-1.5528123161
ACH-000116,-1.3804788475
ACH-000118,-1.3777343639200001
ACH-000120,-1.54804582225
ACH-000123,-1.3833624646
ACH-000127,-1.52892993379
ACH-000128,-1.63721630903
ACH-000132,-1.57334235119
ACH-000133,-1.65336485079
ACH-000137,-1.56564991006
ACH-000138,-1.6190525886000002
ACH-000142,-1.38929700541
ACH-000143,-1.37042312935
ACH-000146,-1.5671075233
ACH-000148,-1.47002304599
ACH-000150,-1.56938080436
ACH-000152,-1.47492900201
ACH-000153,-1.83205123634
ACH-000159,-1.34041374832
ACH-000160,-1.3095531834
ACH-000163,-1.8377633264400002
ACH-000167,-1.2227074043100001
ACH-000168,-1.48638104591
ACH-000169,-1.4484563467200002
ACH-000178,-1.50991229648
ACH-000182,-1.51475382288
ACH-000183,-1.32666077033
ACH-000188,-1.50638878752
ACH-000189,-1.46765464116
ACH-000190,-1.4041279542200003
ACH-000198,-1.27999812849
ACH-000204,-1.6910553925799998
ACH-000206,-1.0868618510899999
ACH-000207,-1.50192091046
ACH-000211,-1.00309716918
ACH-000215,-1.2144379164
ACH-000221,-1.3057929392399998
ACH-000222,-1.7106216039700002
ACH-000223,-1.60256923789
ACH-000226,-1.4560905012399998
ACH-000227,-1.60569863526
ACH-000228,-1.56964488324
ACH-000231,-1.2517190938
ACH-000232,-1.33316235837
ACH-000233,-1.74245226993
ACH-000234,-1.2619090655299998
ACH-000235,-1.4338001403999998
ACH-000237,-1.51037321977
ACH-000238,-1.52070700813
ACH-000243,-1.3765445803100003
ACH-000244,-0.974451934614
ACH-000246,-0.913521906821
ACH-000248,-1.4272911843599998
ACH-000250,-1.08790923912
ACH-000251,-1.1467738676600001
ACH-000253,-1.8654322491
ACH-000255,-1.61914977588
ACH-000256,-1.3450114047600001
ACH-000257,-1.3810667522
ACH-000258,-1.26888119777
ACH-000259,-1.2744391908200001
ACH-000260,-1.5472902811000002
ACH-000261,-1.71498020491
ACH-000262,-1.19533751456
ACH-000263,-2.04738038133
ACH-000264,-1.4051789183
ACH-000265,-1.5014932443200002
ACH-000266,-0.9305330001719999
ACH-000272,-1.29969255006
ACH-000273,-1.43610483462
ACH-000274,-1.30046094999
ACH-000277,-1.54288883382
ACH-000278,-1.24383963608
ACH-000279,-1.7756908060099998
ACH-000280,-1.6383025108700002
ACH-000281,-1.67417933313
ACH-000288,-1.48919692841
ACH-000291,-1.30731587775
ACH-000293,-1.30551489293
ACH-000294,-1.43396858097
ACH-000295,-1.38630293994
ACH-000296,-1.36090310518
ACH-000302,-1.66307877163
ACH-000304,-1.44986152292
ACH-000307,-1.5403582252399999
ACH-000308,-1.37592342276
ACH-000310,-1.4647906749200001
ACH-000311,-1.26239430888
ACH-000312,-1.5277382343
ACH-000315,-1.39700575049
ACH-000316,-1.34299512016
ACH-000317,-1.43287033368
ACH-000318,-1.85821432165
ACH-000319,-1.5629861967200003
ACH-000320,-1.5358789926499998
ACH-000322,-1.2959770798399999
ACH-000323,-1.66175720268
ACH-000324,-1.152233325
ACH-000329,-0.8689639533269999
ACH-000330,-1.6931574090000001
ACH-000331,-1.36959715164
ACH-000332,-1.29694787074
ACH-000334,-1.62499824668
ACH-000335,-1.34018624556
ACH-000336,-1.59703739271
ACH-000337,-1.6756657164500002
ACH-000339,-1.63925310883
ACH-000341,-1.7081405560799998
ACH-000348,-1.58855727823
ACH-000350,-1.67677247469
ACH-000352,-1.73903444057
ACH-000356,-1.53485723757
ACH-000361,-1.7380028411900001
ACH-000362,-1.42358142924
ACH-000363,-1.7994345286900002
ACH-000364,-1.24844394541
ACH-000365,-1.3767566889700003
ACH-000366,-1.7090462300799998
ACH-000368,-1.11703757985
ACH-000374,-1.7578665310599997
ACH-000375,-1.48412213648
ACH-000376,-1.34316913565
ACH-000381,-1.52780698137
ACH-000383,-1.4198509854199999
ACH-000387,-1.20226360788
ACH-000389,-1.16874309575
ACH-000390,-1.42482279887
ACH-000393,-1.57001267276
ACH-000395,-1.5721498884399998
ACH-000397,-1.2959805945799998
ACH-000401,-1.5415598217500002
ACH-000402,-1.2971072271200002
ACH-000403,-1.7559726995299998
ACH-000404,-1.21929484764
ACH-000406,-1.51111239383
ACH-000407,-1.30157260012
ACH-000408,-1.26577524419
ACH-000410,-1.15273774831
ACH-000411,-1.24826327792
ACH-000414,-1.4911533613299999
ACH-000415,-1.7874351955400003
ACH-000416,-1.4809179755000001
ACH-000420,-1.2225492786299998
ACH-000421,-1.48716427151
ACH-000424,-1.75742793725
ACH-000425,-1.55592067857
ACH-000426,-1.23669743634
ACH-000427,-1.53910465405
ACH-000433,-1.36907177618
ACH-000436,-1.4726971956200001
ACH-000444,-1.51718395622
ACH-000445,-1.20556997824
ACH-000448,-1.6603350362399998
ACH-000450,-1.38817856098
ACH-000452,-1.6959035641999998
ACH-000454,-1.1916989588299998
ACH-000458,-1.46255306842
ACH-000459,-0.7303221474670001
ACH-000460,-1.52248696955
ACH-000461,-1.49686308791
ACH-000463,-1.28189638663
ACH-000464,-1.1527599184100001
ACH-000466,-1.7191131375400002
