,NUSAP1 (51203)
ACH-000004,0.05526163456230001
ACH-000007,-0.127354937601
ACH-000009,-0.171038575823
ACH-000011,-0.0990562779418
ACH-000012,-0.21542429500399998
ACH-000013,0.08454918210370001
ACH-000014,0.016660271340299997
ACH-000015,-0.06556993854030001
ACH-000017,-0.137973802492
ACH-000018,0.343151168508
ACH-000019,-0.0293011578627
ACH-000021,0.0205940697055
ACH-000022,0.140542468052
ACH-000025,-0.143744908564
ACH-000028,0.05895025464940001
ACH-000030,-0.0580839091623
ACH-000035,-0.171164615392
ACH-000036,-0.0617254311011
ACH-000037,0.0060237258100200005
ACH-000039,0.10572106450999999
ACH-000040,0.0214068087635
ACH-000041,-0.16004109533299998
ACH-000042,-0.0907553469009
ACH-000045,-0.048042484600200004
ACH-000047,-0.0107995308271
ACH-000052,-0.11637630983
ACH-000053,-0.10233392377100001
ACH-000054,-0.0352019827168
ACH-000055,0.11711999865700001
ACH-000060,0.061656257123
ACH-000067,-0.283988746615
ACH-000070,-0.10540386600400001
ACH-000075,-0.142207118958
ACH-000078,-0.09732223355019999
ACH-000082,-0.25065344434000003
ACH-000085,-0.0898659866904
ACH-000086,-0.10366756155300001
ACH-000087,-0.375616812693
ACH-000092,-0.17259398465700002
ACH-000095,-0.10614144232999999
ACH-000097,-0.369730403315
ACH-000098,0.0240491964353
ACH-000099,-0.0732406466098
ACH-000108,-0.25326867781
ACH-000113,-0.026473506167900004
ACH-000115,-0.317566681007
ACH-000116,0.08998354141
ACH-000118,-0.105828170674
ACH-000120,-0.026645826728099998
ACH-000123,-0.0798223908731
ACH-000127,-0.0366211002929
ACH-000128,-0.057500170855999996
ACH-000132,-0.290586901575
ACH-000133,-0.07244376494360001
ACH-000137,-0.165383134663
ACH-000138,-0.0817584174897
ACH-000142,-0.125566305904
ACH-000143,-0.11068928569900001
ACH-000146,-0.045990795080300004
ACH-000148,-0.250471000828
ACH-000150,-0.309598530182
ACH-000152,0.08596307540279999
ACH-000153,-0.05069994871399999
ACH-000159,-0.203775980982
ACH-000160,-0.0773729986988
ACH-000163,-0.14804160419600002
ACH-000167,-0.173621407498
ACH-000168,-0.199571787903
ACH-000169,-0.0549740484774
ACH-000178,-0.17151507526700002
ACH-000182,0.0103562370691
ACH-000183,0.031713858400599995
ACH-000188,-0.0347839612932
ACH-000189,-0.32077424749
ACH-000190,-0.23700807255399997
ACH-000198,-0.17771604806299998
ACH-000204,-0.402199290613
ACH-000206,-0.0812890103695
ACH-000207,-0.0576362157308
ACH-000211,-0.117934532599
ACH-000215,-0.056446960450800006
ACH-000221,-0.0865009269943
ACH-000222,-0.0193220313011
ACH-000223,-0.39961039330700004
ACH-000226,-0.351376005184
ACH-000227,-0.299384677358
ACH-000228,-0.0648709540625
ACH-000231,-0.03439120188
ACH-000232,-0.133463677128
ACH-000233,-0.21846574767299998
ACH-000234,-0.0773198949147
ACH-000235,-0.18647241606400003
ACH-000237,0.017606317055
ACH-000238,0.0186450789055
ACH-000243,-0.17933967601
ACH-000244,-0.00574343407762
ACH-000246,-0.0348016287943
ACH-000248,0.0475114029016
ACH-000250,0.044425870334
ACH-000251,0.06856198944439999
ACH-000253,-0.06621717049499999
ACH-000255,-0.317601147787
ACH-000256,-0.22267010757300001
ACH-000257,-0.18706271430799998
ACH-000258,-0.17152231081
ACH-000259,-0.0918484060813
ACH-000260,-0.18867662734299998
ACH-000261,-0.126379565134
ACH-000262,0.0777831055194
ACH-000263,-0.0465086402463
ACH-000264,-0.14641167713
ACH-000265,-0.22906757289500002
ACH-000266,-0.21551889676600003
ACH-000272,-0.275909262045
ACH-000273,0.020944991594900004
ACH-000274,-0.180146386979
ACH-000277,-0.0618913125811
ACH-000278,-0.07951492169339999
ACH-000279,-0.0413133010539
ACH-000280,0.09341477237639999
ACH-000281,0.0179958471835
ACH-000288,0.062508522085
ACH-000291,-0.142748239472
ACH-000293,0.171551729361
ACH-000294,-0.223824180979
ACH-000295,0.0683175073816
ACH-000296,-0.0567863656034
ACH-000302,-0.0351687130945
ACH-000304,-0.316872912896
ACH-000307,-0.31057417701900003
ACH-000308,-0.12132304917999999
ACH-000310,-0.149714477077
ACH-000311,-0.12100394625600001
ACH-000312,-0.100347685743
ACH-000315,0.0793145783982
ACH-000316,0.21061301704100002
ACH-000317,-0.051893555404500004
ACH-000318,-0.0455965490809
ACH-000319,-0.137534312146
ACH-000320,-0.031873427009
ACH-000322,-0.150390068795
ACH-000323,-0.101113039626
ACH-000324,0.040871665028800006
ACH-000329,0.203394694914
ACH-000330,0.123575032305
ACH-000331,-0.36033276123
ACH-000332,-0.10862873634299999
ACH-000334,-0.0201375195296
ACH-000335,0.059781017911999995
ACH-000336,-0.5779675229119999
ACH-000337,-0.206231231247
ACH-000339,-0.17862970429000002
ACH-000341,-0.21823711157499998
ACH-000348,-0.17901950228
ACH-000350,-0.190400037075
ACH-000352,-0.162828087362
ACH-000356,-0.07379669698289999
ACH-000361,-0.0712123665682
ACH-000362,-0.0721658779702
ACH-000363,-0.14223686407299999
ACH-000364,-0.145798121479
ACH-000365,-0.0233077190058
ACH-000366,0.0202106825605
ACH-000368,-0.09449155880380002
ACH-000374,-0.06470474527419999
ACH-000375,-0.0726467877169
ACH-000376,-0.23922919533599998
