,IL36A (27179)
ACH-000004,-0.0664739024867
ACH-000007,-0.564027828593
ACH-000009,-0.238270976582
ACH-000011,-0.343394481924
ACH-000012,-0.26324516393
ACH-000013,-0.42730552736500005
ACH-000014,-0.17410931941500002
ACH-000015,-0.153323157537
ACH-000017,-0.246034441961
ACH-000018,-0.319417146034
ACH-000019,-0.2920741541
ACH-000021,-0.09632299812470001
ACH-000022,-0.08498845657700001
ACH-000025,-0.423396280247
ACH-000028,-0.282232478548
ACH-000030,-0.15650899715
ACH-000035,-0.331247441398
ACH-000036,-0.240387489661
ACH-000037,-0.461122677271
ACH-000039,-0.485135920277
ACH-000040,-0.215172908962
ACH-000041,-0.227138641012
ACH-000042,-0.26401807634700003
ACH-000045,-0.266997976748
ACH-000047,-0.273460939081
ACH-000052,-0.331643667165
ACH-000053,-0.23125680965599998
ACH-000054,-0.330481673015
ACH-000055,-0.027139575125500002
ACH-000060,-0.20841311179699998
ACH-000067,-0.237830638019
ACH-000070,-0.168128469039
ACH-000075,-0.305909623389
ACH-000078,-0.168480443499
ACH-000082,-0.100541192675
ACH-000085,-0.493682862513
ACH-000086,-0.06861194474669999
ACH-000087,-0.0730428579059
ACH-000092,-0.516278788819
ACH-000095,-0.212494365197
ACH-000097,-0.0963692414278
ACH-000098,-0.177652180194
ACH-000099,-0.17657905269000002
ACH-000108,-0.0728318421622
ACH-000113,-0.06825721128859999
ACH-000115,0.00243484410774
ACH-000116,-0.324304956092
ACH-000118,-0.27770578369000004
ACH-000120,-0.199679010856
ACH-000123,-0.328753686744
ACH-000127,-0.125457893947
ACH-000128,-0.322981425349
ACH-000132,-0.307341643131
ACH-000133,-0.36036815819
ACH-000137,-0.31497240041499996
ACH-000138,-0.0846402447893
ACH-000142,-0.245789178323
ACH-000143,-0.356860585018
ACH-000146,-0.35317082859099996
ACH-000148,-0.231284265672
ACH-000150,-0.295837313135
ACH-000152,-0.258647438988
ACH-000153,-0.13411965374600002
ACH-000159,-0.32881443977499997
ACH-000160,-0.5032534453190001
ACH-000163,-0.08663327212260001
ACH-000167,-0.11444990409700001
ACH-000168,-0.293841879646
ACH-000169,-0.013370319455899999
ACH-000178,-0.199364560627
ACH-000182,-0.235460024457
ACH-000183,-0.38297389883199995
ACH-000188,-0.30714679853300003
ACH-000189,0.0910857088879
ACH-000190,-0.275047019721
ACH-000198,-0.15452830657299998
ACH-000204,-0.0357288561061
ACH-000206,-0.118747299519
ACH-000207,-0.074290372078
ACH-000211,-0.178801033068
ACH-000215,-0.25463141181800003
ACH-000221,-0.257570949525
ACH-000222,-0.00182768659326
ACH-000223,-0.204595916352
ACH-000226,-0.441789652763
ACH-000227,-0.391109187745
ACH-000228,-0.255536691611
ACH-000231,-0.27653654459800003
ACH-000232,-0.10286243953
ACH-000233,-0.268806395112
ACH-000234,-0.218050241922
ACH-000235,-0.1745032112
ACH-000237,-0.166264358708
ACH-000238,-0.39332364740000003
ACH-000243,-0.37482477139
ACH-000244,-0.367783949341
ACH-000246,-0.23241813963000002
ACH-000248,-0.459377552126
ACH-000250,-0.337523022247
ACH-000251,-0.307878790075
ACH-000253,-0.246498609896
ACH-000255,-0.415514340408
ACH-000256,-0.390579019396
ACH-000257,-0.18737637719300002
ACH-000258,-0.190186898871
ACH-000259,-0.171754570048
ACH-000260,-0.268527756588
ACH-000261,-0.149334285617
ACH-000262,-0.20135502960999999
ACH-000263,-0.202107329577
ACH-000264,-0.196461016271
ACH-000265,-0.208439340879
ACH-000266,-0.264172933492
ACH-000272,-0.248056272286
ACH-000273,-0.28649355633400003
ACH-000274,-0.39860067727799997
ACH-000277,-0.142876585791
ACH-000278,-0.071556638263
ACH-000279,-0.179565777502
ACH-000280,0.07163261049389999
ACH-000281,0.019910963727799998
ACH-000288,-0.22888578752900002
ACH-000291,-0.114271536745
ACH-000293,-0.24229510431999995
ACH-000294,-0.247527478309
ACH-000295,-0.52038655904
ACH-000296,-0.115041298388
ACH-000302,-0.213291091923
ACH-000304,-0.470684228754
ACH-000307,-0.21099993665600003
ACH-000308,-0.26062192625
ACH-000310,-0.521462580458
ACH-000311,-0.300524799261
ACH-000312,-0.36121468034500004
ACH-000315,-0.0336917237878
ACH-000316,-0.26844237845400004
ACH-000317,-0.280985121617
ACH-000318,-0.17986631073800002
ACH-000319,-0.19891136471999998
ACH-000320,-0.332944970214
ACH-000322,-0.354165025045
ACH-000323,-0.187663491068
ACH-000324,-0.22168193061299998
ACH-000329,-0.450788534493
ACH-000330,-0.309368566439
ACH-000331,-0.286926073369
ACH-000332,-0.15040703776699998
ACH-000334,-0.22710553114100002
ACH-000335,-0.516207594525
ACH-000336,0.0816739063755
ACH-000337,-0.14121489744100002
ACH-000339,-0.28370004923500003
ACH-000341,-0.5352079749809999
ACH-000348,-0.179235226437
ACH-000350,-0.26451335849
ACH-000352,-0.109521961512
ACH-000356,-0.29985127487700003
ACH-000361,0.00484476062508
ACH-000362,-0.24830182066599998
ACH-000363,-0.0729615004536
ACH-000364,-0.10567044080600001
ACH-000365,-0.179359954048
ACH-000366,0.0058730107639300005
ACH-000368,0.0373914075602
ACH-000374,-0.0712632609401
ACH-000375,-0.460571884627
ACH-000376,-0.24871499502500002
ACH-000381,-0.355372616755
ACH-000383,-0.20771727154199998
ACH-000387,-0.36784079261299996
ACH-000389,-0.365221383887
ACH-000390,-0.201135548541
ACH-000393,-0.353376841733
ACH-000395,-0.225330446828
ACH-000397,-0.1923395704
ACH-000401,-0.385157428601
ACH-000402,-0.0227894065116
ACH-000403,-0.14024467061899998
ACH-000404,-0.571556414573
ACH-000406,-0.281700262358
ACH-000407,-0.08192780724219999
ACH-000408,-0.275062811718
ACH-000410,-0.18836876905900002
ACH-000411,-0.377829350595
ACH-000414,-0.17051965914900002
ACH-000415,-0.328534487303
ACH-000416,-0.18320698251200002
ACH-000420,-0.05567594511
ACH-000421,-0.262528471624
ACH-000424,-0.476812623595
ACH-000425,-0.19476281354699998
ACH-000426,-0.13422657742900002
ACH-000427,-0.34887968924400004
ACH-000433,-0.5632356277889999
ACH-000436,-0.07816900940430001
ACH-000444,-0.399532084161
ACH-000445,-0.136347547727
ACH-000448,-0.11341943932700001
ACH-000450,-0.652977638254
ACH-000452,-0.203374530667
ACH-000454,-0.46134222444899997
ACH-000458,-0.537002268096
ACH-000459,0.09767042719249999
ACH-000460,-0.21770273426199999
ACH-000461,-0.30605052705499997
ACH-000463,-0.12396779432800001
ACH-000464,-0.119647811095
ACH-000466,-0.15361663891
ACH-000467,-0.354994965185
ACH-000468,-0.516061016691
ACH-000469,-0.28242523507
ACH-000470,-0.0638271133354
ACH-000471,-0.116204338275
ACH-000472,-0.11918235787499999
ACH-000473,-0.264484317112
ACH-000475,-0.216397797872
ACH-000476,-0.25814855453200003
ACH-000477,-0.355007605807
ACH-000480,-0.341457691066
ACH-000481,-0.22630855292399998
ACH-000483,-0.034262118028099996
ACH-000484,-0.435964656936
ACH-000485,-0.19333589429499998
ACH-000486,-0.181368728187
ACH-000487,-0.281630292827
ACH-000488,-0.201887190594
ACH-000490,-0.270058785338
ACH-000491,-0.22726489085
ACH-000495,-0.43467483104500004
ACH-000496,-0.204683458994
ACH-000499,-0.31906630695300003
ACH-000500,-0.30640716186
ACH-000502,-0.251826253891
ACH-000503,-0.157564072201
ACH-000505,-0.30413716180399997
ACH-000507,0.045214321321800005
ACH-000510,-0.419897778421
ACH-000511,-0.165423906886
ACH-000512,-0.310506182608
ACH-000516,-0.268706730365
ACH-000517,-0.165827632896
ACH-000518,-0.18415817484400002
ACH-000520,-0.430252181657
ACH-000521,-0.325410858046
ACH-000522,-0.17918591097699998
ACH-000524,-0.282420941943
ACH-000527,-0.19681530986600002
ACH-000528,-0.23779183124699999
ACH-000537,-0.178996068242
ACH-000541,-0.324302593209
ACH-000542,-0.186985437467
ACH-000544,-0.335178872247
ACH-000545,-0.31715233913400004
ACH-000547,-0.122034943748
ACH-000548,-0.400711307236
ACH-000549,-0.230615808514
ACH-000550,-0.27721355701699996
ACH-000552,-0.340326242464
ACH-000556,-0.47043107975299997
ACH-000557,-0.193771593966
ACH-000570,-0.279309013313
ACH-000571,-0.022647056388599998
ACH-000573,-0.172214194458
ACH-000576,-0.317143890301
ACH-000580,-0.33307489070999996
ACH-000584,-0.132511322779
ACH-000585,-0.191093116871
ACH-000588,-0.113005169358
ACH-000589,-0.15250405852399998
ACH-000591,-0.416083054618
ACH-000593,-0.42709982110600003
ACH-000600,-0.350483198509
ACH-000601,-0.365522504744
ACH-000604,-0.126157252004
ACH-000605,-0.08984876869010001
ACH-000606,-0.46590244312299994
ACH-000608,-0.187052505821
ACH-000614,-0.18881289217799999
ACH-000616,-0.397485559588
ACH-000618,-0.262037447268
ACH-000619,-0.179676029585
ACH-000620,-0.301209573066
ACH-000621,-0.31854945145999997
ACH-000622,-6.23725831136e-05
ACH-000623,-0.25948637882
ACH-000624,-0.32196642104400003
ACH-000627,-0.28515240843899997
ACH-000630,-0.257555859582
ACH-000632,-0.287751810918
ACH-000633,-0.214090018448
ACH-000637,-0.0301983367863
ACH-000638,-0.222097217372
ACH-000646,-0.422468819559
ACH-000647,-0.220730956708
ACH-000648,-0.149405581235
ACH-000649,-0.244515543033
ACH-000651,-0.275285756371
ACH-000652,-0.365948398329
ACH-000653,-0.37235487248000004
ACH-000657,-0.20823619477699998
ACH-000658,-0.19586464297000003
ACH-000661,-0.0026742808821199997
ACH-000662,-0.295119344228
ACH-000663,-0.33842709465099996
ACH-000665,-0.392226524936
ACH-000671,-0.17276817304900002
ACH-000673,-0.36737736599299997
ACH-000676,-0.22500222579999998
ACH-000677,-0.06143588592680001
ACH-000681,-0.0461039156598
ACH-000682,-0.250851385285
ACH-000683,-0.18117952864
ACH-000684,-0.437960542543
ACH-000688,-0.27388646068100003
ACH-000693,-0.138664291134
ACH-000694,-0.354017559892
ACH-000695,-0.102629180315
ACH-000696,-0.270451964273
ACH-000697,-0.288690331715
ACH-000699,-0.255773003036
ACH-000701,-0.217575772887
ACH-000706,-0.028266248092499998
ACH-000711,-0.254180796578
ACH-000713,-0.427920562632
ACH-000714,-0.26707605289700004
ACH-000718,-0.277541112278
ACH-000720,-0.114236914235
ACH-000721,-0.36587978121
ACH-000724,-0.23325452391600002
ACH-000725,-0.39118552195
ACH-000732,-0.137168630953
ACH-000734,-0.144672668501
ACH-000735,-0.310602398878
ACH-000736,-0.269498368878
ACH-000738,-0.30094489196400004
ACH-000746,-0.23031612763300002
ACH-000747,-0.31595882464200004
ACH-000748,-0.09231918440030001
ACH-000753,-0.306768563578
ACH-000756,-0.332130823543
ACH-000757,-0.23352719295899999
ACH-000758,-0.22057796071
ACH-000760,-0.24427275450999997
ACH-000763,-0.20519919951499999
ACH-000764,-0.502599761969
ACH-000765,-0.203544775235
ACH-000766,-0.356646849951
ACH-000767,-0.295887004725
ACH-000768,-0.400512966299
ACH-000769,-0.334622016929
ACH-000770,-0.197526410917
ACH-000771,-0.10045801531199999
ACH-000773,-0.159314287351
ACH-000776,-0.143663946589
ACH-000777,-0.250860274179
ACH-000778,-0.09331231777989998
ACH-000781,-0.15678860405099998
ACH-000782,-0.324266819283
ACH-000783,-0.13822083748400002
ACH-000784,-0.26174935075100003
ACH-000785,-0.0163600582121
ACH-000787,-0.343064238613
ACH-000788,-0.201821719811
ACH-000791,-0.31854457122499996
ACH-000792,-0.29959461977699997
ACH-000794,-0.250323421584
ACH-000796,-0.30466324068399997
ACH-000799,-0.401484448111
ACH-000800,-0.166371864833
ACH-000802,-0.223846203176
