,PLEC (5339)
ACH-000004,0.052558764857400006
ACH-000007,-0.258853088611
ACH-000009,-0.18184655245499998
ACH-000011,-0.17775612592099999
ACH-000012,-0.631791108449
ACH-000013,-0.311689825501
ACH-000014,-0.125880429565
ACH-000015,-0.219845401778
ACH-000017,-0.500858482012
ACH-000018,-0.022697046729200004
ACH-000019,-0.348258091752
ACH-000021,-0.393112937583
ACH-000022,-0.38164213036600003
ACH-000025,-0.410398060417
ACH-000028,-0.33157791047699997
ACH-000030,-0.16534320834799998
ACH-000035,-0.0052052211858199995
ACH-000036,-0.393777301897
ACH-000037,-0.555071085423
ACH-000039,-0.277506222618
ACH-000040,-0.289205488163
ACH-000041,-0.296201828183
ACH-000042,-0.453557554704
ACH-000045,-0.215478935826
ACH-000047,-0.167380267581
ACH-000052,0.121945695569
ACH-000053,-0.22140052050200001
ACH-000054,-0.13880457199000001
ACH-000055,-0.112449765394
ACH-000060,-0.270683958649
ACH-000067,-0.18324925337099998
ACH-000070,-0.0496457405631
ACH-000075,0.07135574999739999
ACH-000078,-0.328182334981
ACH-000082,-0.498254687266
ACH-000085,-0.375347948605
ACH-000086,-0.28817051642700003
ACH-000087,-0.431578930651
ACH-000092,-0.31139626519499997
ACH-000095,-0.042150539415100004
ACH-000097,-0.349049540952
ACH-000098,-0.30498239320799997
ACH-000099,-0.259356868714
ACH-000108,-0.40334790827399997
ACH-000113,-0.195100554472
ACH-000115,-0.204476178094
ACH-000116,-0.19656621338
ACH-000118,-0.509680949419
ACH-000120,-0.154709502014
ACH-000123,-0.208028684831
ACH-000127,-0.117834286259
ACH-000128,-0.338766917936
ACH-000132,-0.278099929981
ACH-000133,-0.220291016605
ACH-000137,-0.10046863150100001
ACH-000138,-0.14474716218699998
ACH-000142,-0.40314790368000003
ACH-000143,-0.20179661692099998
ACH-000146,-0.249629591923
ACH-000148,-0.42450924912
ACH-000150,-0.834584969358
ACH-000152,-0.25075456720600003
ACH-000153,-0.361144958703
ACH-000159,-0.18868126526299997
ACH-000160,-0.0820839841448
ACH-000163,-0.450895895166
ACH-000167,-0.582708417111
ACH-000168,-0.22856055689500002
ACH-000169,-0.198626831338
ACH-000178,-0.326553827401
ACH-000182,-0.366228638354
ACH-000183,-0.18202803184799998
ACH-000188,-0.191621637692
ACH-000189,-0.598543730797
ACH-000190,-0.134146247725
ACH-000198,-0.242142523775
ACH-000204,-0.116899408738
ACH-000206,-0.137812532031
ACH-000207,-0.587160054911
ACH-000211,-0.152064660609
ACH-000215,-0.367484496039
ACH-000221,-0.0718580827503
ACH-000222,-0.4505137831
ACH-000223,-0.340380139498
ACH-000226,-0.137985458327
ACH-000227,-0.151584335347
ACH-000228,-0.07028446286119999
ACH-000231,-0.141915195434
ACH-000232,-0.458803981897
ACH-000233,-0.0771109422291
ACH-000234,-0.182561159284
ACH-000235,-0.404894585819
ACH-000237,-0.18627381711
ACH-000238,-0.32116414093
ACH-000243,-0.428716441168
ACH-000244,-0.226637785562
ACH-000246,-0.186669949184
ACH-000248,-0.43323528688900004
ACH-000250,-0.49696215343999994
ACH-000251,-0.20349346829300002
ACH-000253,-0.194042648603
ACH-000255,-0.26352943937600004
ACH-000256,-0.440614806514
ACH-000257,-0.506521996318
ACH-000258,-0.20902069580899998
ACH-000259,-0.18874044546
ACH-000260,-0.320376328383
ACH-000261,-0.336440738772
ACH-000262,-0.333649488665
ACH-000263,-0.153187775398
ACH-000264,-0.193247047707
ACH-000265,-0.347147141469
ACH-000266,-0.28410572974
ACH-000272,-0.182923411106
ACH-000273,-0.259742005579
ACH-000274,-0.229732728002
ACH-000277,-0.48127071842
ACH-000278,-0.299213908011
ACH-000279,-0.475471496155
ACH-000280,-0.5824381899719999
ACH-000281,-0.00801931627399
ACH-000288,0.0687698311517
ACH-000291,-0.5013796088979999
ACH-000293,-0.0727491219083
ACH-000294,-0.259610136525
ACH-000295,-0.303084150885
ACH-000296,0.015035872819
ACH-000302,-0.109128403271
ACH-000304,-0.380237847662
ACH-000307,-0.164612122616
ACH-000308,-0.22947152509100002
ACH-000310,-0.33040251411
ACH-000311,-0.12878842815400002
ACH-000312,-0.229742758726
ACH-000315,-0.14643905711
ACH-000316,-0.24821743919199998
ACH-000317,-0.005613689097560001
ACH-000318,-0.23837979826900002
ACH-000319,-0.284286790623
ACH-000320,-0.624207698402
ACH-000322,-0.34172251877400006
ACH-000323,-0.0851062678935
ACH-000324,-0.285706641383
ACH-000329,-0.16947141991700002
ACH-000330,-0.333689500836
ACH-000331,-0.148447175998
ACH-000332,-0.20440670980200001
ACH-000334,-0.183940002018
ACH-000335,0.035687139527800005
ACH-000336,0.125011025133
ACH-000337,-0.556523711244
ACH-000339,-0.334732745409
ACH-000341,-0.32589367259700003
ACH-000348,-0.223408183163
ACH-000350,-0.19048718746800003
ACH-000352,-0.30470020487599997
ACH-000356,-0.08743399571499999
ACH-000361,-0.273084046796
ACH-000362,-0.388133650446
ACH-000363,-0.341756817539
ACH-000364,-0.250759409923
ACH-000365,-0.295651396525
ACH-000366,-0.200517266189
ACH-000368,-0.55046598841
ACH-000374,-0.121821175394
ACH-000375,-0.231567638471
ACH-000376,-0.21806418496399999
ACH-000381,-0.159235645831
ACH-000383,-0.6225572394910001
ACH-000387,-0.13484713709899998
ACH-000389,-0.268625419865
ACH-000390,-0.305368563424
ACH-000393,-0.40832088150300005
ACH-000395,-0.38595711098200003
ACH-000397,-0.257155217377
ACH-000401,0.059318876915
ACH-000402,-0.49110988789399995
ACH-000403,-0.20607985694400002
ACH-000404,-0.0321750383469
ACH-000406,-0.18018260238400002
ACH-000407,-0.234215671731
ACH-000408,-0.0528999174935
ACH-000410,-0.184057885717
ACH-000411,-0.517412687872
ACH-000414,-0.41468625124700004
ACH-000415,-0.37186293352099997
ACH-000416,-0.16969307535599998
ACH-000420,-0.0969592939268
ACH-000421,-0.310589973405
ACH-000424,-0.0661963568982
ACH-000425,-0.239071503076
ACH-000426,-0.221860135307
ACH-000427,-0.571457693669
ACH-000433,-0.472559639661
ACH-000436,-0.179468185612
ACH-000444,-0.196524221961
ACH-000445,-0.0701240243927
ACH-000448,-0.408181936795
ACH-000450,-0.5677048854
ACH-000452,-0.44945528403000007
ACH-000454,-0.08279552782119999
ACH-000458,-0.170259754685
ACH-000459,-0.18209269486699997
ACH-000460,-0.460346296519
ACH-000461,-0.59881314968
ACH-000463,-0.151034994804
ACH-000464,-0.176345360198
ACH-000466,-0.38531516205
ACH-000467,-0.214038280819
ACH-000468,-0.166944402114
ACH-000469,-0.171755957537
ACH-000470,-0.38738118768700003
ACH-000471,-0.27131105220199997
ACH-000472,-0.262103800806
ACH-000473,-0.216936389523
ACH-000475,-0.335783331012
ACH-000476,-0.243227093656
ACH-000477,-0.298526103957
ACH-000480,-0.285249688586
ACH-000481,-0.141721260498
ACH-000483,-0.346495983282
ACH-000484,-0.376312696757
ACH-000485,-0.17915670991500002
ACH-000486,-0.362592315575
ACH-000487,-0.20873437349500001
ACH-000488,-0.310515284683
ACH-000490,-0.291250344316
ACH-000491,-0.37326248873999995
ACH-000495,-0.372140467099
ACH-000496,-0.09198166286329999
ACH-000499,-0.215144409759
ACH-000500,-0.0372900921941
ACH-000502,-0.316811213873
ACH-000503,-0.333262973329
