,CDON (50937)
ACH-000004,0.148385781601
ACH-000007,-0.034736579676
ACH-000009,-0.0356416746568
ACH-000011,-0.08518224692700001
ACH-000012,0.048516876786900004
ACH-000013,-0.128222868504
ACH-000014,-2.34364242562e-05
ACH-000015,-0.08420653679710001
ACH-000017,-0.0212908399065
ACH-000018,-0.07431054251389999
ACH-000019,-0.246501964311
ACH-000021,0.0771360301197
ACH-000022,-0.046264583335499994
ACH-000025,-0.0259410675599
ACH-000028,-0.0479146139718
ACH-000030,-0.0162539924095
ACH-000035,-0.0765856177813
ACH-000036,0.019350899305300002
ACH-000037,0.13653013002
ACH-000039,0.00760351099097
ACH-000040,-0.131649008571
ACH-000041,-0.217913993046
ACH-000042,-0.013211904577899999
ACH-000045,-0.174188119366
ACH-000047,-0.050950952798
ACH-000052,-0.06115968513140001
ACH-000053,-0.04213089243419999
ACH-000054,-0.10249609759299999
ACH-000055,-0.08452053772669998
ACH-000060,0.0925716508743
ACH-000067,0.09299818718419998
ACH-000070,-0.0880362049308
ACH-000075,0.370809832508
ACH-000078,-0.11608575423
ACH-000082,-0.020265649949
ACH-000085,-0.119263774781
ACH-000086,-0.141568549105
ACH-000087,-0.150873736212
ACH-000092,0.0659518066078
ACH-000095,-0.0919108045151
ACH-000097,-0.0721439998269
ACH-000098,-0.037891622326000005
ACH-000099,0.025599148667599998
ACH-000108,-0.0236769268731
ACH-000113,-0.0927647175543
ACH-000115,-0.15058480959599999
ACH-000116,-0.06726722938230001
ACH-000118,-0.13141346060599998
ACH-000120,-0.106856384719
ACH-000123,0.162212581549
ACH-000127,-0.0501036720058
ACH-000128,-0.129714610531
ACH-000132,0.00036418227783099996
ACH-000133,-0.068235423526
ACH-000137,-0.0415923062466
ACH-000138,-0.0671824907141
ACH-000142,-0.000213772020896
ACH-000143,0.0660207960335
ACH-000146,0.155759499185
ACH-000148,0.011833423305799999
ACH-000150,-0.323447133003
ACH-000152,0.006659314399
ACH-000153,-0.231650323237
ACH-000159,-0.120120056184
ACH-000160,-0.045794599031699995
ACH-000163,-0.0657552976226
ACH-000167,0.08874808783839999
ACH-000168,-0.19823289722600002
ACH-000169,-0.0972711786441
ACH-000178,0.0521715039475
ACH-000182,-0.041902755888699995
ACH-000183,-0.0279982782802
ACH-000188,-0.241557938289
ACH-000189,0.00585375936192
ACH-000190,-0.0648603506382
ACH-000198,-0.00652235608382
ACH-000204,-0.105957798088
ACH-000206,-0.24281410534400003
ACH-000207,-0.203015551733
ACH-000211,0.0135265902757
ACH-000215,-0.20732866028799998
ACH-000221,-0.0382743518726
ACH-000222,0.146703414922
ACH-000223,0.0180047382355
ACH-000226,-0.134145898377
ACH-000227,0.223283552188
ACH-000228,-0.0302098578275
ACH-000231,-0.0420386552644
ACH-000232,-0.05542618955019999
ACH-000233,0.0269469897072
ACH-000234,-0.109088471049
ACH-000235,0.014322858241600001
ACH-000237,-0.022001960364299997
ACH-000238,0.021506303334300002
ACH-000243,-5.00196499373e-05
ACH-000244,0.280211565908
ACH-000246,-0.220417782962
ACH-000248,-0.24724628513099997
ACH-000250,-0.201523032042
ACH-000251,0.188120251565
ACH-000253,-0.257560281356
ACH-000255,0.09852079003450001
ACH-000256,-0.23802051186200002
ACH-000257,-0.0159564372976
ACH-000258,0.00778622913696
ACH-000259,0.0112424175654
ACH-000260,0.0081957869463
ACH-000261,-0.142042721197
ACH-000262,0.09488157319849999
ACH-000263,-0.20750001214400002
ACH-000264,-0.0576145489212
ACH-000265,0.0901537254862
ACH-000266,-0.021977124450500003
ACH-000272,-0.0781734577035
ACH-000273,-0.20712234906399998
ACH-000274,-0.053618500955999994
ACH-000277,-0.031752974412
ACH-000278,-0.109204637153
ACH-000279,0.0016353635529400001
ACH-000280,0.0250296281746
ACH-000281,-0.0321820415056
ACH-000288,-0.0930197346077
ACH-000291,-0.107126552882
ACH-000293,0.135185078802
ACH-000294,-0.044667116366699997
ACH-000295,0.166650536803
ACH-000296,-0.186971858181
ACH-000302,-0.007605651839569999
ACH-000304,0.031330726780000005
ACH-000307,-0.057714558176
ACH-000308,-0.0679449525834
ACH-000310,-0.008986645491370002
ACH-000311,0.06871811441
ACH-000312,-0.09770097921660001
ACH-000315,0.0648721972739
ACH-000316,0.0314049106494
ACH-000317,0.070220646795
ACH-000318,-0.06373112161899999
ACH-000319,-0.0158030358103
ACH-000320,-0.0299908735786
ACH-000322,0.0985545350237
ACH-000323,-0.0420675750601
ACH-000324,-0.049793951515399996
ACH-000329,-0.04949013538369999
ACH-000330,-0.132335338047
ACH-000331,-0.017183316491900004
ACH-000332,-0.0074859273956999995
ACH-000334,-0.0351070499455
ACH-000335,0.11572607125800001
ACH-000336,-0.055424528270199995
ACH-000337,-0.10813330432700001
ACH-000339,-0.120950392779
ACH-000341,-0.009573969426260001
ACH-000348,0.0681911947876
ACH-000350,-0.193771420676
ACH-000352,-0.020439897473799998
ACH-000356,-0.18927001056200002
ACH-000361,-0.16487794943700002
ACH-000362,-0.049800280559599994
ACH-000363,-0.123790991283
ACH-000364,-0.014608902327
ACH-000365,0.035705361145300006
ACH-000366,-0.08465044845660001
ACH-000368,0.18199187000199998
ACH-000374,-0.348618183385
ACH-000375,0.040801354622
ACH-000376,-0.11538449886800001
ACH-000381,0.12187788129
ACH-000383,-0.0159275835997
ACH-000387,0.14070734697
ACH-000389,-0.0268483171986
ACH-000390,-0.013954887207
ACH-000393,-0.290818807808
ACH-000395,0.00170126028455
ACH-000397,-0.0644332923531
ACH-000401,0.257671241287
ACH-000402,0.113982622749
ACH-000403,-0.0528555024003
ACH-000404,0.19655894452199998
ACH-000406,-0.0941635412055
ACH-000407,-0.11362705430600001
ACH-000408,0.244516784524
ACH-000410,-0.200133287561
ACH-000411,-0.283026814019
ACH-000414,-0.010190868520600001
ACH-000415,0.018744678566099997
ACH-000416,-0.034555742097800005
ACH-000420,0.12262122935999999
ACH-000421,-0.12196109669000002
ACH-000424,-0.30529916182100003
ACH-000425,-0.07201252959610001
ACH-000426,-0.09851889471799999
ACH-000427,-0.39777417748899996
ACH-000433,-0.115460093878
ACH-000436,-0.0398772525159
ACH-000444,-0.114004546615
ACH-000445,-0.0729647494403
ACH-000448,-0.0073766439045
ACH-000450,-0.0628274509243
ACH-000452,-0.0345409593332
ACH-000454,0.114177049714
ACH-000458,0.101866304103
ACH-000459,-0.0283097533349
ACH-000460,-0.0123012637015
ACH-000461,-0.256052187339
ACH-000463,-0.0071830144993
ACH-000464,0.10124134657600001
ACH-000466,0.0963918970128
ACH-000467,-0.155380867536
ACH-000468,0.0945336775451
