,ATG2A (23130)
ACH-000004,-0.343243488905
ACH-000007,-0.45046521492200003
ACH-000009,-0.40881051614
ACH-000011,-0.2873033457
ACH-000012,-0.323704821968
ACH-000013,-0.372590546475
ACH-000014,-0.10711314236500001
ACH-000015,-0.242249517847
ACH-000017,-0.043087719354099996
ACH-000018,-0.447468820914
ACH-000019,-0.281143020912
ACH-000021,-0.520043583434
ACH-000022,-0.46625250848000005
ACH-000025,-0.352610282711
ACH-000028,-0.294548858513
ACH-000030,-0.278833742954
ACH-000035,-0.43787260875399997
ACH-000036,-0.349859697329
ACH-000037,-0.286788266437
ACH-000039,-0.5285101946809999
ACH-000040,-0.19359442882199998
ACH-000041,-0.243632589804
ACH-000042,-0.395998387663
ACH-000045,-0.445500379397
ACH-000047,-0.22910951426999998
ACH-000052,-0.19725666474300002
ACH-000053,-0.306567026158
ACH-000054,-0.37044508123899994
ACH-000055,-0.12212336593699999
ACH-000060,-0.240676489527
ACH-000067,-0.28539446566300003
ACH-000070,-0.328761205638
ACH-000075,-0.351108650133
ACH-000078,-0.403503729278
ACH-000082,-0.42185255772
ACH-000085,-0.399987553654
ACH-000086,-0.557643698808
ACH-000087,-0.525351369503
ACH-000092,-0.267893303926
ACH-000095,-0.22845373338799999
ACH-000097,-0.232071818586
ACH-000098,-0.1018298585
ACH-000099,-0.617176684413
ACH-000108,-0.288314654355
ACH-000113,-0.430066024785
ACH-000115,-0.894522571979
ACH-000116,-0.46177300692100004
ACH-000118,-0.331976186947
ACH-000120,-0.340173485307
ACH-000123,-0.44042800720499997
ACH-000127,-0.297209510112
ACH-000128,-0.0364089171666
ACH-000132,-0.539028385306
ACH-000133,-0.22926301011599998
ACH-000137,-0.5622636895040001
ACH-000138,-0.41003045221
ACH-000142,-0.426045968803
ACH-000143,-0.416131008959
ACH-000146,-0.118869659914
ACH-000148,-0.141040235091
ACH-000150,-0.349959407081
ACH-000152,-0.157001476495
ACH-000153,-0.446992914942
ACH-000159,-0.249810931906
ACH-000160,-0.5927322727000001
ACH-000163,-0.280980047061
ACH-000167,-0.523661859568
ACH-000168,-0.37039995821500005
ACH-000169,-0.35834051231700004
ACH-000178,-0.48082487855300005
ACH-000182,-0.36884203291999995
ACH-000183,-0.26652547970199997
ACH-000188,-0.510454144015
ACH-000189,-0.666399376456
ACH-000190,-0.350344103314
ACH-000198,-0.27740655041400003
ACH-000204,-0.48562153338799996
ACH-000206,-0.403675236479
ACH-000207,-0.6984617332809999
ACH-000211,-0.378617968483
ACH-000215,-0.24023371239100003
ACH-000221,-0.412405505449
ACH-000222,-0.58999341366
ACH-000223,-0.380131808028
ACH-000226,-0.398596675026
ACH-000227,-0.32102789753899996
ACH-000228,-0.47102959879699996
ACH-000231,-0.251930085355
ACH-000232,-0.21561663245700002
ACH-000233,-0.6071751022290001
ACH-000234,-0.22266181130100002
ACH-000235,-0.32206671097600004
ACH-000237,-0.501899759368
ACH-000238,-0.493509361299
ACH-000243,-0.286525581084
ACH-000244,-0.43810572162
ACH-000246,-0.228670655001
ACH-000248,-0.13876858361
ACH-000250,-0.35214788854900003
