,SGOL2 (151246)
ACH-000004,-0.100342766733
ACH-000007,-0.103995727973
ACH-000009,-0.327183580303
ACH-000011,-0.705986276327
ACH-000012,-0.23085864161699998
ACH-000013,-0.0652089675809
ACH-000014,-0.132491867349
ACH-000015,-0.316272001978
ACH-000017,-0.060318587769900005
ACH-000018,0.0057179880406300005
ACH-000019,0.32214705266800003
ACH-000021,0.0829423418031
ACH-000022,-0.22902991139000003
ACH-000025,-0.107860151505
ACH-000028,-0.0504622136291
ACH-000030,-0.37937205639399996
ACH-000035,0.305098211129
ACH-000036,-0.283359403979
ACH-000037,-0.164452646689
ACH-000039,-0.134802148636
ACH-000040,-0.612761055035
ACH-000041,0.0154099896692
ACH-000042,-0.22775927496800003
ACH-000045,-0.10270758230100001
ACH-000047,-0.0708565453414
ACH-000052,-0.419940261469
ACH-000053,-0.0579694781334
ACH-000054,-0.31999480350000004
ACH-000055,0.0351376151948
ACH-000060,-0.156690414574
ACH-000067,-0.7576959663699999
ACH-000070,-0.145476597442
ACH-000075,-0.365885144205
ACH-000078,-0.143442753568
ACH-000082,-0.536301701739
ACH-000085,-0.172564108109
ACH-000086,-0.20518117950999998
ACH-000087,-0.282952940232
ACH-000092,-0.06887228661389999
ACH-000095,-0.164569904377
ACH-000097,-0.181708394659
ACH-000098,-0.324169370944
ACH-000099,-0.0640128422094
ACH-000108,-0.09225443747739999
ACH-000113,-0.27253783485599997
ACH-000115,0.0622149045407
ACH-000116,-0.0486937823647
ACH-000118,-0.18480928061000002
ACH-000120,-0.178757873291
ACH-000123,-0.146791397438
ACH-000127,-0.0406267495313
ACH-000128,-0.117899694749
ACH-000132,0.14381237694000001
ACH-000133,-0.20219801329700002
ACH-000137,-0.365276006417
ACH-000138,-0.146421037246
ACH-000142,-0.31643383875799996
ACH-000143,-0.226932041552
ACH-000146,-0.121926259573
ACH-000148,-0.228191630057
ACH-000150,-0.304048640762
ACH-000152,-0.167837940992
ACH-000153,-0.341217083674
ACH-000159,-0.266801705169
ACH-000160,-0.150824403268
ACH-000163,0.00830303180452
ACH-000167,-0.476723123649
ACH-000168,-0.034812435585500005
ACH-000169,-0.444742501074
ACH-000178,-0.00844134155515
ACH-000182,-0.298082869098
ACH-000183,-0.024086717155800002
ACH-000188,0.0809822017411
ACH-000189,-0.237514582004
ACH-000190,-0.042863254150300005
ACH-000198,-0.0991408904614
ACH-000204,-0.101524283154
ACH-000206,0.0611573443172
ACH-000207,-0.213885414502
ACH-000211,-0.120131728406
ACH-000215,-0.257968334447
ACH-000221,-0.12066108793199999
ACH-000222,-0.203573108974
ACH-000223,-0.135511969893
ACH-000226,-0.31802755339899996
ACH-000227,-0.17437441901
ACH-000228,-0.163662074318
ACH-000231,0.0197047501686
ACH-000232,-0.209579301969
ACH-000233,-0.134146727654
ACH-000234,-0.45755557188100004
ACH-000235,-0.200527720183
ACH-000237,-0.368338618905
ACH-000238,-0.517556965897
ACH-000243,0.016623197327700002
ACH-000244,-0.8287819862129999
ACH-000246,0.00246540451105
ACH-000248,-0.115115080693
