,HIRA (7290)
ACH-000004,-0.587003311214
ACH-000007,-1.01136942502
ACH-000009,-0.895726183585
ACH-000011,-0.959414086807
ACH-000012,-1.06762199334
ACH-000013,-0.579924251574
ACH-000014,-1.13475078088
ACH-000015,-1.3684992262399998
ACH-000017,-0.6413922995229999
ACH-000018,-1.51987051871
ACH-000019,-1.19777693466
ACH-000021,-0.402218683623
ACH-000022,-0.7965337858820001
ACH-000025,-0.977656514263
ACH-000028,-1.17664176955
ACH-000030,-1.0235104716799999
ACH-000035,-1.47974380125
ACH-000036,-0.5659082883309999
ACH-000037,-0.667189961769
ACH-000039,-0.8302336130689999
ACH-000040,-1.31787926745
ACH-000041,-0.7028941330290001
ACH-000042,-0.807175353454
ACH-000045,-0.8454433660189999
ACH-000047,-1.07069258529
ACH-000052,-0.828796603239
ACH-000053,-0.7794765048010001
ACH-000054,-0.745114605615
ACH-000055,-0.794873949803
ACH-000060,-1.18795119377
ACH-000067,-1.19499032383
ACH-000070,-0.961806387545
ACH-000075,-0.62818926201
ACH-000078,-1.2103794972700002
ACH-000082,-1.1206761721
ACH-000085,-0.8710895213940001
ACH-000086,-1.00117682385
ACH-000087,-0.805967207245
ACH-000092,-0.533657827509
ACH-000095,-0.681019563776
ACH-000097,-1.0818409873000001
ACH-000098,-0.983550484418
ACH-000099,-1.1783459484
ACH-000108,-0.7091911934299999
ACH-000113,-1.06581759047
ACH-000115,-1.30709986972
ACH-000116,-0.867998746595
ACH-000118,-0.9327148735349999
ACH-000120,-1.36949919228
ACH-000123,-1.3778354860600002
ACH-000127,-0.550003996152
ACH-000128,-1.1436517477600001
ACH-000132,-0.512647482239
ACH-000133,-1.07805091862
ACH-000137,-0.805390603598
ACH-000138,-0.944844623964
ACH-000142,-0.660542661495
ACH-000143,-0.66627180991
ACH-000146,-1.27493005625
ACH-000148,-1.3578027100499999
ACH-000150,-0.9622142382369999
ACH-000152,-0.66265346449
ACH-000153,-1.12751676854
ACH-000159,-1.18870567042
ACH-000160,-0.275674172494
ACH-000163,-0.940661766288
ACH-000167,-0.2403671977
ACH-000168,-0.600961885392
ACH-000169,-0.589639816721
ACH-000178,-1.37297566518
ACH-000182,-0.5630348267140001
ACH-000183,-1.17376562825
ACH-000188,-0.8831551197669999
ACH-000189,-0.6513276205899999
ACH-000190,-0.42894403365500006
ACH-000198,-1.17511589251
ACH-000204,-1.04653710569
ACH-000206,-0.632515800775
ACH-000207,-1.00195835825
ACH-000211,-1.00205848015
ACH-000215,-1.07581684731
ACH-000221,-1.14709704095
ACH-000222,-1.04230184391
ACH-000223,-1.07235084762
ACH-000226,-0.7750368338120001
ACH-000227,-1.12547221868
ACH-000228,-1.28915173591
ACH-000231,-0.7823506565539999
ACH-000232,-1.3828996954600001
ACH-000233,-0.232361406217
ACH-000234,-0.750944975052
ACH-000235,-0.919239061823
ACH-000237,-1.0858678701200002
ACH-000238,-0.781417274469
ACH-000243,-1.32923426955
ACH-000244,-0.5800934155849999
ACH-000246,-0.306607184611
ACH-000248,-0.818005065994
ACH-000250,-1.1064989769700002
ACH-000251,-1.2453583252
ACH-000253,-1.1277602785299998
ACH-000255,-0.388124036243
ACH-000256,-0.902043410378
ACH-000257,-0.792660164732
ACH-000258,-1.43069064561
ACH-000259,-1.15723420223
ACH-000260,-1.1936268000599999
ACH-000261,-0.984451789943
ACH-000262,-1.12234697712
ACH-000263,-0.301721916272
ACH-000264,-1.07503469296
ACH-000265,-1.26541806014
ACH-000266,-1.07421701131
ACH-000272,-0.520458466023
ACH-000273,-1.09626539227
ACH-000274,-0.7666156963420001
