,SCNN1D (6339)
ACH-000004,-0.144162792948
ACH-000007,-0.264828880077
ACH-000009,-0.267603390569
ACH-000011,-0.0644076474641
ACH-000012,-0.231500891845
ACH-000013,-0.0419534114222
ACH-000014,-0.172743984653
ACH-000015,-0.258174197023
ACH-000017,-0.0958054108999
ACH-000018,-0.0881740067344
ACH-000019,-0.19335768982700002
ACH-000021,-0.237463737784
ACH-000022,-0.283834320559
ACH-000025,-0.19727494700399997
ACH-000028,-0.09849832138110001
ACH-000030,-0.0443193076884
ACH-000035,-0.104479045959
ACH-000036,-0.287143381597
ACH-000037,0.0255309624034
ACH-000039,-0.400817061076
ACH-000040,-0.264989332741
ACH-000041,-0.42864931278000007
ACH-000042,-0.191665581313
ACH-000045,-0.382411277303
ACH-000047,-0.19940427393899998
ACH-000052,0.017620889166999998
ACH-000053,-0.196156967134
ACH-000054,-0.350212494281
ACH-000055,-0.249397611012
ACH-000060,-0.257665879742
ACH-000067,-0.419811541596
ACH-000070,-0.309944388461
ACH-000075,-0.47967037139799995
ACH-000078,-0.268059970975
ACH-000082,-0.118195664289
ACH-000085,-0.572960745537
ACH-000086,-0.251748756844
ACH-000087,-0.384747491924
ACH-000092,-0.160766165443
ACH-000095,-0.19114366350499998
ACH-000097,-0.156033674619
ACH-000098,-0.061128259788199996
ACH-000099,-0.196938061388
ACH-000108,-0.579994430154
ACH-000113,-0.09069233897430001
ACH-000115,-0.49737017447899995
ACH-000116,-0.21654628204
ACH-000118,-0.205876240587
ACH-000120,-0.153830229772
ACH-000123,-0.24481888428000004
ACH-000127,-0.155437524857
ACH-000128,-0.278739262211
ACH-000132,-0.357220287651
ACH-000133,-0.158931616203
ACH-000137,-0.10509937259400001
ACH-000138,-0.24568657405400002
ACH-000142,-0.10386062226500001
ACH-000143,-0.0225297376034
ACH-000146,-0.129295698041
ACH-000148,-0.156711481196
ACH-000150,-0.617430285698
ACH-000152,-0.277479346568
ACH-000153,-0.08745864633739998
ACH-000159,-0.261796455982
ACH-000160,-0.055646555900400005
ACH-000163,-0.195987088656
ACH-000167,-0.0252859911473
ACH-000168,-0.266543061558
ACH-000169,-0.191474406206
ACH-000178,-0.156697557854
ACH-000182,-0.21783857401700002
ACH-000183,-0.236761283888
ACH-000188,-0.247902912256
ACH-000189,0.037534055754699994
ACH-000190,-0.18484238982700002
ACH-000198,-0.0628226235675
ACH-000204,-0.341829607874
ACH-000206,-0.0628903178746
ACH-000207,-0.37109247963200004
ACH-000211,-0.149451011126
ACH-000215,-0.24695008420000003
ACH-000221,-0.184192074161
ACH-000222,-0.0324767717813
ACH-000223,-0.166180042284
ACH-000226,-0.110335093885
ACH-000227,0.0838278364287
ACH-000228,-0.32311790858600004
ACH-000231,-0.138798081038
ACH-000232,-0.21033789916200002
ACH-000233,0.00246606115697
ACH-000234,-0.312189959913
ACH-000235,-0.270378431482
ACH-000237,-0.237729074609
ACH-000238,-0.332862149012
ACH-000243,-0.190076480696
ACH-000244,-0.35011326711999996
ACH-000246,-0.22173185195999998
ACH-000248,-0.294030642258
ACH-000250,-0.303996914768
ACH-000251,0.103217241707
ACH-000253,-0.446674286097
ACH-000255,-0.179749578957
ACH-000256,-0.20619975260499998
ACH-000257,-0.417816063715
ACH-000258,-0.196283725458
ACH-000259,-0.446984250029
ACH-000260,-0.28275876472899997
ACH-000261,-0.132625074186
ACH-000262,-0.31201751520599996
ACH-000263,-0.109028767397
ACH-000264,-0.26712353148400003
ACH-000265,-0.219295143004
ACH-000266,-0.339485920762
ACH-000272,-0.127709742377
ACH-000273,-0.24074883056999996
ACH-000274,-0.25313275733
ACH-000277,-0.278738787062
ACH-000278,-0.313094372937
ACH-000279,-0.208744677542
ACH-000280,-0.362357716679
ACH-000281,-0.561737247488
ACH-000288,-0.488630164706
ACH-000291,-0.166103156502
ACH-000293,-0.187189137676
ACH-000294,-0.295483997516
ACH-000295,-0.41233046555799996
ACH-000296,-0.12390873845799999
ACH-000302,-0.274433477285
ACH-000304,0.14791349816299998
ACH-000307,-0.264984651779
ACH-000308,-0.262024173746
ACH-000310,-0.3377244868
ACH-000311,-0.07446343469530001
ACH-000312,-0.469884640704
ACH-000315,-0.485583720556
ACH-000316,-0.414154182101
ACH-000317,-0.23326029710299997
ACH-000318,-0.0494417395051
ACH-000319,-0.294634704235
ACH-000320,-0.348015169038
ACH-000322,-0.302075904435
ACH-000323,-0.30031310126
ACH-000324,-0.17675304552
ACH-000329,-0.35034251325599997
ACH-000330,-0.293769645112
ACH-000331,-0.174740600572
ACH-000332,-0.20357572271
ACH-000334,-0.290199605221
ACH-000335,-0.224886612174
ACH-000336,-0.257840575722
ACH-000337,-0.509741129494
ACH-000339,-0.214159337495
ACH-000341,-0.18286507027399998
ACH-000348,-0.133782354628
ACH-000350,-0.22850868460700002
ACH-000352,-0.319848818191
ACH-000356,-0.38783038438
ACH-000361,-0.131871570129
ACH-000362,-0.233423627232
ACH-000363,-0.280286490126
ACH-000364,-0.112424514716
ACH-000365,-0.297878782732
ACH-000366,-0.16811976296
ACH-000368,-0.318154805463
ACH-000374,-0.174354152154
ACH-000375,-0.194381926105
ACH-000376,-0.221444249962
ACH-000381,-0.173786605701
ACH-000383,-0.244345938732
ACH-000387,-0.219763884292
ACH-000389,-0.329420478101
ACH-000390,-0.17618590696800002
ACH-000393,-0.279959654407
ACH-000395,-0.46227832083400006
ACH-000397,-0.145064305043
ACH-000401,-0.404267032027
ACH-000402,-0.0594274952104
ACH-000403,-0.0767205137016
ACH-000404,-0.19208133643199998
ACH-000406,-0.342669384261
ACH-000407,-0.19455449941300001
ACH-000408,-0.029910116633200003
ACH-000410,-0.191091874213
ACH-000411,-0.102408052138
ACH-000414,-0.288424495566
ACH-000415,0.0894505628675
ACH-000416,-0.190135498813
ACH-000420,-0.00433790428729
ACH-000421,-0.08597340812820001
ACH-000424,-0.256706088028
ACH-000425,-0.10522943403799999
ACH-000426,-0.346130722449
ACH-000427,-0.0699020429202
ACH-000433,-0.207863864089
ACH-000436,-0.21812761846
ACH-000444,-0.142203413389
ACH-000445,-0.289383439932
ACH-000448,-0.206913976389
ACH-000450,-0.0104818477773
ACH-000452,-0.181085025793
ACH-000454,-0.108090863708
ACH-000458,-0.105501287251
ACH-000459,-0.09428856602610002
ACH-000460,-0.249612873649
ACH-000461,-0.247402500053
ACH-000463,-0.28277470769499996
ACH-000464,-0.45278344983999996
ACH-000466,-0.252668070383
ACH-000467,-0.32093624480599997
ACH-000468,-0.36402162155699996
ACH-000469,-0.28424719294399997
ACH-000470,-0.231816936728
ACH-000471,-0.19004523503100001
ACH-000472,-0.201646981417
ACH-000473,-0.458869665284
ACH-000475,-0.198647138814
ACH-000476,-0.25400932366900003
ACH-000477,-0.041375620626199996
ACH-000480,-0.194437268759
ACH-000481,-0.130563268889
ACH-000483,-0.241580561335
ACH-000484,-0.38743183986900004
ACH-000485,-0.461641931973
ACH-000486,-0.13900874557700002
ACH-000487,-0.33488390487799996
ACH-000488,-0.405607899361
ACH-000490,-0.1947496145
ACH-000491,-0.15784141250800002
ACH-000495,-0.41548664859300005
ACH-000496,-0.16281770319
ACH-000499,-0.310870112669
ACH-000500,-0.235251656348
ACH-000502,-0.397704516149
ACH-000503,-0.276465047538
ACH-000505,-0.21429064921799998
ACH-000507,-0.270368095778
ACH-000510,-0.26646018863000004
ACH-000511,-0.31510270178800004
ACH-000512,-0.43890817558399997
ACH-000516,-0.130818135501
ACH-000517,-0.253876193641
ACH-000518,-0.22776923626899997
ACH-000520,-0.08741494489700001
ACH-000521,-0.29332116972399996
ACH-000522,-0.124058705872
ACH-000524,-0.162960967892
ACH-000527,-0.164883754153
ACH-000528,-0.206595654791
ACH-000537,-0.471717762649
ACH-000541,-0.265477166636
ACH-000542,-0.19687102915899998
ACH-000544,-0.14208542855
ACH-000545,-0.337215888385
ACH-000547,-0.261521975171
ACH-000548,-0.127090035367
ACH-000549,-0.0412623064228
ACH-000550,-0.47608517054
ACH-000552,-0.36959366648100006
ACH-000556,-0.14152543366599998
ACH-000557,-0.25212139640000003
ACH-000570,-0.148741718697
ACH-000571,-0.27388128300000003
ACH-000573,-0.111545797695
ACH-000576,-0.20838229825
ACH-000580,-0.186694794718
ACH-000584,-0.134595883065
ACH-000585,-0.116518270924
ACH-000588,-0.34154957522699997
ACH-000589,-0.23447655364999997
ACH-000591,-0.330169641592
ACH-000593,-0.39426237595299995
ACH-000600,-0.130117708818
ACH-000601,-0.297179539767
ACH-000604,-0.149085618511
ACH-000605,-0.17777618828400002
ACH-000606,-0.297730439894
ACH-000608,-0.142063146095
ACH-000614,-0.140743688671
ACH-000616,-0.115389864649
ACH-000618,-0.18583205351399998
ACH-000619,-0.177979554341
ACH-000620,-0.320941361041
ACH-000621,-0.213724141058
ACH-000622,0.0944053090286
ACH-000623,-0.32436619328899996
ACH-000624,-0.06824075376609999
ACH-000627,-0.20719180052900002
ACH-000630,-0.21831469515000002
ACH-000632,-0.417845148249
ACH-000633,-0.17583792615
ACH-000637,0.0167630978471
ACH-000638,-0.135937278401
ACH-000646,-0.282005633161
ACH-000647,-0.07695298102360001
ACH-000648,-0.150551899813
ACH-000649,-0.27720107948
ACH-000651,-0.132590584595
ACH-000652,-0.366200248496
ACH-000653,-0.26629766894699997
ACH-000657,-0.201921774999
ACH-000658,-0.132065603473
ACH-000661,-0.132890168917
ACH-000662,-0.460699945932
ACH-000663,-0.28838138496800003
ACH-000665,-0.0342921505278
ACH-000671,0.000362645880934
ACH-000673,-0.29559058622699996
ACH-000676,-0.215116103856
ACH-000677,-0.124302765767
ACH-000681,-0.259855618681
ACH-000682,-0.305340266816
ACH-000683,-0.294598216832
ACH-000684,-0.0937780136778
ACH-000688,-0.0794870073688
ACH-000693,-0.305675940357
ACH-000694,-0.0770024247402
ACH-000695,-0.265168554863
ACH-000696,-0.12203805252999998
ACH-000697,-0.352076781997
ACH-000699,-0.16573568332
ACH-000701,0.004896115411079999
ACH-000706,-0.176136598489
ACH-000711,-0.109041250098
ACH-000713,-0.166159276652
ACH-000714,-0.225030980254
ACH-000718,-0.288539289503
ACH-000720,-0.18911910871100002
ACH-000721,-0.180275908253
ACH-000724,-0.321046420918
ACH-000725,-0.352650652834
ACH-000732,-0.270298705106
ACH-000734,-0.382009542692
ACH-000735,-0.286010659046
ACH-000736,-0.205495004023
ACH-000738,-0.22844828387899999
ACH-000746,-0.347814900556
ACH-000747,-0.126523544702
ACH-000748,-0.126991276495
ACH-000753,-0.306721022242
ACH-000756,0.0188050217339
ACH-000757,-0.307968674195
ACH-000758,-0.0850278446057
ACH-000760,-0.402726841166
ACH-000763,-0.197390705291
ACH-000764,-0.230745854963
ACH-000765,-0.42855307439900003
ACH-000766,-0.22357166861900002
ACH-000767,0.114489602957
ACH-000768,-0.0227851581158
ACH-000769,0.04629650997330001
ACH-000770,-0.197167022522
ACH-000771,-0.227971392324
ACH-000773,-0.06005529137730001
ACH-000776,-0.22185337505600003
ACH-000777,-0.161399083573
ACH-000778,-0.133422729769
ACH-000781,-0.234239329125
ACH-000782,-0.391260542996
ACH-000783,-0.465069589172
ACH-000784,-0.23753184013700002
ACH-000785,-0.195321003695
ACH-000787,-0.10906030479699999
ACH-000788,-0.17600492833200002
ACH-000791,-0.207718674874
ACH-000792,-0.302064289094
ACH-000794,-0.308266879934
ACH-000796,-0.23390775687100002
ACH-000799,0.16317670406600002
ACH-000800,-0.583926149032
ACH-000802,-0.311234903119
ACH-000804,-0.22996464776999997
ACH-000805,-0.21059460506299998
ACH-000809,-0.0659455321188
ACH-000810,0.0223452629912
ACH-000811,-0.35716798101400005
ACH-000817,-0.181891981853
ACH-000819,-0.15224300533
ACH-000820,-0.5229292606279999
ACH-000821,-0.391043928828
ACH-000822,-0.16857680225000002
ACH-000823,0.0368780090509
ACH-000824,-0.365355847655
ACH-000827,-0.20528903537300003
ACH-000829,-0.197121803624
ACH-000831,-0.152108090714
ACH-000832,-0.07197554203319999
ACH-000833,-0.0381196115871
ACH-000834,-0.31773911393800003
ACH-000835,-0.0877079244819
ACH-000836,-0.216099752935
ACH-000837,-0.182879316329
ACH-000838,-0.26783001327100003
ACH-000839,-0.29764235303500003
ACH-000840,-0.17634729879099997
ACH-000841,-0.217494182768
ACH-000843,-0.258283949867
ACH-000846,0.0299638592487
ACH-000847,-0.15095923075099998
ACH-000848,-0.292094980262
ACH-000849,-0.126536105377
ACH-000851,-0.255025579609
ACH-000855,-0.23463560457899998
ACH-000856,-0.27448922047200003
ACH-000858,-0.188543726253
ACH-000859,-0.18620391578200002
ACH-000861,-0.284856502351
ACH-000862,0.0337808729278
ACH-000865,-0.190463338191
ACH-000866,-0.212280394409
ACH-000867,-0.275850403358
ACH-000869,-0.0972931083797
ACH-000872,-0.163710147627
ACH-000873,-0.36793950592600005
ACH-000876,-0.0506644232327
ACH-000878,-0.160671691053
ACH-000880,-0.498891526435
ACH-000881,-0.16072264811599998
ACH-000882,-0.0924975509047
ACH-000884,-0.318256788178
ACH-000885,-0.353589983736
ACH-000887,-0.218412992701
ACH-000888,-0.292628038755
ACH-000889,-0.0397514631635
ACH-000890,-0.187949556794
ACH-000896,-0.0616570032993
ACH-000898,-0.129270831171
ACH-000900,-0.234980151113
ACH-000901,-0.289451758876
ACH-000905,-0.0641734491104
ACH-000906,-0.24449711396600002
ACH-000907,-0.309479184073
ACH-000910,-0.425095879769
ACH-000911,-0.283096524583
ACH-000912,-0.19759818069600002
ACH-000913,-0.333562177166
ACH-000915,-0.451205167158
ACH-000916,-0.38160116259300003
ACH-000917,-0.117259595326
ACH-000921,-0.121490587346
ACH-000924,-0.24838879677200001
ACH-000926,-0.29526680272
ACH-000928,-0.19534967424000002
ACH-000929,-0.143439961263
ACH-000932,-0.18213555108899998
ACH-000935,-0.0651336796601
ACH-000936,-0.07156668683299999
ACH-000937,-0.17867105919
ACH-000938,-0.282051299203
ACH-000939,-0.09841571202289999
ACH-000941,-0.15194446147600002
ACH-000943,-0.145122052289
ACH-000946,-0.0648405972739
ACH-000947,-0.15112255667000002
ACH-000948,-0.0927494299652
ACH-000950,-0.221513053068
ACH-000953,-0.156065681556
ACH-000957,-0.127696148845
ACH-000958,-0.120599022637
ACH-000960,-0.24374671585299998
ACH-000963,-0.316181118656
ACH-000968,-0.253003147284
ACH-000969,0.0258348818596
ACH-000973,-0.126825654484
ACH-000974,-0.23250361563400002
ACH-000975,-0.256615065195
ACH-000976,-0.300036880898
ACH-000978,-0.0702647905546
ACH-000980,-0.19236296001800002
ACH-000984,-0.33749590497000004
ACH-000986,-0.331163555225
ACH-000988,-0.185543797419
ACH-000993,-0.07901895035960001
ACH-000994,-0.21155306226599999
ACH-000996,0.21938239969599999
ACH-001001,-0.153261960688
ACH-001020,0.0701742403124
ACH-001028,-0.276294034408
ACH-001031,-0.38912561092
ACH-001038,-0.144256478806
ACH-001048,-0.151149015579
ACH-001050,-0.0668446395715
ACH-001053,0.09965172564710001
ACH-001054,-0.315802992301
ACH-001061,-0.158281310328
ACH-001067,-0.130965396777
ACH-001075,-0.0784363114645
ACH-001096,-0.237315945725
ACH-001128,-0.294374397061
ACH-001134,-0.30759702478100004
ACH-001151,-0.155660747767
ACH-001163,-0.107816944826
ACH-001164,0.0585444428642
ACH-001173,-0.253524847286
ACH-001183,-0.260988960046
ACH-001184,-0.0917221520608
ACH-001190,-0.276812637411
ACH-001192,-0.217625385222
ACH-001193,-0.08381815786539999
ACH-001196,-0.128518614059
ACH-001197,-0.367907011898
ACH-001205,0.09262676347370001
ACH-001211,-0.260340338125
ACH-001212,-0.471177406934
ACH-001228,-0.251567177586
ACH-001232,-0.16284718756799998
ACH-001239,-0.118640393264
ACH-001274,-0.270581991388
ACH-001275,-0.308265662518
ACH-001277,-0.13141757756
ACH-001278,-0.289580258669
ACH-001280,-0.35310728936700003
ACH-001283,-0.163339193332
ACH-001289,-0.298000360696
ACH-001295,-0.0672973246361
ACH-001300,-0.189758573237
ACH-001301,-0.06047253566290001
ACH-001302,0.403087950953
ACH-001303,-0.189622373661
ACH-001306,-0.0956981936482
ACH-001318,-0.15726553813799998
ACH-001322,-0.233338805376
ACH-001328,-0.375704532434
ACH-001332,-0.00783844386494
ACH-001333,-0.0381966312173
ACH-001336,-0.06942847998980001
ACH-001340,-0.10877162442800001
ACH-001346,-0.24244904632599998
ACH-001353,-0.104656180251
ACH-001354,-0.302459020165
ACH-001367,-0.029962650012599998
ACH-001368,-0.16576457223899999
ACH-001374,-0.389429786821
ACH-001375,-0.313850857695
ACH-001377,-0.159929646763
ACH-001380,-0.104491666791
ACH-001391,-0.005792066911270001
