,WDTC1 (23038)
ACH-000004,-0.42293245635399995
ACH-000007,-0.39829539510300005
ACH-000009,-0.639209897163
ACH-000011,-0.432278792441
ACH-000012,-0.47341794976
ACH-000013,-0.5273062677120001
ACH-000014,-0.778772746346
ACH-000015,-0.456049103165
ACH-000017,-0.285437280988
ACH-000018,-0.366956415564
ACH-000019,-0.44143451229900005
ACH-000021,-0.41169125004699997
ACH-000022,-0.382851160872
ACH-000025,-0.40627188561800004
ACH-000028,-0.33646726011399997
ACH-000030,-0.42768030724
ACH-000035,-0.678902566107
ACH-000036,-0.249144293535
ACH-000037,-0.80481793405
ACH-000039,-0.45799457342100003
ACH-000040,-0.4880950873899999
ACH-000041,-0.331272826716
ACH-000042,-0.36362681614500003
ACH-000045,-0.40262660654700005
ACH-000047,-0.470783448516
ACH-000052,-0.409298329429
ACH-000053,-0.45059919471
ACH-000054,-0.389725620342
ACH-000055,-0.578746592202
ACH-000060,-0.38768934800800003
ACH-000067,-0.6619372752220001
ACH-000070,-0.20466142016600003
ACH-000075,-0.34011769462700003
ACH-000078,-0.402952689829
ACH-000082,-0.307534404916
ACH-000085,-0.592347057012
ACH-000086,-0.46655697554799996
ACH-000087,-0.4354575499600001
ACH-000092,-0.498596832861
ACH-000095,-0.38001003616400003
ACH-000097,-0.456211282653
ACH-000098,-0.489949038053
ACH-000099,-0.43061179763400004
ACH-000108,-0.41296787559
ACH-000113,-0.18145967475400002
ACH-000115,-0.465434140981
ACH-000116,-0.255896233177
ACH-000118,-0.323824370941
ACH-000120,-0.09876081005750001
ACH-000123,-0.311359495427
ACH-000127,-0.52508474277
ACH-000128,-0.402373887082
ACH-000132,-0.613799744034
ACH-000133,-0.248921965349
ACH-000137,-0.630048987829
ACH-000138,-0.445331442184
ACH-000142,-0.373794491524
ACH-000143,-0.635695319907
ACH-000146,-0.23353691808000002
ACH-000148,-0.45006758149099996
ACH-000150,-0.632853507581
ACH-000152,-0.46890991193000003
ACH-000153,-0.437051106336
ACH-000159,-0.48603420691200006
ACH-000160,-0.615856503834
ACH-000163,-0.4392889918399999
ACH-000167,-0.777519877457
ACH-000168,-0.541328877593
ACH-000169,-0.458448913003
ACH-000178,-0.511619850369
ACH-000182,-0.255581139283
ACH-000183,-0.43153315879299997
ACH-000188,-0.352784795116
ACH-000189,-0.156466153652
ACH-000190,-0.319014608982
ACH-000198,-0.560634338449
ACH-000204,-0.357777254019
ACH-000206,-0.304588802121
ACH-000207,-0.650030411617
ACH-000211,-0.20941064754099997
ACH-000215,-0.375852556673
ACH-000221,-0.39608522324
ACH-000222,-0.548514928435
ACH-000223,-0.378529597891
ACH-000226,-0.369386847204
ACH-000227,-0.222781906123
ACH-000228,-0.105055428634
ACH-000231,-0.30553949726
ACH-000232,-0.556338035727
ACH-000233,-0.46085336822800005
ACH-000234,-0.427194385548
ACH-000235,-0.288892722348
ACH-000237,-0.535290697393
ACH-000238,-0.466509794894
ACH-000243,-0.53684992005
ACH-000244,-0.117422768922
ACH-000246,-0.6265694174149999
ACH-000248,-0.178632541959
ACH-000250,-0.48762761804399996
ACH-000251,-0.493889876831
ACH-000253,-0.405124540295
ACH-000255,-0.35674206379
ACH-000256,-0.651388328887
ACH-000257,-0.593750706519
ACH-000258,-0.583010580199
ACH-000259,-0.422935703848
ACH-000260,-0.48031446074699996
ACH-000261,-0.333328119398
ACH-000262,-0.261159214877
ACH-000263,-0.680929325229
ACH-000264,-0.335009326785
ACH-000265,-0.5381577724750001
ACH-000266,-0.33258472024
ACH-000272,-0.269287252529
ACH-000273,-0.547411506933
ACH-000274,-0.7252608744910001
ACH-000277,0.0362597139615
ACH-000278,-0.291824859587
ACH-000279,-0.411628421668
ACH-000280,-0.228992397216
ACH-000281,-0.432736602905
ACH-000288,-0.383079138842
ACH-000291,-0.567925162844
ACH-000293,-0.471695955391
ACH-000294,-0.29396441113
ACH-000295,-0.41788047493299996
ACH-000296,-0.419091493446
ACH-000302,-0.5267548007980001
ACH-000304,-0.208773556584
ACH-000307,-0.234721121408
ACH-000308,-0.313226514309
ACH-000310,-0.279266478015
ACH-000311,-0.37332365612199997
ACH-000312,-0.743844406225
ACH-000315,-0.486421856691
ACH-000316,-0.356797133481
ACH-000317,-0.482552443239
ACH-000318,-0.353950803182
ACH-000319,-0.363573464507
ACH-000320,-0.7660399828929999
ACH-000322,-0.262411019749
ACH-000323,-0.788625899879
ACH-000324,-0.5411268546060001
ACH-000329,-0.324782396007
ACH-000330,-0.5881172323920001
ACH-000331,-0.485000143155
ACH-000332,-0.44308504875699994
ACH-000334,-0.639922902517
ACH-000335,-0.655540884393
ACH-000336,0.06807158465890001
ACH-000337,-0.581782753314
ACH-000339,-0.372179225867
ACH-000341,-0.386105805757
ACH-000348,-0.47968737322800004
ACH-000350,-0.388002642346
ACH-000352,-0.36953084947400006
ACH-000356,-0.564272817919
ACH-000361,-0.632634049381
ACH-000362,-0.462514601539
ACH-000363,-0.28275325178399996
ACH-000364,-0.48070788964100003
ACH-000365,-0.505654510021
ACH-000366,-0.442436150006
ACH-000368,-0.503846033168
ACH-000374,-0.414234673632
ACH-000375,-0.40992321846600005
ACH-000376,-0.44939012263000006
ACH-000381,-0.468502037096
ACH-000383,-0.460720084447
ACH-000387,-0.535145193848
ACH-000389,-0.47141656847400004
ACH-000390,-0.329855947502
ACH-000393,-0.676304801432
ACH-000395,-0.49751640609700004
ACH-000397,-0.273833968529
