,ATG4D (84971)
ACH-000004,-0.534836957933
ACH-000007,-0.593003086378
ACH-000009,-0.05862975452880001
ACH-000011,-0.283938141116
ACH-000012,-0.13032719640499998
ACH-000013,-0.128170467889
ACH-000014,0.0405655741621
ACH-000015,-0.396078538516
ACH-000017,-0.261561528059
ACH-000018,-0.24503050413199998
ACH-000019,-0.626184784821
ACH-000021,-0.207920799084
ACH-000022,-0.175374125555
ACH-000025,-0.0899544120404
ACH-000028,-0.41743494236699996
ACH-000030,-0.2577003035
ACH-000035,-0.149924738878
ACH-000036,-0.0698731594206
ACH-000037,-0.220229812677
ACH-000039,-0.11197240501700001
ACH-000040,-0.0536939549216
ACH-000041,-0.422681917104
ACH-000042,-0.0637803429667
ACH-000045,-0.29171149692299997
ACH-000047,-0.11620686974000001
ACH-000052,-0.347957563102
ACH-000053,-0.27718243963399997
ACH-000054,-0.18526407726500002
ACH-000055,-0.317575291826
ACH-000060,-0.11914418917899999
ACH-000067,-0.14326539332399998
ACH-000070,-0.365687010749
ACH-000075,-0.281980327348
ACH-000078,-0.09358151011919999
ACH-000082,-0.40487309368100005
ACH-000085,-0.08428812932330002
ACH-000086,-0.207491915576
ACH-000087,0.0441663195789
ACH-000092,-0.176962846573
ACH-000095,-0.352633506403
ACH-000097,-0.013435796258799999
ACH-000098,-0.34404823107500004
ACH-000099,-0.51275340104
ACH-000108,-0.161772307245
ACH-000113,-0.0949387985168
ACH-000115,-0.461790766023
ACH-000116,-0.41123602208300003
ACH-000118,-0.0427882661556
ACH-000120,-0.378265641685
ACH-000123,-0.09228593310589998
ACH-000127,-0.437234293183
ACH-000128,-0.413604318131
ACH-000132,-0.268320228183
ACH-000133,-0.22682132841699998
ACH-000137,-0.223307683961
ACH-000138,-0.280777733174
ACH-000142,-0.164410837923
ACH-000143,-0.464353698091
ACH-000146,-0.0712981400419
ACH-000148,-0.108014817518
ACH-000150,-0.488595083508
ACH-000152,-0.030714628933599997
ACH-000153,0.0546852938022
ACH-000159,-0.273056496589
ACH-000160,-0.0851139285979
ACH-000163,-0.388272737643
ACH-000167,-0.150273793752
ACH-000168,-0.387351565874
ACH-000169,-0.245890599927
ACH-000178,-0.15744040987400001
ACH-000182,-0.368684664868
ACH-000183,-0.09780606965619999
ACH-000188,-0.146267744815
ACH-000189,-0.239971286989
ACH-000190,-0.152254100323
ACH-000198,-0.316802376813
ACH-000204,0.0476313202917
ACH-000206,-0.283741200357
ACH-000207,-0.429782488399
ACH-000211,-0.12502937144600001
ACH-000215,-0.0898412559238
ACH-000221,-0.262894854833
ACH-000222,-0.0582691705355
ACH-000223,-0.305891530689
ACH-000226,-0.27722558353
ACH-000227,0.035363722001699995
ACH-000228,-0.19342076731
ACH-000231,-0.16674666261
ACH-000232,-0.29653637040999997
ACH-000233,-0.301344558945
ACH-000234,-0.308255868628
ACH-000235,-0.116748742436
ACH-000237,-0.367375312305
ACH-000238,0.0782378918182
ACH-000243,-0.304798222919
ACH-000244,0.0517029069102
ACH-000246,-0.0348870108324
ACH-000248,-0.298994558565
ACH-000250,-0.24007095644
ACH-000251,0.451091122698
ACH-000253,-0.469388352184
ACH-000255,-0.27343805428
ACH-000256,-0.377277108832
ACH-000257,-0.38188835554899997
ACH-000258,-0.16005383076500002
ACH-000259,-0.0628575949809
ACH-000260,-0.332884007978
ACH-000261,-0.318726439634
ACH-000262,-0.357365477856
ACH-000263,-0.0968394500833
ACH-000264,-0.30047940977800003
ACH-000265,-0.14073812358899998
ACH-000266,-0.09654317844239999
ACH-000272,-0.45353589006300005
ACH-000273,-0.31656396773699996
ACH-000274,-0.04648684235140001
ACH-000277,-0.293622731446
ACH-000278,-0.441396137353
ACH-000279,-0.310520906616
ACH-000280,-0.289675495068
ACH-000281,-0.0462919031224
ACH-000288,-0.11016319995200001
ACH-000291,-0.280043491156
ACH-000293,-0.484804660211
ACH-000294,-0.120375507391
ACH-000295,-0.23986575202100002
ACH-000296,-0.46453229502
ACH-000302,-0.37842687692000004
ACH-000304,-0.517746085306
ACH-000307,-0.304681696344
ACH-000308,-0.253690529443
ACH-000310,-0.156899695339
ACH-000311,0.0866237375725
ACH-000312,-0.40002610921
ACH-000315,-0.38896246664000006
ACH-000316,-0.008643488471620001
ACH-000317,-0.0536175898339
ACH-000318,-0.212070914535
ACH-000319,-0.41764047385200004
ACH-000320,0.10664587756100001
ACH-000322,-0.0641962085644
ACH-000323,-0.11406254937
ACH-000324,-0.137521538462
ACH-000329,-0.21192087223900002
ACH-000330,-0.104184462918
ACH-000331,-0.176021042338
ACH-000332,-0.0988565142317
ACH-000334,-0.464718224515
ACH-000335,-0.141735630724
ACH-000336,-0.5943336854300001
ACH-000337,-0.181499894251
ACH-000339,-0.054655847994699996
ACH-000341,-0.12078454675000001
ACH-000348,-0.23329430520999997
ACH-000350,-0.14182142348
ACH-000352,-0.292937023132
ACH-000356,-0.32509348132
ACH-000361,-0.296349568274
ACH-000362,-0.23517834342500002
ACH-000363,-0.407956679873
ACH-000364,-0.22154693826400002
ACH-000365,-0.31595691106999996
ACH-000366,-0.237864726144
ACH-000368,-0.324119389907
ACH-000374,-0.284143063516
ACH-000375,-0.14830936662900002
ACH-000376,-0.371756046769
ACH-000381,-0.131475800835
ACH-000383,-0.296832176628
ACH-000387,-0.182248948445
ACH-000389,-0.223712292268
ACH-000390,-0.5104378366879999
ACH-000393,-0.36656408490099995
ACH-000395,-0.6815569769509999
ACH-000397,-0.23941527515
ACH-000401,0.345089233992
ACH-000402,-0.21986292716999997
ACH-000403,-0.29601821791
ACH-000404,-0.12258422793899999
ACH-000406,-0.203217916579
ACH-000407,-0.39287254635799995
ACH-000408,-0.328951681492
ACH-000410,-0.33771125965599996
ACH-000411,-0.294889431489
ACH-000414,-0.029164338010100002
ACH-000415,-0.271672843668
ACH-000416,-0.187876361446
ACH-000420,-0.32547383491099996
ACH-000421,-0.22543234038600002
ACH-000424,-0.599585750012
ACH-000425,-0.055385495559099995
ACH-000426,-0.20303236505199998
ACH-000427,-0.316414748257
ACH-000433,-0.34728690687200003
ACH-000436,-0.615171304587
ACH-000444,-0.28794370621
ACH-000445,-0.09747922395160001
ACH-000448,-0.42352669719999997
ACH-000450,-0.171928364868
ACH-000452,-0.09096519160260001
ACH-000454,-0.390113564684
ACH-000458,-0.09486285490839999
ACH-000459,-0.040310267256
ACH-000460,-0.17065664350200002
ACH-000461,-0.538371633672
ACH-000463,-0.105672445019
ACH-000464,-0.18365023231600003
ACH-000466,-0.350916184747
ACH-000467,-0.173557067247
ACH-000468,-0.146643386952
ACH-000469,-0.387325555752
ACH-000470,-0.36546977154700006
ACH-000471,-0.19289704141300001
ACH-000472,-0.215499290466
ACH-000473,-0.179214637146
ACH-000475,-0.268595531333
ACH-000476,-0.41670222371
ACH-000477,-0.360157595943
ACH-000480,-0.0493239527813
ACH-000481,-0.170676224109
ACH-000483,-0.27558702006200003
ACH-000484,-0.274774220046
ACH-000485,-0.08867159987810001
ACH-000486,-0.005471590307419999
ACH-000487,-0.149821026701
ACH-000488,-0.164262346265
ACH-000490,-0.32819985088500003
ACH-000491,-0.446089821518
ACH-000495,-0.184460330568
ACH-000496,-0.113261118796
ACH-000499,-0.5384179430789999
ACH-000500,-0.722510295521
ACH-000502,-0.227769237381
ACH-000503,-0.515425248864
ACH-000505,-0.42101389643200005
ACH-000507,-0.3787251157
ACH-000510,-0.375270815885
ACH-000511,-0.38192773002400005
ACH-000512,-0.382110147048
ACH-000516,-0.186386297516
ACH-000517,-0.26407768365
ACH-000518,-0.0169042969175
ACH-000520,-0.384909033137
ACH-000521,-0.0886108214425
ACH-000522,-0.224677950409
ACH-000524,-0.27406600570399997
ACH-000527,-0.394496606483
ACH-000528,-0.215952697013
ACH-000537,-0.16848322491
ACH-000541,0.0814423851902
ACH-000542,-0.341924888973
ACH-000544,0.061245077999300006
ACH-000545,-0.274741041134
ACH-000547,-0.11796784961500001
ACH-000548,-0.417273764885
ACH-000549,-0.243877436306
ACH-000550,-0.0558586911509
ACH-000552,-0.10422885745999999
ACH-000556,-0.496446057121
ACH-000557,-0.309020133052
ACH-000570,-0.106472613639
ACH-000571,-0.39368590369999995
ACH-000573,-0.351673480815
ACH-000576,-0.360651953136
ACH-000580,-0.119501566314
ACH-000584,-0.093184160103
ACH-000585,-0.289400173793
ACH-000588,-0.392319236083
ACH-000589,-0.19515368057399998
