,PSTPIP2 (9050)
ACH-000390,0.09097619698960001
ACH-000393,0.0799245217333
ACH-000395,0.378410061823
ACH-000397,0.037936134806
ACH-000401,-0.0207366813253
ACH-000402,-0.215247712667
ACH-000403,0.0020532651676
ACH-000404,0.42247041491899995
ACH-000406,0.133834703583
ACH-000407,0.21109280774099998
ACH-000408,0.11413099298900001
ACH-000410,0.131286855423
ACH-000411,0.17181234166200002
ACH-000414,0.236996763272
ACH-000415,0.147677955164
ACH-000416,-0.0138397502401
ACH-000420,0.22026472204999997
ACH-000421,0.192703845429
ACH-000424,0.269713832448
ACH-000425,0.0765126355249
ACH-000426,0.564583084692
ACH-000427,0.0647609777262
ACH-000433,0.007618138155149999
ACH-000436,0.0049506983262
ACH-000444,0.042448971794600006
ACH-000445,0.234372536268
ACH-000448,0.16985483654199998
ACH-000450,0.248902390437
ACH-000452,0.0253950522235
ACH-000454,0.300308025557
ACH-000458,0.228614569826
ACH-000459,0.268288880787
ACH-000460,0.0632540637665
ACH-000461,0.26693516438299997
ACH-000463,0.025617250739
ACH-000464,0.12059854519799999
ACH-000466,0.16790941934
ACH-000467,0.170691287588
ACH-000468,-0.00576623826549
ACH-000469,0.131918660251
ACH-000470,0.0031083043605100004
ACH-000471,0.21732384058600002
ACH-000472,0.11006315053400001
ACH-000473,0.18654281842700002
ACH-000475,0.0763284043427
ACH-000476,0.13939357445599998
ACH-000477,0.280773063131
ACH-000480,0.14959229557
ACH-000481,0.102639166578
ACH-000483,0.32947861054600003
ACH-000484,0.008237939319729999
ACH-000485,0.0186363253055
ACH-000486,0.238549000609
ACH-000487,0.21777847279100002
ACH-000488,0.15296464498600001
ACH-000490,0.10885761233899999
ACH-000491,0.0763035375186
ACH-000495,0.14928644808299998
ACH-000496,0.174208542528
ACH-000499,0.327500401519
ACH-000500,0.020971219089099997
ACH-000502,0.0222550578063
ACH-000503,0.303711147771
ACH-000505,0.11978483743599999
ACH-000507,0.07604027994250001
ACH-000510,0.147508889588
ACH-000511,0.272534372352
ACH-000512,0.211740496094
ACH-000516,0.179513715865
ACH-000517,0.119896842803
ACH-000518,0.336964565187
ACH-000520,0.0407071605747
ACH-000521,0.23643069102699998
ACH-000522,0.139573814741
ACH-000524,0.11685258351399999
ACH-000527,0.0642529570566
ACH-000528,0.0914501000991
ACH-000537,0.14650316873299998
ACH-000541,0.037497729517099995
ACH-000542,0.0279830298637
ACH-000544,0.11208313385600001
ACH-000545,-0.09794514077230002
ACH-000547,0.053330327950400006
ACH-000548,0.358075459817
ACH-000549,0.273465705346
ACH-000550,0.23104911866900002
ACH-000552,0.08540812774689999
ACH-000556,0.104485012684
ACH-000557,0.21870973745499997
ACH-000570,0.166467921715
ACH-000571,0.152413732411
ACH-000573,0.216148493504
ACH-000576,0.013521185405600001
ACH-000580,-0.00747795948428
ACH-000584,0.207731800851
ACH-000585,0.196513723418
ACH-000588,0.25881598953
ACH-000589,0.110885378438
ACH-000591,0.239204770922
ACH-000593,0.19821880011100002
ACH-000600,0.174179712078
ACH-000601,0.17449804391600002
ACH-000604,0.434019442318
ACH-000605,0.0780028906207
ACH-000606,0.26024494832
ACH-000608,0.18252426420200002
ACH-000614,0.308292737154
ACH-000616,-0.119062516832
ACH-000618,0.34120871392499996
ACH-000619,0.165886046017
ACH-000620,0.129009588786
ACH-000621,0.228629866911
ACH-000622,0.0241641730742
ACH-000623,0.10705672856000001
ACH-000624,0.0779316346137
ACH-000627,0.238391210023
ACH-000630,0.0595345839746
ACH-000632,0.192715967762
ACH-000633,0.2002985074
ACH-000637,0.0552579954674
ACH-000638,0.0140448895537
ACH-000646,0.324470680808
ACH-000647,0.07353038284680001
ACH-000648,0.09756400289230001
ACH-000649,0.235057833981
ACH-000651,0.135786414191
ACH-000652,-0.086117230719
ACH-000653,0.161411401957
ACH-000657,0.181060269591
ACH-000658,0.150233076844
ACH-000661,0.112059755483
ACH-000662,0.27266984897700003
ACH-000663,0.183040092647
ACH-000665,0.191334680314
ACH-000671,0.223311097758
ACH-000673,0.0495141590359
ACH-000676,0.169031733418
ACH-000677,0.05306287742819999
ACH-000681,0.15192239805
ACH-000682,0.145808196719
ACH-000683,0.150017767183
ACH-000684,0.172744521048
ACH-000688,0.333906149176
ACH-000693,0.155177078513
ACH-000694,0.134872039359
ACH-000695,0.029162528512499997
ACH-000696,0.0827984012851
ACH-000697,0.231484555688
ACH-000699,-0.0039117880532399995
ACH-000701,0.0279606521892
ACH-000706,0.10677940355900001
ACH-000711,0.15575623587600002
ACH-000713,0.18761244026299997
ACH-000714,0.127850325343
ACH-000718,0.331531104122
ACH-000720,0.223077328769
ACH-000721,0.232282125769
ACH-000724,0.0782621002044
ACH-000725,0.165370734779
ACH-000732,0.246013457055
ACH-000734,0.0996383998271
ACH-000735,0.233607943156
ACH-000736,0.126635300026
ACH-000738,0.133940959134
ACH-000746,0.377617010354
ACH-000747,0.40426565686899996
ACH-000748,0.198407009686
ACH-000753,0.204508541421
ACH-000756,-0.09780591241810001
ACH-000757,-0.12312595937200001
ACH-000758,0.0693697687728
ACH-000760,0.18608416047499998
ACH-000763,0.0158767768558
ACH-000764,0.22532714601599999
ACH-000765,0.151712910021
ACH-000766,0.039107455445199994
ACH-000767,0.23558390831999998
ACH-000768,0.04643533474119999
ACH-000769,0.381109236737
ACH-000770,0.0997512187257
ACH-000771,0.31007457495
ACH-000773,0.291934806552
ACH-000776,0.199431427971
ACH-000777,0.31015436877700003
ACH-000778,0.00398389064505
ACH-000781,0.0734672666657
ACH-000782,0.014260919080299998
ACH-000783,0.251285689653
ACH-000784,0.219137567726
ACH-000785,0.014596540295799999
ACH-000787,0.199467044755
ACH-000788,0.188783579214
ACH-000791,0.216299074978
ACH-000792,-0.0696414777563
ACH-000794,-0.00692982692887
ACH-000796,0.190079727112
ACH-000799,0.08527891491100001
ACH-000800,0.331491960196
ACH-000802,0.066752388452
ACH-000804,0.106953377015
ACH-000805,0.27660690245
ACH-000809,0.169714249289
ACH-000810,0.21323554078499998
ACH-000811,0.206646229314
ACH-000817,0.298735008935
ACH-000819,0.13795816933900001
ACH-000820,0.0867434915725
ACH-000821,0.128068107957
ACH-000822,0.234444240568
ACH-000823,0.1614971961
ACH-000824,0.144947132381
ACH-000827,0.155034418596
ACH-000829,0.0959361073937
ACH-000831,0.023948013169100002
ACH-000832,-0.05758639254930001
ACH-000833,0.342956340188
ACH-000834,0.127210301309
ACH-000835,0.19163844781300002
ACH-000836,0.18529555021699998
ACH-000837,0.15750972945
ACH-000838,0.248421174873
ACH-000839,0.161834056838
ACH-000840,0.20445769371800002
ACH-000841,0.19394805168999998
ACH-000843,-0.131700029271
ACH-000846,0.033385432864900005
ACH-000847,0.022104225740299997
ACH-000848,0.0643607847762
ACH-000849,0.22076794715700002
ACH-000851,0.126238714244
ACH-000855,0.0135758582985
ACH-000856,0.104621974156
ACH-000858,0.11745018582000001
ACH-000859,0.324101085142
ACH-000861,0.12676828003499999
ACH-000862,0.126119924149
ACH-000865,0.129291554942
ACH-000866,0.15416401133
ACH-000867,0.33212898250100004
ACH-000869,0.0804588261298
ACH-000872,0.186795262023
ACH-000873,0.246925330815
ACH-000876,0.154433026296
ACH-000878,0.181345719589
ACH-000880,0.191653014485
ACH-000881,0.07964491496010001
ACH-000882,0.0576562605298
ACH-000884,0.151453765451
ACH-000885,0.09274799287689998
ACH-000887,0.160858786757
ACH-000888,0.08767254980389999
ACH-000889,0.218934518329
ACH-000890,0.314223666626
ACH-000896,0.09888482576850001
ACH-000898,0.22908272964200002
ACH-000900,0.268612609044
ACH-000901,0.188670356059
ACH-000905,0.200663292467
ACH-000906,0.0794176883875
ACH-000907,0.113251029988
ACH-000910,0.172332246045
ACH-000911,0.17031827682599998
ACH-000912,0.0925280552166
ACH-000913,0.30462700361
ACH-000915,0.0713010918537
ACH-000916,-0.111584636402
ACH-000917,0.137548179534
ACH-000921,0.14529197220999998
ACH-000924,0.0938807895029
ACH-000926,0.050412267094400005
ACH-000928,0.239626552522
ACH-000929,0.0555486555119
ACH-000932,0.0509760112521
ACH-000935,0.15170871170999997
ACH-000936,0.21469228276799998
ACH-000937,0.227757051224
ACH-000938,0.183399104457
ACH-000939,0.054984307702
ACH-000941,0.289180912649
ACH-000943,0.142129852287
ACH-000946,0.22618811460700003
ACH-000947,0.0433682656726
ACH-000948,0.129158940472
ACH-000950,0.0566093622054
ACH-000953,0.10486024693700001
ACH-000957,0.058944611894699996
ACH-000958,0.0029790150566600003
ACH-000960,0.214082669868
ACH-000963,0.239809818064
ACH-000968,0.0952849221741
ACH-000969,0.146814983628
ACH-000973,0.083367472353
ACH-000974,0.16974649496199998
ACH-000975,0.0307735141545
ACH-000976,0.168041201758
ACH-000978,0.412892581856
ACH-000980,0.17923356523400003
ACH-000984,0.0911931523646
ACH-000986,0.10900610512900001
ACH-000988,0.266749532743
ACH-000993,0.282067895706
ACH-000994,-0.00780519987159
ACH-000996,0.332327080369
ACH-001001,0.0195751383628
ACH-001020,0.30034027841600003
ACH-001028,0.24868180079
ACH-001031,-0.021366570381099997
ACH-001038,0.165286086398
ACH-001048,0.100086391404
ACH-001050,0.38520364873400004
ACH-001053,0.025400902006900004
ACH-001054,0.044840520773400006
ACH-001061,0.310098751507
ACH-001067,0.331642021281
ACH-001075,0.38872622240500004
