,CRYGN (155051)
ACH-000004,-0.133346909915
ACH-000007,-0.111112067824
ACH-000009,-0.131166228631
ACH-000011,-0.293033865297
ACH-000012,-0.08399234602399999
ACH-000013,-0.09043407924130001
ACH-000014,-0.401761440018
ACH-000015,-0.10151207135500001
ACH-000017,-0.144746731181
ACH-000018,-0.0821803171714
ACH-000019,-0.314988674543
ACH-000021,-0.210285158218
ACH-000022,-0.0444425675205
ACH-000025,0.0444631610719
ACH-000028,-0.129927256959
ACH-000030,-0.065142001632
ACH-000035,-0.298974305749
ACH-000036,-0.135556952077
ACH-000037,-0.291158605491
ACH-000039,-0.17963064418299998
ACH-000040,-0.285054734773
ACH-000041,-0.282469319981
ACH-000042,-0.0722481837892
ACH-000045,-0.37186041665799996
ACH-000047,-0.111863298375
ACH-000052,-0.302615378801
ACH-000053,-0.20387300096900002
ACH-000054,-0.162332569733
ACH-000055,-0.0843767399665
ACH-000060,0.00813252622506
ACH-000067,-0.130056414768
ACH-000070,-0.18968512685400002
ACH-000075,-0.263151066434
ACH-000078,-0.176131318756
ACH-000082,-0.144905508943
ACH-000085,-0.322469334628
ACH-000086,-0.07929712885210001
ACH-000087,-0.265140643636
ACH-000092,-0.00264617334509
ACH-000095,-0.0968386512548
ACH-000097,-0.160691742475
ACH-000098,-0.135192697484
ACH-000099,-0.302758541439
ACH-000108,-0.048018101014900005
ACH-000113,-0.190404932864
ACH-000115,-0.170807635933
ACH-000116,-0.151687822344
ACH-000118,-0.0282500554653
ACH-000120,-0.0477151382812
ACH-000123,-0.173242462843
ACH-000127,-0.185829746772
ACH-000128,-0.143546757241
ACH-000132,0.103646894227
ACH-000133,0.049214925975900006
ACH-000137,-0.124708418005
ACH-000138,-0.0377003444594
ACH-000142,0.0323422809311
ACH-000143,-0.21735956467099998
ACH-000146,-0.112940447269
ACH-000148,-0.17105655644
ACH-000150,-0.0912540716615
ACH-000152,-0.05597612297040001
ACH-000153,-0.113903256119
ACH-000159,-0.028882154889000002
ACH-000160,-0.08917487502350001
ACH-000163,-0.129931327789
ACH-000167,-0.335594696871
ACH-000168,-0.0296152055956
ACH-000169,-0.0952699093162
ACH-000178,-0.25794442570500004
ACH-000182,-0.263468696722
ACH-000183,-0.09165355339230001
ACH-000188,-0.0274050826552
ACH-000189,-0.124048651688
ACH-000190,-0.283008828627
ACH-000198,-0.09862399549010001
ACH-000204,-0.0472671275505
ACH-000206,-0.015228647464000001
ACH-000207,0.248150124269
ACH-000211,0.032665498435900005
ACH-000215,-0.167229099865
ACH-000221,0.253044653653
ACH-000222,0.059663390825300006
ACH-000223,0.11891462482899999
ACH-000226,0.012793229157200001
ACH-000227,-0.34600798301200003
ACH-000228,-0.051215756126300006
ACH-000231,-0.143568720267
ACH-000232,-0.405087633688
ACH-000233,-0.347615841111
ACH-000234,-0.1757767931
ACH-000235,-0.0719767744615
ACH-000237,-0.138247562446
ACH-000238,-0.129897871285
ACH-000243,0.00872110030437
ACH-000244,-0.28255795342900003
ACH-000246,-0.131490453526
ACH-000248,-0.08064763124
ACH-000250,-0.338998733929
ACH-000251,-0.0935283610455
ACH-000253,-0.205548458391
ACH-000255,-0.0886343086046
ACH-000256,-0.0115821415462
ACH-000257,-0.522033778746
ACH-000258,-0.0718042195147
ACH-000259,-0.10900441871
ACH-000260,-0.170228192617
ACH-000261,-0.0713132241823
ACH-000262,-0.33169669129
ACH-000263,-0.271249170684
ACH-000264,-0.10731984595899999
ACH-000265,0.10133264815099999
ACH-000266,-0.0351348418816
ACH-000272,-0.362103582728
ACH-000273,-0.283216818387
ACH-000274,-0.325016162054
ACH-000277,-0.09120191422900001
ACH-000278,-0.16892614646600002
ACH-000279,-0.237990838549
ACH-000280,-0.15678867210300002
ACH-000281,-0.20732090633000003
ACH-000288,-0.137739236375
ACH-000291,-0.374826408543
ACH-000293,-0.009138517928530002
ACH-000294,-0.244454205225
ACH-000295,-0.154252921686
ACH-000296,0.0197799171771
ACH-000302,-0.195462179585
ACH-000304,-0.27911490459800004
ACH-000307,-0.10434323623099999
ACH-000308,-0.23366420262200002
ACH-000310,-0.143414225623
ACH-000311,-0.0637975922255
ACH-000312,-0.19002514844300003
ACH-000315,-0.187396635457
ACH-000316,-0.32020785481499997
ACH-000317,-0.293557100185
ACH-000318,-0.0834280002252
ACH-000319,-0.042236633444800005
ACH-000320,0.05689500537409999
ACH-000322,-0.021898213406700003
ACH-000323,-0.189281721598
ACH-000324,-0.155817582577
ACH-000329,-0.11311141059699999
ACH-000330,-0.07718886445419999
ACH-000331,-0.19495945697900002
ACH-000332,-0.07027443672770001
ACH-000334,-0.177187795379
ACH-000335,0.106794550352
ACH-000336,-0.0443854609291
ACH-000337,-0.0571013612438
ACH-000339,0.0160758950699
ACH-000341,-0.178050089085
ACH-000348,-0.217734530836
ACH-000350,-0.109783998705
ACH-000352,-0.207386776338
ACH-000356,-0.144873846839
ACH-000361,0.030172391271099996
ACH-000362,-0.12998330772
ACH-000363,-0.135468909381
ACH-000364,-0.33550216504700003
