,KRT6A (3853)
ACH-000004,-0.5149088167360001
ACH-000007,-0.40019394166100003
ACH-000009,-0.240274488825
ACH-000011,-0.21984870433899997
ACH-000012,-0.24814205290600003
ACH-000013,-0.37691394604199996
ACH-000014,-0.16309930984
ACH-000015,-0.355904486777
ACH-000017,-0.536016194553
ACH-000018,-0.218303129007
ACH-000019,-0.452570834607
ACH-000021,-0.49255631358
ACH-000022,-0.213506317421
ACH-000025,-0.30538959684300004
ACH-000028,-0.43379134591300006
ACH-000030,-0.450402035172
ACH-000035,-0.19672163100099999
ACH-000036,-0.230610166653
ACH-000037,-0.275317487258
ACH-000039,-0.511243769058
ACH-000040,-0.38090581102
ACH-000041,-0.509847498509
ACH-000042,-0.456009489248
ACH-000045,-0.393832801079
ACH-000047,-0.233033397124
ACH-000052,-0.614447920096
ACH-000053,-0.318270287558
ACH-000054,-0.536953001956
ACH-000055,-0.450241144556
ACH-000060,-0.171394478196
ACH-000067,-0.391497914414
ACH-000070,-0.16467874141
ACH-000075,-0.259558212991
ACH-000078,-0.55088479889
ACH-000082,-0.285807630908
ACH-000085,-0.637067095946
ACH-000086,-0.393527158748
ACH-000087,-0.41382339619
ACH-000092,-0.336601643799
ACH-000095,-0.564405353907
ACH-000097,-0.5558578895840001
ACH-000098,-0.197157194906
ACH-000099,-0.513252703655
ACH-000108,-0.364807663213
ACH-000113,-0.357174508082
ACH-000115,-0.36055060706799996
ACH-000116,-0.331222295765
ACH-000118,-0.47858852681999997
ACH-000120,-0.551457595875
ACH-000123,-0.192615230959
ACH-000127,-0.31219043640099997
ACH-000128,-0.50212426988
ACH-000132,-0.29622814421300003
ACH-000133,-0.425956353645
ACH-000137,-0.615572028064
ACH-000138,-0.605184261844
ACH-000142,-0.22529612939500002
ACH-000143,-0.61914840897
ACH-000146,-0.226807802436
ACH-000148,-0.166926931719
ACH-000150,-0.250521510539
ACH-000152,-0.39249998222599997
ACH-000153,-0.250866561635
ACH-000159,-0.341645366689
ACH-000160,-0.459501687178
ACH-000163,-0.269638643714
ACH-000167,-0.226962900607
ACH-000168,-0.36837288323600004
ACH-000169,-0.14510705349000003
ACH-000178,-0.0840386193244
ACH-000182,-0.35585459351599996
ACH-000183,-0.397553007791
ACH-000188,-0.176346251963
ACH-000189,-0.16712294515999998
ACH-000190,-0.28832648724599996
ACH-000198,-0.527419327022
ACH-000204,-0.23620628549199998
ACH-000206,-0.36995780851899995
ACH-000207,-0.525831795677
ACH-000211,-0.448387536514
ACH-000215,-0.491953634771
ACH-000221,-0.646087185107
ACH-000222,-0.652337216619
ACH-000223,-0.361330560296
ACH-000226,-0.301397268082
ACH-000227,-0.542573208971
ACH-000228,-0.35847945836999995
ACH-000231,-0.341103744002
ACH-000232,-0.308781038708
ACH-000233,-0.396794425459
ACH-000234,-0.582918324699
ACH-000235,-0.486356723117
ACH-000237,-0.330256625909
ACH-000238,-0.44986426755599995
ACH-000243,-0.528122132344
ACH-000244,-0.19975223778700002
ACH-000246,-0.496947690962
ACH-000248,-0.44352150744900004
ACH-000250,-0.330551638798
ACH-000251,-0.503534665844
ACH-000253,-0.149939663993
ACH-000255,-0.23849169589400002
ACH-000256,-0.205921697957
ACH-000257,-0.269501373957
ACH-000258,-0.347694584436
ACH-000259,-0.387451415865
ACH-000260,-0.37702389096600003
ACH-000261,-0.47792102908399997
ACH-000262,-0.571224922178
ACH-000263,-0.505484562241
ACH-000264,-0.308468555547
ACH-000265,-0.369272957076
ACH-000266,-0.492084865738
ACH-000272,-0.353530731071
ACH-000273,-0.39468325043499997
ACH-000274,-0.481861563045
ACH-000277,-0.489706975097
ACH-000278,-0.389040560407
ACH-000279,-0.50967404342
ACH-000280,-0.374431512029
ACH-000281,-0.469968123231
ACH-000288,-0.519525734835
ACH-000291,-0.45722736113799994
ACH-000293,-0.333663336749
ACH-000294,-0.440124974261
ACH-000295,-0.387024479234
ACH-000296,-0.358021470673
ACH-000302,-0.46126584847499996
ACH-000304,-0.861720112485
ACH-000307,-0.345151442903
ACH-000308,-0.384088389976
ACH-000310,-0.49882308627599997
ACH-000311,-0.492834695214
ACH-000312,-0.526236492095
ACH-000315,-0.508702167477
ACH-000316,-0.309886445798
ACH-000317,-0.223611234023
ACH-000318,-0.6040436282639999
ACH-000319,-0.251460838107
ACH-000320,-0.574734140222
ACH-000322,-0.272373393699
ACH-000323,-0.308299358624
ACH-000324,-0.528802095913
ACH-000329,-0.36282262791000003
ACH-000330,-0.447690804095
ACH-000331,-0.33686808152500003
ACH-000332,-0.53439824206
ACH-000334,-0.299531754403
ACH-000335,-0.416516527275
ACH-000336,-0.302123184343
ACH-000337,-0.6786699972849999
ACH-000339,-0.567786342074
ACH-000341,-0.38031423454999996
ACH-000348,-0.47729036383400003
ACH-000350,-0.444354871813
ACH-000352,-0.5674006235419999
ACH-000356,-0.5436068880789999
ACH-000361,-0.520220365759
ACH-000362,-0.433542233187
ACH-000363,-0.363079367302
ACH-000364,-0.43644986077299996
ACH-000365,-0.348831398474
ACH-000366,-0.33935520813600006
ACH-000368,-0.400144586344
ACH-000374,-0.39768934671899997
ACH-000375,-0.233670333695
ACH-000376,-0.30869895480799997
ACH-000381,-0.39647495895400003
ACH-000383,-0.38439200567000004
ACH-000387,-0.42319183806
ACH-000389,-0.38741294905199997
ACH-000390,-0.548000968416
ACH-000393,-0.2962907313
ACH-000395,-0.530394069838
ACH-000397,-0.39097730978699996
ACH-000401,-0.462068557945
ACH-000402,-0.148805744725
ACH-000403,-0.506997250065
ACH-000404,-0.455114391964
ACH-000406,-0.34111883643299995
ACH-000407,-0.7058196886139999
ACH-000408,-0.214806641801
ACH-000410,-0.370244942243
ACH-000411,-0.251806748464
ACH-000414,-0.552634708096
ACH-000415,-0.21145637783399998
ACH-000416,-0.34548764860500003
ACH-000420,-0.352364293595
ACH-000421,-0.270717681587
ACH-000424,-0.5053253380699999
ACH-000425,-0.324967246825
ACH-000426,-0.639236735109
ACH-000427,0.093350088703
ACH-000433,-0.597253885492
ACH-000436,-0.38550311813
ACH-000444,-0.5059177383429999
ACH-000445,-0.762553323671
ACH-000448,-0.371277108077
ACH-000450,-0.521119218473
ACH-000452,-0.38262240797200003
ACH-000454,-0.34238680386
ACH-000458,-0.41302185675700004
