,SVIL (6840)
ACH-000004,0.12066970295499999
ACH-000007,0.08600760905619999
ACH-000009,-0.0412201451966
ACH-000011,0.0743644950122
ACH-000012,-0.278173360886
ACH-000013,-0.08849070175979999
ACH-000014,0.142544758502
ACH-000015,-0.02036278811
ACH-000017,0.11155745067600001
ACH-000018,-0.175610079529
ACH-000019,0.143247231395
ACH-000021,-0.445406921896
ACH-000022,-0.0752935618325
ACH-000025,0.09193637239210001
ACH-000028,-0.10873559920999998
ACH-000030,-0.174445478517
ACH-000035,0.0630919948571
ACH-000036,0.108421198917
ACH-000037,-0.106258976853
ACH-000039,0.032534609836200004
ACH-000040,-0.0633674922785
ACH-000041,-0.0270600841678
ACH-000042,-0.00030989203407700005
ACH-000045,-0.038872524257
ACH-000047,0.08054805468010001
ACH-000052,0.382317045076
ACH-000053,-0.030415197772400003
ACH-000054,-0.131364932717
ACH-000055,-0.335009068229
ACH-000060,-0.113234657152
ACH-000067,-0.0345826486689
ACH-000070,-0.233532212838
ACH-000075,-0.198050546677
ACH-000078,0.030816075404599998
ACH-000082,-0.198185860618
ACH-000085,-0.192613376583
ACH-000086,-0.0284853404431
ACH-000087,0.268046347832
ACH-000092,0.036578227543599996
ACH-000095,-0.0732511398564
ACH-000097,0.0083084456439
ACH-000098,-0.013385508981
ACH-000099,0.0291947460398
ACH-000108,-0.131629078039
ACH-000113,3.91858781843e-05
ACH-000115,-0.0731441358896
ACH-000116,-0.0183228092615
ACH-000118,0.00433114632055
ACH-000120,0.19053597692000002
ACH-000123,0.00183906254377
ACH-000127,-0.07398981280669999
ACH-000128,0.12732059478
ACH-000132,-0.08886566811889998
ACH-000133,-0.0213060999859
ACH-000137,-0.18475875909400002
ACH-000138,0.05984065418880001
ACH-000142,-0.0650528421444
ACH-000143,-0.162863725569
ACH-000146,0.0828469855479
ACH-000148,-0.18133686359600001
ACH-000150,-0.057542452792100005
ACH-000152,-0.0664432108799
ACH-000153,0.0431456678658
ACH-000159,0.0219454974384
ACH-000160,-0.13977924650100002
ACH-000163,0.239312882232
ACH-000167,-0.324241222946
ACH-000168,0.044705077515799996
ACH-000169,0.136844649007
ACH-000178,-0.09605831370279999
ACH-000182,0.156594606469
ACH-000183,-0.00133290511095
ACH-000188,-0.237971585431
ACH-000189,-0.057408688535900004
ACH-000190,-0.179071244549
ACH-000198,0.0235266067662
