,NOXA1 (10811)
ACH-000004,-0.170862926294
ACH-000007,-0.127054407323
ACH-000009,-0.312373546434
ACH-000011,-0.36963317840800003
ACH-000012,-0.277523152628
ACH-000013,-0.265013966408
ACH-000014,-0.178012961146
ACH-000015,-0.162486249952
ACH-000017,-0.255971474974
ACH-000018,0.0146061615328
ACH-000019,0.0311077229343
ACH-000021,-0.107186913788
ACH-000022,-0.28551604619000004
ACH-000025,-0.216536875532
ACH-000028,0.07646027746
ACH-000030,-0.110203760328
ACH-000035,-0.112343343227
ACH-000036,-0.16873512978900002
ACH-000037,-0.0601648087274
ACH-000039,-0.210150645183
ACH-000040,-0.179153819174
ACH-000041,-0.24533722207199998
ACH-000042,-0.366090180841
ACH-000045,-0.0877799591079
ACH-000047,-0.220956296662
ACH-000052,-0.132216272009
ACH-000053,-0.22370866168900003
ACH-000054,-0.21732737603900001
ACH-000055,-0.182499154893
ACH-000060,-0.283426320143
ACH-000067,-0.260326124348
ACH-000070,-0.167199309298
ACH-000075,-0.20357087293900003
ACH-000078,-0.347392165013
ACH-000082,-0.194242074947
ACH-000085,-0.29557298490899997
ACH-000086,-0.022343459045700002
ACH-000087,-0.137337647784
ACH-000092,-0.17931169310199999
ACH-000095,-0.14231487129200002
ACH-000097,-0.0487401664475
ACH-000098,-0.160900896436
ACH-000099,-0.256156491115
ACH-000108,-0.073229575369
ACH-000113,-0.17548085315
ACH-000115,-0.277648024335
ACH-000116,-0.257633073602
ACH-000118,-0.077185628507
ACH-000120,-0.282338347607
ACH-000123,-0.134289366452
ACH-000127,-0.270900190238
ACH-000128,-0.19511265870299999
ACH-000132,-0.244365417392
ACH-000133,0.00733848731069
ACH-000137,-0.12884765829199998
ACH-000138,-0.102332932557
ACH-000142,-0.0741775551508
ACH-000143,-0.16940611015700002
ACH-000146,-0.28916815876999996
ACH-000148,-0.21065780696199998
ACH-000150,-0.421269533949
ACH-000152,-0.301535303255
ACH-000153,-0.288271447246
ACH-000159,-0.131568091031
ACH-000160,-0.253187393479
ACH-000163,-0.295856673913
ACH-000167,-0.23426462763099998
ACH-000168,-0.390697891123
ACH-000169,-0.195539171092
ACH-000178,-0.10467732983999999
ACH-000182,-0.254569543189
ACH-000183,-0.25934433255999995
ACH-000188,-0.00528864688198
ACH-000189,-0.00756398639343
ACH-000190,0.15392334087
