,KIF5B (3799)
ACH-000004,0.015452215552000001
ACH-000007,-0.0878899333697
ACH-000009,-0.182954446607
ACH-000011,0.0597289577659
ACH-000012,-0.0250566687792
ACH-000013,-0.06610217367940001
ACH-000014,0.0384298791217
ACH-000015,0.0716730332819
ACH-000017,0.0635269762823
ACH-000018,-0.0468212373986
ACH-000019,-0.0658924449967
ACH-000021,-0.350889500693
ACH-000022,-0.21281538044
ACH-000025,0.10988145884600001
ACH-000028,0.255360903952
ACH-000030,0.027525089520200004
ACH-000035,-0.0719187812078
ACH-000036,-0.0652773174709
ACH-000037,-0.193320015141
ACH-000039,-0.046709549921500004
ACH-000040,-0.474450979494
ACH-000041,0.08579910803139999
ACH-000042,-0.030580452333400003
ACH-000045,0.012262832583700001
ACH-000047,-0.0359757415045
ACH-000052,0.0157922018182
ACH-000053,-0.00108116576394
ACH-000054,-0.157556458156
ACH-000055,-0.209353897034
ACH-000060,0.108974691884
ACH-000067,-0.11481382478299999
ACH-000070,0.0358680674157
ACH-000075,-0.0179352169676
ACH-000078,-0.0159944593748
ACH-000082,-0.026206080956799997
ACH-000085,0.0396829288793
ACH-000086,-0.058022227761399994
ACH-000087,0.04268248273130001
ACH-000092,-0.0987509501118
ACH-000095,-0.08885283564610001
ACH-000097,0.10897900402899999
ACH-000098,0.154011709925
ACH-000099,-0.0032650303483000003
ACH-000108,0.0488523708249
ACH-000113,-0.0973418895988
ACH-000115,0.047463378323900005
ACH-000116,-0.006384635408899999
ACH-000118,-0.0898995037854
ACH-000120,0.0686197474
ACH-000123,0.18930290147700002
ACH-000127,-0.039747321835300005
ACH-000128,0.255549718588
ACH-000132,-0.066986131287
ACH-000133,-0.0017070060776500002
ACH-000137,-0.142614856919
ACH-000138,0.09117643002709999
ACH-000142,0.047682598623699994
ACH-000143,0.13691428829299998
ACH-000146,-0.072373613118
ACH-000148,-0.0558842034399
ACH-000150,0.114312120758
ACH-000152,0.254689726974
ACH-000153,0.150832065426
ACH-000159,0.03589961155330001
ACH-000160,0.07858800876710001
ACH-000163,-0.175431999643
ACH-000167,0.246240356155
ACH-000168,-0.0209646716813
ACH-000169,0.114701352255
ACH-000178,-0.0221630516904
ACH-000182,-0.022431166964599996
ACH-000183,0.197348087522
ACH-000188,0.0918593707749
ACH-000189,0.0515967404368
ACH-000190,0.0018140813610899999
ACH-000198,-0.07672569728289999
ACH-000204,-0.299644756627
ACH-000206,-0.0755264672567
ACH-000207,0.06709690091199999
ACH-000211,0.0416095466216
ACH-000215,-0.0199481183386
ACH-000221,0.072576713118
ACH-000222,0.119445066335
ACH-000223,-0.124356934467
ACH-000226,0.136909057957
ACH-000227,-0.022779552716900003
ACH-000228,-0.0170989406163
ACH-000231,0.0317721532174
ACH-000232,0.0339790721475
ACH-000233,0.0649679865783
ACH-000234,0.0245116020268
ACH-000235,0.10547562819800001
ACH-000237,0.177714588631
ACH-000238,0.0644319460818
ACH-000243,-0.0226210456672
ACH-000244,-0.189506947976
ACH-000246,-0.028611980336700003
ACH-000248,-0.0065569833182
ACH-000250,-0.0695771691335
ACH-000251,0.223844509614
ACH-000253,-0.10590557550100001
ACH-000255,0.169817072461
ACH-000256,0.07488072967039999
ACH-000257,-0.33350352561200003
ACH-000258,-0.05749558071619999
ACH-000259,-0.04848511778009999
ACH-000260,-0.0105542805822
