,PHAX (51808)
ACH-000004,-0.7754811953569999
ACH-000007,-0.8106679206899999
ACH-000009,-1.07009796485
ACH-000011,-0.5728330799620001
ACH-000012,-1.03535274542
ACH-000013,-0.963839171977
ACH-000014,-0.962248000907
ACH-000015,-1.13121769866
ACH-000017,-0.9793515580050001
ACH-000018,-0.955987278022
ACH-000019,-0.63247041153
ACH-000021,-0.720318163505
ACH-000022,-0.8224222432709999
ACH-000025,-0.6140578735660001
ACH-000028,-0.713083685713
ACH-000030,-0.7711723413420001
ACH-000035,-0.701606762137
ACH-000036,-0.587868447534
ACH-000037,-1.0573612525
ACH-000039,-0.9151900724690001
ACH-000040,-0.776634010793
ACH-000041,-0.989469600535
ACH-000042,-1.19145856702
ACH-000045,-1.0237727906899998
ACH-000047,-1.14118220769
ACH-000052,-0.979100325916
ACH-000053,-1.0099933273200001
ACH-000054,-1.09463667873
ACH-000055,-1.0964861124299998
ACH-000060,-0.889138262543
ACH-000067,-0.8584927385510001
ACH-000070,-0.552447810663
ACH-000075,-0.868940594051
ACH-000078,-1.17819443808
ACH-000082,-1.1675637604200002
ACH-000085,-1.03313671998
ACH-000086,-0.8444495492
ACH-000087,-0.552285605276
ACH-000092,-0.7540263566519999
ACH-000095,-0.8812093780850001
ACH-000097,-1.31120669271
ACH-000098,-0.5969674349840001
ACH-000099,-0.718593546258
ACH-000108,-1.18474360988
ACH-000113,-0.9735215989910001
ACH-000115,-0.800152530809
ACH-000116,-1.38727663433
ACH-000118,-0.9340595371729999
ACH-000120,-0.901163277035
ACH-000123,-0.947280748139
ACH-000127,-0.704545889786
ACH-000128,-0.73213504683
ACH-000132,-0.902171220677
ACH-000133,-0.8026929131999999
ACH-000137,-1.04419983364
ACH-000138,-0.831906707026
ACH-000142,-0.696371336529
ACH-000143,-0.93982026832
ACH-000146,-1.0731922341700002
ACH-000148,-0.86943893527
ACH-000150,-0.629452010924
ACH-000152,-0.882208228375
ACH-000153,-0.775435207181
ACH-000159,-0.839613026439
ACH-000160,-0.719376548769
ACH-000163,-1.31318128284
ACH-000167,-0.11856786664699999
ACH-000168,-0.9232565702159999
ACH-000169,-0.965533271304
ACH-000178,-0.866636561596
ACH-000182,-0.970921699961
ACH-000183,-0.919228950084
ACH-000188,-0.7962835213609999
ACH-000189,-0.8388605847380001
ACH-000190,-0.9488392666419999
ACH-000198,-1.0425715408
ACH-000204,-0.910917476448
ACH-000206,-0.6558787409319999
ACH-000207,-1.0258200131200002
ACH-000211,-0.780564056197
ACH-000215,-0.7154630453380001
ACH-000221,-0.716378654366
ACH-000222,-0.6297071282769999
ACH-000223,-0.936533557257
ACH-000226,-0.792443256162
ACH-000227,-0.9095417979289999
ACH-000228,-1.2422309788600001
ACH-000231,-0.629051386807
ACH-000232,-0.669839633425
ACH-000233,-0.554316477477
ACH-000234,-1.07229407064
ACH-000235,-1.06786205014
ACH-000237,-1.10267567075
ACH-000238,-0.8766160128489999
ACH-000243,-1.08591408593
ACH-000244,-0.750874069286
ACH-000246,-1.13174125893
ACH-000248,-0.924419618554
ACH-000250,-1.28467796208
ACH-000251,-0.741027464334
ACH-000253,-0.906218911355
ACH-000255,-1.07981175545
ACH-000256,-0.693220684722
ACH-000257,-0.929646755368
ACH-000258,-1.05427851
ACH-000259,-0.936642409206
ACH-000260,-0.77610887014
ACH-000261,-0.697562225229
