,CWC25 (54883)
ACH-000004,-0.42552551099799996
ACH-000007,-0.728476390258
ACH-000009,-0.591287747298
ACH-000011,-0.585744345237
ACH-000012,-0.445761708339
ACH-000013,-0.497491245504
ACH-000014,-0.591214991736
ACH-000015,-0.434385967861
ACH-000017,-0.6678031030129999
ACH-000018,-0.423101845095
ACH-000019,-0.8416013862299999
ACH-000021,-0.541523975761
ACH-000022,-0.596301284172
ACH-000025,-0.48325552217699996
ACH-000028,-0.663537109697
ACH-000030,-0.60903875086
ACH-000035,-0.407275714236
ACH-000036,-0.49477821370499997
ACH-000037,-0.7268169653309999
ACH-000039,-0.7743694482119999
ACH-000040,-0.462513945703
ACH-000041,-0.671704435083
ACH-000042,-0.503016321508
ACH-000045,-0.43044166186899996
ACH-000047,-0.454066399219
ACH-000052,-0.820755432642
ACH-000053,-0.494623621756
ACH-000054,-0.47605193184199995
ACH-000055,-0.48276624538999996
ACH-000060,-0.6020335662830001
ACH-000067,-0.522567843448
ACH-000070,-0.51681558332
ACH-000075,-0.394605786988
ACH-000078,-0.404260312223
ACH-000082,-0.6700366200060001
ACH-000085,-0.463261029375
ACH-000086,-0.57568599428
ACH-000087,-0.582061546526
ACH-000092,-0.435996507545
ACH-000095,-0.35526116610299996
ACH-000097,-0.41105394538199996
ACH-000098,-0.43314916725900005
ACH-000099,-0.397235592849
ACH-000108,-0.669062283232
ACH-000113,-0.47981623083400005
ACH-000115,-1.0269180543
ACH-000116,-0.528609317643
ACH-000118,-0.519877681701
ACH-000120,-0.193684540272
ACH-000123,-0.53449091824
ACH-000127,-0.36396374964199996
ACH-000128,-0.409605458279
ACH-000132,-0.529919526515
ACH-000133,-0.401914145863
ACH-000137,-0.7011533391399999
ACH-000138,-0.378252843697
ACH-000142,-0.573018604645
ACH-000143,-0.471949075507
ACH-000146,-0.365410474256
ACH-000148,-0.557348701
ACH-000150,-0.847481708523
ACH-000152,-0.351227087588
ACH-000153,-0.738873483612
ACH-000159,-0.26147533351999996
ACH-000160,-0.6489590947070001
ACH-000163,-0.48915939115900003
ACH-000167,-0.6485845696060001
ACH-000168,-0.410383572769
ACH-000169,-0.516529085122
ACH-000178,-0.5748371229370001
ACH-000182,-0.496892674296
ACH-000183,-0.6657783993949999
ACH-000188,-0.9977201042910001
ACH-000189,-0.8556537050749999
ACH-000190,-0.6673997357320001
ACH-000198,-0.541946808867
ACH-000204,-0.569442234838
ACH-000206,-0.725090355568
ACH-000207,-0.700110496335
ACH-000211,-0.59533746264
ACH-000215,-0.26279004617699997
ACH-000221,-0.702180913892
ACH-000222,-0.52336844617
ACH-000223,-0.327107296112
ACH-000226,-0.509919939319
ACH-000227,-0.333747487118
ACH-000228,-0.655465153208
ACH-000231,-0.702570388228
ACH-000232,-0.5677498611899999
ACH-000233,-0.438750706789
ACH-000234,-0.34393019207
ACH-000235,-0.526548912437
ACH-000237,-0.45933837164700003
ACH-000238,-0.47952938663999994
ACH-000243,-0.5653466804
ACH-000244,-0.57414492484
ACH-000246,-0.602555655017
