,ZNRD1 (30834)
ACH-000004,-0.7357657549
ACH-000007,-1.16050347141
ACH-000009,-1.1442003461299999
ACH-000011,-1.01237645244
ACH-000012,-1.0188386733299999
ACH-000013,-1.3750913631900001
ACH-000014,-0.971406941719
ACH-000015,-0.8350638635500001
ACH-000017,-0.811372383759
ACH-000018,-0.974931777462
ACH-000019,-1.12478562932
ACH-000021,-0.45161189963299997
ACH-000022,-1.15048604958
ACH-000025,-1.00065046567
ACH-000028,-1.0252275240200002
ACH-000030,-1.04027401256
ACH-000035,-0.967590506709
ACH-000036,-1.00337759
ACH-000037,-0.61919266656
ACH-000039,-0.652490256934
ACH-000040,-1.11627633379
ACH-000041,-0.7527528870119999
ACH-000042,-0.905382842328
ACH-000045,-1.0225193853499999
ACH-000047,-0.702454906303
ACH-000052,-1.18282300239
ACH-000053,-0.993059575141
ACH-000054,-0.851688757087
ACH-000055,-0.9422419719349999
ACH-000060,-0.8239559358319999
ACH-000067,-1.08560339326
ACH-000070,-0.947342761124
ACH-000075,-1.11889189207
ACH-000078,-1.4626855261899998
ACH-000082,-0.747619208235
ACH-000085,-1.05371240487
ACH-000086,-0.8934603938079999
ACH-000087,-0.4550516968399999
ACH-000092,-1.0163331838299998
ACH-000095,-1.10449849949
ACH-000097,-1.13519949102
ACH-000098,-0.9461536964239999
ACH-000099,-1.11177467801
ACH-000108,-0.941540365344
ACH-000113,-0.853152653677
ACH-000115,-0.7219727212260001
ACH-000116,-0.522288495387
ACH-000118,-0.695629955873
ACH-000120,-0.828477246342
ACH-000123,-0.841300772356
ACH-000127,-0.8075248989589999
ACH-000128,-0.882050786666
ACH-000132,-0.45539028715499996
ACH-000133,-1.1184405179999999
ACH-000137,-0.863063963256
ACH-000138,-0.9072038901739999
ACH-000142,-0.977862031523
ACH-000143,-1.1248692822
ACH-000146,-0.8154120793549999
ACH-000148,-0.9319048346690001
ACH-000150,-1.05419263491
ACH-000152,-0.953719956844
ACH-000153,-1.2521487096200001
ACH-000159,-1.0873690413700001
ACH-000160,-0.613926525338
ACH-000163,-1.2338473773799998
ACH-000167,-0.673469726468
ACH-000168,-1.03125233193
ACH-000169,-1.19969466634
ACH-000178,-1.2496372413799999
ACH-000182,-0.760800104034
