,LENG8 (114823)
ACH-000004,-0.537112664814
ACH-000007,-0.564946149176
ACH-000009,-0.848191877149
ACH-000011,-0.808048091022
ACH-000012,-0.8286386073180001
ACH-000013,-0.9853687428710001
ACH-000014,-0.731132352606
ACH-000015,-0.813338901303
ACH-000017,-0.35066011270499997
ACH-000018,-0.515410874291
ACH-000019,-0.894642990096
ACH-000021,-0.978716173856
ACH-000022,-0.888418512366
ACH-000025,-0.6158694354290001
ACH-000028,-0.913295230151
ACH-000030,-0.8267662307379999
ACH-000035,-0.609659565675
ACH-000036,-0.7114005106290001
ACH-000037,-0.7723472695029999
ACH-000039,-0.786598488873
ACH-000040,-0.268592257161
ACH-000041,-1.0191785504200002
ACH-000042,-0.888531755644
ACH-000045,-0.336170391236
ACH-000047,-0.44089275011699997
ACH-000052,-0.61017666615
ACH-000053,-0.910054357257
ACH-000054,-0.829030941758
ACH-000055,-0.6027100280100001
ACH-000060,-0.8770305701569999
ACH-000067,-0.880788769227
ACH-000070,-0.32863835847600004
ACH-000075,-0.947590391202
ACH-000078,-0.8241316323260001
ACH-000082,-0.7902863056470001
ACH-000085,-0.46421801653000005
ACH-000086,-0.766939191828
ACH-000087,-0.6774829103309999
ACH-000092,-0.77230148227
ACH-000095,-0.8833454772220001
ACH-000097,-0.671370472955
ACH-000098,-0.878896308292
ACH-000099,-0.787978976692
ACH-000108,-0.7565575863940001
ACH-000113,-0.862358222456
ACH-000115,-0.8364241796809999
ACH-000116,-0.801920412299
ACH-000118,-0.862047001022
ACH-000120,-0.642013395727
ACH-000123,-0.749684310405
ACH-000127,-0.58692557921
ACH-000128,-0.50645848249
ACH-000132,-0.7277596060100001
ACH-000133,-0.879104959582
ACH-000137,-0.932666808235
ACH-000138,-0.931470729013
ACH-000142,-0.846942947622
ACH-000143,-0.93390476639
ACH-000146,-0.44603836197999996
ACH-000148,-0.7322961340090001
ACH-000150,-0.9243795532369999
ACH-000152,-0.858456192776
ACH-000153,-0.472908731504
ACH-000159,-0.6441208339010001
ACH-000160,-1.13619553306
ACH-000163,-0.5718898809880001
ACH-000167,-0.894750697871
ACH-000168,-0.744476182446
ACH-000169,-0.6899681439059999
ACH-000178,-0.712626971953
ACH-000182,-0.894100775728
ACH-000183,-0.867235167627
ACH-000188,-0.867366644735
ACH-000189,-0.705258353932
ACH-000190,-0.8827982946780001
ACH-000198,-0.5954326970880001
ACH-000204,-0.965519173162
ACH-000206,-0.832247464706
ACH-000207,-0.8878487197939999
ACH-000211,-0.675885772278
ACH-000215,-0.649962606517
ACH-000221,-0.8824848770020001
ACH-000222,-0.516194106443
ACH-000223,-0.56567160498
ACH-000226,-0.7040259533069999
ACH-000227,-0.38948531799999997
ACH-000228,-0.664086363178
ACH-000231,-0.664503838423
ACH-000232,-0.7047416287010001
ACH-000233,-0.7131617086319999
ACH-000234,-0.486525568132
ACH-000235,-0.773103816777
ACH-000237,-0.755077466322
ACH-000238,-0.406066788833
ACH-000243,-0.766941599958
ACH-000244,-0.6649218324530001
ACH-000246,-0.644248267553
ACH-000248,-0.6921128614319999
ACH-000250,-0.628101772037
ACH-000251,-1.16684249015
ACH-000253,-0.553187245793
ACH-000255,-0.821333588294
ACH-000256,-0.791970455392
ACH-000257,-0.789448378694
ACH-000258,-0.7103241360870001
ACH-000259,-0.8185369566419999
ACH-000260,-0.892531728391
ACH-000261,-0.6714987267170001
ACH-000262,-0.5966006132280001
ACH-000263,-0.7314771355670001
ACH-000264,-0.564908837569
ACH-000265,-0.9843999000370001
ACH-000266,-0.953924121779
ACH-000272,-0.6305934013710001
ACH-000273,-0.6333145765829999
ACH-000274,-0.661929925142
ACH-000277,-0.5748338251990001
ACH-000278,-0.6080597108429999
ACH-000279,-0.73663252234
ACH-000280,-0.588523017722
ACH-000281,-0.54785427783
ACH-000288,-0.633961982008
ACH-000291,-0.625809667301
ACH-000293,-1.06301474653
ACH-000294,-0.531404931233
ACH-000295,-0.523845563725
ACH-000296,-1.12436984661
ACH-000302,-1.01221480637
ACH-000304,-0.624933716244
ACH-000307,-0.837897560301
ACH-000308,-0.869729084542
ACH-000310,-0.7236576096080001
ACH-000311,-0.810051507119
ACH-000312,-0.864518350522
ACH-000315,-0.932942772334
ACH-000316,-0.6221072601609999
ACH-000317,-0.7224252479979999
ACH-000318,-1.0315004398
ACH-000319,-0.987216827431
ACH-000320,-0.74315307278
ACH-000322,-0.679985276584
