,PPIE (10450)
ACH-000004,-0.769175716816
ACH-000007,-0.561335842303
ACH-000009,-0.980503033229
ACH-000011,-0.909664865747
ACH-000012,-0.781478255611
ACH-000013,-0.689258326351
ACH-000014,-0.886929321296
ACH-000015,-0.836456616349
ACH-000017,-0.8594019853489999
ACH-000018,-0.747788965893
ACH-000019,-0.88670565786
ACH-000021,-0.776972356082
ACH-000022,-0.914106015818
ACH-000025,-0.738755407591
ACH-000028,-0.838240968836
ACH-000030,-0.868294043397
ACH-000035,-0.9035454417859999
ACH-000036,-0.9451053166150001
ACH-000037,-1.21594300111
ACH-000039,-0.8225206487989999
ACH-000040,-0.785592500835
ACH-000041,-0.9705260202600001
ACH-000042,-0.875442117635
ACH-000045,-0.560076842022
ACH-000047,-0.811668589493
ACH-000052,-0.8962157314920001
ACH-000053,-0.942158255417
ACH-000054,-0.715569372214
ACH-000055,-0.562007310008
ACH-000060,-1.1043275368
ACH-000067,-0.906113463686
ACH-000070,-0.698801663449
ACH-000075,-0.6287928574480001
ACH-000078,-0.6712378111120001
ACH-000082,-0.7173082153110001
ACH-000085,-0.742785468379
ACH-000086,-0.9046002726090001
ACH-000087,-0.6423565136899999
ACH-000092,-1.3703283737099998
ACH-000095,-0.785361161235
ACH-000097,-0.8634815806899999
ACH-000098,-0.863109994436
ACH-000099,-1.16485441931
ACH-000108,-0.688685987793
ACH-000113,-0.774430604908
ACH-000115,-1.1567884338799999
ACH-000116,-0.575341735885
ACH-000118,-0.7592376865639999
ACH-000120,-0.8285448104340001
ACH-000123,-0.8608819868780001
ACH-000127,-0.9832415229350001
ACH-000128,-0.850189988413
ACH-000132,-0.7563784733140001
ACH-000133,-0.6873239062809999
ACH-000137,-0.543472967061
ACH-000138,-0.763059835307
ACH-000142,-0.946572450131
ACH-000143,-0.819465188764
ACH-000146,-0.45871034982000003
ACH-000148,-0.687884636636
ACH-000150,-1.14422079506
ACH-000152,-0.84847249749
ACH-000153,-0.695829081978
ACH-000159,-0.854634080538
ACH-000160,-1.20610523334
