,SS18 (6760)
ACH-000004,0.0450826763748
ACH-000007,0.10272121663999999
ACH-000009,0.0490472729481
ACH-000011,-0.234657073396
ACH-000012,0.13343873510399998
ACH-000013,0.09911399101530001
ACH-000014,-0.136342276871
ACH-000015,0.24361838937
ACH-000017,0.058154702716800004
ACH-000018,0.141831816019
ACH-000019,-0.0594428857092
ACH-000021,0.14168307070699998
ACH-000022,0.0940584704425
ACH-000025,0.347374696307
ACH-000028,0.10947866583799999
ACH-000030,0.205333312421
ACH-000035,0.174907025406
ACH-000036,0.149356330135
ACH-000037,0.0531614126928
ACH-000039,0.546201050826
ACH-000040,-0.18807715761100002
ACH-000041,0.451828997816
ACH-000042,0.0824415440327
ACH-000045,-0.146535974263
ACH-000047,0.6730326365070001
ACH-000052,0.300273584475
ACH-000053,-0.0727718305932
ACH-000054,-0.195888491535
ACH-000055,0.0220245685915
ACH-000060,0.21443896752500002
ACH-000067,0.17096905366300003
ACH-000070,-0.0653363276014
ACH-000075,-0.048822703324999994
ACH-000078,0.368786267992
ACH-000082,-0.0192714872715
ACH-000085,-0.120787709293
ACH-000086,0.07138115623920001
ACH-000087,0.0486203578417
ACH-000092,-0.123372762084
ACH-000095,0.294262031315
ACH-000097,0.12395823806600001
ACH-000098,0.17977606035500002
ACH-000099,0.290348985958
ACH-000108,0.103689441567
ACH-000113,-0.515564242468
ACH-000115,-0.17316987201900003
ACH-000116,-0.0595204499246
ACH-000118,-0.0753672612141
ACH-000120,-0.142165976175
ACH-000123,0.156007329756
ACH-000127,0.120508574574
ACH-000128,0.08988153124230001
ACH-000132,-0.0339531571393
ACH-000133,0.027175381329600002
ACH-000137,-0.072278894314
ACH-000138,0.200903663829
ACH-000142,0.083425105507
ACH-000143,0.0795696179905
ACH-000146,-0.0068413967538899995
ACH-000148,0.0339775270443
ACH-000150,0.259968028605
ACH-000152,0.358024935712
ACH-000153,0.22244313347199998
ACH-000159,0.0622480662041
ACH-000160,0.44184173086
ACH-000163,0.055067767981
ACH-000167,0.599812623601
ACH-000168,-0.0896535617507
ACH-000169,0.0925417735109
ACH-000178,0.395653572847
ACH-000182,-0.00524856438778
ACH-000183,0.10177459715199999
ACH-000188,-0.0337668336526
ACH-000189,-0.0423008816704
ACH-000190,0.40555349772699995
ACH-000198,0.25746534375
ACH-000204,0.0800045801861
ACH-000206,-0.688931967151
ACH-000207,0.188849605454
ACH-000211,-0.17121730027600002
ACH-000215,0.0483016587039
ACH-000221,0.218468900146
ACH-000222,0.0156142168554
ACH-000223,-0.119571968389
ACH-000226,0.100064274449
ACH-000227,0.0229233034914
ACH-000228,-0.19035403566700002
ACH-000231,-0.021770117784000002
ACH-000232,0.16716547186
ACH-000233,-0.222117314468
ACH-000234,0.0689754875864
ACH-000235,0.33668039942
ACH-000237,0.386078932963
ACH-000238,0.19839443465999998
ACH-000243,0.179505708456
ACH-000244,0.00947371158895
ACH-000246,0.201629579443
ACH-000248,-0.0511676608529
ACH-000250,0.15472708975299998
ACH-000251,0.1308607216
ACH-000253,-0.0178571189212
ACH-000255,-0.09346034063969999
ACH-000256,-0.059863645798899995
ACH-000257,-0.11824283052899999
ACH-000258,-0.262930616297
ACH-000259,0.124697602497
ACH-000260,0.20412794481
ACH-000261,0.131151491971
