,PGM3 (5238)
ACH-000004,-0.368572731447
ACH-000007,-0.377818910587
ACH-000009,-0.0959064848049
ACH-000011,-0.468593966633
ACH-000012,-0.10115504041300001
ACH-000013,0.120137010378
ACH-000014,-0.621099769449
ACH-000015,0.039806832911099994
ACH-000017,-0.08457600572660001
ACH-000018,-0.45228232651600003
ACH-000019,-0.08922234828669999
ACH-000021,-0.249463640114
ACH-000022,0.134633523689
ACH-000025,0.0167340732746
ACH-000028,-0.586049415802
ACH-000030,-0.68691598309
ACH-000035,-0.34841414548699995
ACH-000036,-0.06279899300280001
ACH-000037,-0.0116397148703
ACH-000039,-0.27651498925900003
ACH-000040,-0.11874832293
ACH-000041,0.04839867499390001
ACH-000042,-0.898592071224
ACH-000045,-0.643396238254
ACH-000047,-0.888393233144
ACH-000052,-0.0977211834869
ACH-000053,-0.491849085336
ACH-000054,0.12907267667400002
ACH-000055,-0.42879020572099996
ACH-000060,-0.282556977042
ACH-000067,-0.0217000869669
ACH-000070,-0.539940603107
ACH-000075,-0.0648989375928
ACH-000078,0.147452722841
ACH-000082,-0.048369059729800004
ACH-000085,-0.25610134134199997
ACH-000086,0.126597550228
ACH-000087,-0.43933329978200003
ACH-000092,-0.0023124152728
ACH-000095,0.09361870421690001
ACH-000097,-0.44434576488899996
ACH-000098,0.0854330897411
ACH-000099,-0.449198266531
ACH-000108,-0.7607281856720001
ACH-000113,-0.41547484649099997
ACH-000115,-0.122331162068
ACH-000116,0.000853294020679
ACH-000118,-0.933274847332
ACH-000120,-0.163269885533
ACH-000123,0.214573880852
ACH-000127,-0.166177041463
ACH-000128,-0.0447637643276
ACH-000132,0.04777570514380001
ACH-000133,-0.008962351783669999
ACH-000137,-0.047849167046300004
ACH-000138,-0.8796726018790001
ACH-000142,-0.139511781632
ACH-000143,0.206499168903
ACH-000146,-0.0569426893722
ACH-000148,-0.0694113502486
ACH-000150,0.17830823366300003
ACH-000152,-0.141997330338
ACH-000153,-0.276613686952
ACH-000159,-0.132339130523
ACH-000160,-0.173088622526
ACH-000163,0.012832503168399999
ACH-000167,-0.265976632519
ACH-000168,-0.616307230857
ACH-000169,-0.163882159773
ACH-000178,-0.636294003223
ACH-000182,-0.138031070674
ACH-000183,-0.9088424992049999
ACH-000188,-0.33438875285799996
ACH-000189,-0.616434923027
ACH-000190,0.00783932671517
ACH-000198,-0.538796420933
ACH-000204,-0.7784173396070001
ACH-000206,-0.158718197624
ACH-000207,-0.715218655534
ACH-000211,0.09941350548039998
ACH-000215,0.132437559571
ACH-000221,0.056056189938
ACH-000222,-1.0267070600700001
ACH-000223,-0.248099674463
ACH-000226,-0.43297046235799996
ACH-000227,-0.19444345652399997
ACH-000228,-0.00242408344668
ACH-000231,0.100620317785
ACH-000232,0.23667020673
ACH-000233,-0.6759704927879999
ACH-000234,-0.689982696645
ACH-000235,-0.939841319492
ACH-000237,0.014719533922600002
ACH-000238,0.0059591593782
ACH-000243,-0.371870731384
ACH-000244,0.0255335116049
ACH-000246,-0.525576026184
ACH-000248,-0.049806831089000005
ACH-000250,-0.868089977163
ACH-000251,-0.5253380972680001
ACH-000253,-0.379177801967
ACH-000255,0.049932900054500004
ACH-000256,0.0983242100035
ACH-000257,-0.246099038453
ACH-000258,-0.287341534791
ACH-000259,-0.719707649147
ACH-000260,-0.057307266127199996
ACH-000261,0.013740462082
ACH-000262,-0.72689397963
ACH-000263,-0.47710901552
ACH-000264,-0.0621288303974
ACH-000265,-0.0616173393419
ACH-000266,-0.428965197748
ACH-000272,-0.6714434316660001
ACH-000273,-0.32945215163
ACH-000274,-0.499708342368
ACH-000277,-0.150503872695
ACH-000278,-0.442883801502
ACH-000279,-0.645304535497
