,MORF4L1 (10933)
ACH-000004,-0.177628566513
ACH-000007,-0.220200190537
ACH-000009,-0.0015073313160599998
ACH-000011,0.052673575660499995
ACH-000012,0.179525799392
ACH-000013,-0.0627755286221
ACH-000014,-0.5446244825450001
ACH-000015,-0.052595336043
ACH-000017,-0.149743078733
ACH-000018,-0.16378130691
ACH-000019,-0.40324279470200003
ACH-000021,-0.118745071877
ACH-000022,-0.11645662904000001
ACH-000025,-0.243968633311
ACH-000028,-0.20719136340999997
ACH-000030,-0.0539360935459
ACH-000035,-0.224030476802
ACH-000036,-0.348920115397
ACH-000037,-0.19697667280900003
ACH-000039,0.07196729257210001
ACH-000040,-0.15175077997000003
ACH-000041,0.192597385209
ACH-000042,-0.0861772018185
ACH-000045,-0.24777240814100002
ACH-000047,-0.360047016447
ACH-000052,0.216281310052
ACH-000053,-0.206788589122
ACH-000054,-0.336631371801
ACH-000055,-0.423128944362
ACH-000060,0.0472290287067
ACH-000067,0.131245618519
ACH-000070,-0.470689105027
ACH-000075,-0.21479565234099998
ACH-000078,-0.103262712242
ACH-000082,-0.146591329731
ACH-000085,-0.0397319871709
ACH-000086,-0.30217949511799996
ACH-000087,-0.16236311177999999
ACH-000092,-0.0426589682791
ACH-000095,-0.0682663217526
ACH-000097,0.00546000967482
ACH-000098,0.00326199702601
ACH-000099,-0.13295059714500002
ACH-000108,-0.0956676293737
ACH-000113,-0.579039281549
ACH-000115,-0.327794847699
ACH-000116,-0.052432384654099995
ACH-000118,-0.090249222129
ACH-000120,-0.395317583199
ACH-000123,-0.252519481009
ACH-000127,-0.0308428869759
ACH-000128,-0.125359742228
ACH-000132,-0.323960694459
ACH-000133,-0.213251417355
ACH-000137,0.221226658213
ACH-000138,-0.156787146742
ACH-000142,-0.029772110405599995
ACH-000143,0.159140060077
ACH-000146,-0.20099595749200003
ACH-000148,-0.11915955290899999
ACH-000150,0.20348198510600002
ACH-000152,-0.157827837553
ACH-000153,-0.343584672512
ACH-000159,-0.08567651724130002
ACH-000160,0.272121893521
ACH-000163,0.020850889143
ACH-000167,0.7224024471439999
ACH-000168,0.21083077553500001
ACH-000169,-0.18878416135200002
ACH-000178,-0.35183840226999996
ACH-000182,-0.111867203472
ACH-000183,-0.423849841204
ACH-000188,0.09226459423360002
ACH-000189,-0.21895801121800001
ACH-000190,0.379081243385
ACH-000198,-0.649457213931
ACH-000204,-0.043392292418300005
ACH-000206,-0.115045352817
ACH-000207,-0.13040413326
ACH-000211,-0.14383099307
ACH-000215,-0.044601797711300004
ACH-000221,-0.033334778991
ACH-000222,-0.101856689222
ACH-000223,-0.22018945534099998
ACH-000226,-0.308595900397
ACH-000227,-0.38227698749300004
ACH-000228,0.100185562545
ACH-000231,0.00392094596515
ACH-000232,-0.45437790207199996
ACH-000233,-0.28817846306899997
ACH-000234,-0.0525682068622
ACH-000235,-0.0862063021793
ACH-000237,-0.26248803880399996
ACH-000238,-0.12328651667000001
ACH-000243,-0.0763016139724
ACH-000244,-0.023550441859999997
ACH-000246,0.235877211672
ACH-000248,-0.305225119267
ACH-000250,-0.197056974789
ACH-000251,0.08907129727150001
ACH-000253,-0.298875195737
ACH-000255,0.104811199619
ACH-000256,0.035405590504300005
ACH-000257,-0.0648315717444
ACH-000258,-0.50819940373
ACH-000259,-0.159405977457
ACH-000260,-0.242076219489
ACH-000261,-0.030340843998699997
ACH-000262,0.122610699823
ACH-000263,-0.345843998106
ACH-000264,-0.11426614888900001
ACH-000265,-0.239993892286
ACH-000266,-0.39587142956999993
ACH-000272,0.142176398033
ACH-000273,0.0311448590719
ACH-000274,-0.49254236541900004
ACH-000277,0.283566913116
ACH-000278,-0.21962179874600002
ACH-000279,-0.11587883904200001
ACH-000280,-0.142584106426
ACH-000281,-0.199810136831
ACH-000288,-0.0344860565711
ACH-000291,-0.053082714418
ACH-000293,0.15295316308499998
ACH-000294,0.0936853205375
ACH-000295,-0.147427554777
ACH-000296,0.0559540267905
ACH-000302,-0.111123216535
ACH-000304,-0.359635696121
ACH-000307,-0.127335137124
ACH-000308,-0.299536359868
ACH-000310,-0.032685968456000004
ACH-000311,0.005366111824290001
ACH-000312,0.0334766547624
ACH-000315,-0.5977120685899999
ACH-000316,-0.176000938638
ACH-000317,0.0942242305934
ACH-000318,0.132404734754
ACH-000319,0.0303633035037
ACH-000320,0.24068793878800002
ACH-000322,-0.315212372867
ACH-000323,-0.327069673409
ACH-000324,-0.13795237369000002
ACH-000329,-0.10080211539799999
ACH-000330,0.138722290391
ACH-000331,0.108945969161
ACH-000332,-0.026398237714400002
ACH-000334,-0.19554007311000002
ACH-000335,-0.0837108655602
ACH-000336,-0.34967781373999995
ACH-000337,-0.48764906440399997
ACH-000339,0.218611536236
ACH-000341,-0.0217797575078
ACH-000348,-0.08489934341
ACH-000350,-0.00691660187654
ACH-000352,-0.0691784104127
ACH-000356,-0.320295191944
ACH-000361,-0.629673750622
ACH-000362,-0.173325197029
ACH-000363,-0.34400444449100004
ACH-000364,-0.0816302833457
ACH-000365,-0.207621370538
ACH-000366,-0.484659723556
ACH-000368,-0.261620477771
ACH-000374,0.28895747405
ACH-000375,-0.054728203023300004
ACH-000376,-0.272689833447
ACH-000381,0.18217413741
ACH-000383,-0.145203190721
ACH-000387,-0.121911871491
ACH-000389,-0.19398612030200002
ACH-000390,-0.06420715378309999
ACH-000393,-0.10323811281300001
ACH-000395,-0.07572397213269999
ACH-000397,-0.19330091234299998
ACH-000401,-0.27000228859299996
ACH-000402,0.168071502857
ACH-000403,-0.2229022226
ACH-000404,0.21998465670899997
ACH-000406,0.112627666326
ACH-000407,-0.27273033389
ACH-000408,-0.164009131306
ACH-000410,-0.19349888968600001
ACH-000411,-0.11465278193
ACH-000414,-0.187831611987
ACH-000415,-0.08368477808389999
ACH-000416,-0.07717198889060001
ACH-000420,-0.189024930625
ACH-000421,-0.187755512699
ACH-000424,-0.266955425199
ACH-000425,-0.214921561485
ACH-000426,-0.799693976233
ACH-000427,0.158860066668
ACH-000433,-0.0908721144682
ACH-000436,-0.642402029253
ACH-000444,-0.06953443550430001
ACH-000445,-0.386499788193
ACH-000448,-0.0476549082957
ACH-000450,-0.10177447359899999
ACH-000452,-0.18196513471099998
ACH-000454,0.00936642607687
ACH-000458,-0.481605986808
ACH-000459,-0.436592551765
ACH-000460,-0.202980822093
