,GIPC3 (126326)
ACH-000004,-0.336231674428
ACH-000007,-0.190476818495
ACH-000009,-0.135080605914
ACH-000011,-0.0406099832215
ACH-000012,-0.24954707833
ACH-000013,-0.320981750315
ACH-000014,-0.0246568027227
ACH-000015,-0.281280162489
ACH-000017,-0.24443228853799998
ACH-000018,-0.184306294389
ACH-000019,-0.304065311998
ACH-000021,-0.163029942271
ACH-000022,-0.214648457318
ACH-000025,-0.33915228365199995
ACH-000028,-0.18294711141199999
ACH-000030,-0.21897026563000002
ACH-000035,-0.22070606511399998
ACH-000036,-0.151885597757
ACH-000037,-0.0507674392549
ACH-000039,-0.382904960232
ACH-000040,-0.284497199648
ACH-000041,-0.13586969739399998
ACH-000042,-0.17234162223299998
ACH-000045,-0.44661785209700006
ACH-000047,-0.184308653317
ACH-000052,-0.140181846613
ACH-000053,-0.270219598789
ACH-000054,-0.09856104361439999
ACH-000055,-0.470431863402
ACH-000060,-0.0551301820672
ACH-000067,-0.030687577777200003
ACH-000070,-0.24799302903999998
ACH-000075,-0.24306347090999997
ACH-000078,-0.0374152083983
ACH-000082,-0.09470187247010001
ACH-000085,-0.36705560219899996
ACH-000086,-0.25612285937
ACH-000087,-0.011414479023200001
ACH-000092,-0.139220407243
ACH-000095,-0.31451632712
ACH-000097,-0.05815340035069999
ACH-000098,-0.332222946897
ACH-000099,-0.22133119643500002
ACH-000108,-0.3003299665
ACH-000113,-0.366041363539
ACH-000115,-0.375305728328
ACH-000116,-0.24258118982700003
ACH-000118,-0.10667895718800001
ACH-000120,0.0261254274602
ACH-000123,-0.07976700177410001
ACH-000127,-0.26999888887699997
ACH-000128,-0.207971504043
ACH-000132,-0.139497284548
ACH-000133,-0.114919059641
ACH-000137,-0.186725547863
ACH-000138,-0.289895766559
ACH-000142,-0.296310835291
ACH-000143,-0.15320362629
ACH-000146,-0.342725745029
ACH-000148,-0.20307250894499998
ACH-000150,-0.211633576049
ACH-000152,-0.08720672257710001
ACH-000153,-0.313927138805
ACH-000159,-0.107058482498
ACH-000160,0.0909992828305
ACH-000163,-0.19212322818100003
ACH-000167,-0.191338994993
