,APC (324)
ACH-000004,-0.8745973474869999
ACH-000007,-0.22698583601999997
ACH-000009,-0.285925910812
ACH-000011,-0.31275274706
ACH-000012,-0.448105933142
ACH-000013,-0.82679188974
ACH-000014,-0.509984751279
ACH-000015,-0.55081945679
ACH-000017,-1.11258283607
ACH-000018,-0.519635350065
ACH-000019,-0.379758849534
ACH-000021,-0.5091939202269999
ACH-000022,-0.460457385681
ACH-000025,-0.370941458078
ACH-000028,-0.6453375716040001
ACH-000030,-0.498956297086
ACH-000035,-0.558147776245
ACH-000036,-0.591603970815
ACH-000037,-0.562588696836
ACH-000039,-0.7504080448170001
ACH-000040,-0.489542034137
ACH-000041,-0.296413848641
ACH-000042,0.19973167933299998
ACH-000045,-0.32181566434000003
ACH-000047,-0.638842153063
ACH-000052,-0.147908075248
ACH-000053,-0.142961524502
ACH-000054,-0.444361534803
ACH-000055,-0.647716816836
ACH-000060,0.175990360691
ACH-000067,-0.462301663481
ACH-000070,-0.6570957321500001
ACH-000075,0.0735889017113
ACH-000078,-0.652520770206
ACH-000082,-0.9509504723190001
ACH-000085,-1.02170374967
ACH-000086,-0.467354183756
ACH-000087,-0.28592929683699997
ACH-000092,-0.625603487255
ACH-000095,-0.613992871857
ACH-000097,-0.45591711885799996
ACH-000098,-0.454396128936
ACH-000099,-0.547847433824
ACH-000108,-0.39943305625
ACH-000113,-0.29929686569
ACH-000115,-1.42145050146
ACH-000116,-0.8968534816060001
ACH-000118,-0.145974493008
ACH-000120,-0.8162173636390001
ACH-000123,-0.0299063758091
ACH-000127,-0.530655178885
ACH-000128,-0.492412150175
ACH-000132,-1.05166457799
ACH-000133,-0.38934595024400004
ACH-000137,-1.0121803870000001
ACH-000138,-0.236285487835
ACH-000142,-0.430895457914
ACH-000143,-0.21032798920899998
ACH-000146,-0.351880193581
ACH-000148,-0.35522977510399995
ACH-000150,-0.185827720247
ACH-000152,-0.483851751557
ACH-000153,-0.8815566499259999
ACH-000159,-0.398011752268
ACH-000160,-0.324229558601
ACH-000163,-0.467662378754
ACH-000167,-0.561731671432
ACH-000168,-0.442377541849
ACH-000169,-0.468369539436
ACH-000178,-0.729905067338
ACH-000182,-0.680426714279
ACH-000183,-0.5956191156130001
ACH-000188,-0.561595693006
ACH-000189,-0.0874487563312
ACH-000190,-0.545851300256
ACH-000198,-0.33390596300299996
ACH-000204,-0.764659607819
ACH-000206,-0.269064991891
ACH-000207,-0.182477138745
ACH-000211,-0.516207838126
ACH-000215,-0.343657009929
ACH-000221,-0.12058803396500001
ACH-000222,-0.528604886859
ACH-000223,-0.285467676944
ACH-000226,-0.45465129487899997
ACH-000227,-0.257938307063
ACH-000228,-0.307658999592
ACH-000231,-0.39768562951499997
ACH-000232,-0.5658497072909999
ACH-000233,-0.101422434068
ACH-000234,-0.54174837803
ACH-000235,-0.32001002385
ACH-000237,-0.7741427757439999
ACH-000238,-0.537736812923
ACH-000243,-0.763272698467
ACH-000244,-0.48782041944399995
ACH-000246,-0.43957068933700005
ACH-000248,-0.6667570403540001
ACH-000250,-0.389496749637
ACH-000251,-0.4939491087
ACH-000253,-0.45974724366400005
ACH-000255,0.159970457683
ACH-000256,-0.40356379206
ACH-000257,-0.40909359462899997
ACH-000258,0.252401057549
ACH-000259,-0.885324851995
ACH-000260,-0.43315253470700005
ACH-000261,-0.469513255993
ACH-000262,-0.2823445099
ACH-000263,-0.759444482992
ACH-000264,-0.79199974259
ACH-000265,-0.431502515361
ACH-000266,-0.0818045900863
ACH-000272,-0.502032813075
ACH-000273,-0.379539324964
ACH-000274,-0.354330403447
ACH-000277,-0.750030769235
ACH-000278,-0.945243154894
ACH-000279,-0.550922025712
ACH-000280,-0.298667402433
ACH-000281,-0.469323518116
ACH-000288,-0.354784934561
ACH-000291,-0.327270999427
ACH-000293,-0.5352443884579999
ACH-000294,-0.0950463369981
ACH-000295,-0.275641972954
ACH-000296,-1.11193603113
ACH-000302,-0.793686540872
ACH-000304,-0.564176906394
ACH-000307,-0.524611943132
ACH-000308,-0.420625859222
ACH-000310,-0.476353807246
ACH-000311,-0.27448090755
ACH-000312,-0.47948731950400003
ACH-000315,-0.19894596320500002
ACH-000316,-0.21605936251999996
ACH-000317,-0.5393258902929999
ACH-000318,-0.411731147706
ACH-000319,-0.6922701603479999
ACH-000320,-0.590009309742
ACH-000322,-0.652524502833
ACH-000323,-0.750339821885
ACH-000324,-0.729902735791
ACH-000329,-0.38508233609700004
ACH-000330,-1.02997930124
ACH-000331,-0.46212646041
ACH-000332,-0.437514932236
ACH-000334,-0.201908371094
ACH-000335,-0.565610059413
ACH-000336,-0.254468734078
ACH-000337,-0.5615899938000001
ACH-000339,-0.785540067446
ACH-000341,-0.588234033258
ACH-000348,-0.949007398492
ACH-000350,-0.6903066036130001
ACH-000352,-0.36873071607
ACH-000356,-0.8058130248019999
ACH-000361,-0.39308343815499996
ACH-000362,-0.315866254751
ACH-000363,-0.49304916791599995
ACH-000364,-0.604355752466
ACH-000365,-0.776015643309
ACH-000366,-0.590821947596
ACH-000368,-0.567064621402
ACH-000374,-0.563497280071
ACH-000375,-0.47659591287299996
ACH-000376,-0.437588587106
ACH-000381,-0.688401810694
ACH-000383,-0.848939608081
ACH-000387,-0.8595405675309999
ACH-000389,-0.37669165570200003
ACH-000390,-0.130295319658
ACH-000393,-0.527389445044
ACH-000395,-0.698723655907
ACH-000397,-0.43943461413199997
ACH-000401,-0.759401215344
ACH-000402,-0.5062290739190001
ACH-000403,-0.385753732891
ACH-000404,0.112182922853
ACH-000406,-0.206012189641
ACH-000407,-0.687938968415
ACH-000408,-0.48383073026
ACH-000410,-0.523350954644
ACH-000411,-0.463562422923
ACH-000414,-0.574951927418
ACH-000415,-0.480293785746
