,S1PR2 (9294)
ACH-000004,-0.12831061913699998
ACH-000007,0.22708365161999997
ACH-000009,0.0955694213734
ACH-000011,0.165465280328
ACH-000012,0.0753727787847
ACH-000013,-0.015489750660700002
ACH-000014,0.0460149932766
ACH-000015,0.0483433290981
ACH-000017,0.127050708126
ACH-000018,0.07329246008500001
ACH-000019,0.10480286416899999
ACH-000021,0.058545762637900005
ACH-000022,0.10896933816400001
ACH-000025,0.0008806339445189999
ACH-000028,-0.0201142703865
ACH-000030,-0.034918569569300006
ACH-000035,0.044376614193699995
ACH-000036,0.0264116569715
ACH-000037,0.257468583949
ACH-000039,0.0920692650158
ACH-000040,0.11178505546800001
ACH-000041,-0.039043440446
ACH-000042,0.164771350599
ACH-000045,0.119297376328
ACH-000047,0.0664000944803
ACH-000052,0.0530524004356
ACH-000053,0.027434682138
ACH-000054,0.0951362059983
ACH-000055,0.24124266121100002
ACH-000060,0.0619092254918
ACH-000067,0.140012518304
ACH-000070,0.0425445657405
ACH-000075,0.316649497226
ACH-000078,0.170893895948
ACH-000082,0.134174742461
ACH-000085,0.247689577504
ACH-000086,0.209341577932
ACH-000087,-0.131921225182
ACH-000092,0.010074162532
ACH-000095,-0.0633157818885
ACH-000097,0.0142195221366
ACH-000098,-0.061814841136600004
ACH-000099,0.015651868120899998
ACH-000108,0.0792090952623
ACH-000113,0.08645370035420001
ACH-000115,-0.10438427642100001
ACH-000116,-0.00218858602173
ACH-000118,0.0626622146394
ACH-000120,-0.125471290611
ACH-000123,0.060288333995400005
ACH-000127,-0.0533542106862
ACH-000128,0.0553679855028
ACH-000132,0.101755829178
ACH-000133,0.21001291775199998
ACH-000137,-0.006328406931760001
ACH-000138,-0.011915155628299999
ACH-000142,0.0736208025683
ACH-000143,-0.131911752606
ACH-000146,0.0540022537546
ACH-000148,0.05357720692009999
ACH-000150,0.09066520670910001
ACH-000152,0.175332292493
ACH-000153,-0.0151738400553
ACH-000159,0.131612829635
