,BAP1 (8314)
ACH-000004,-0.666467376387
ACH-000007,-0.917611135949
ACH-000009,-0.634918657053
ACH-000011,-0.869070721622
ACH-000012,-0.914513961002
ACH-000013,-0.802856979589
ACH-000014,-0.652009678421
ACH-000015,-0.43511687988700004
ACH-000017,-0.9544959065790001
ACH-000018,-0.79239950561
ACH-000019,-0.614391744179
ACH-000021,-0.9874418398899999
ACH-000022,-0.886807548761
ACH-000025,-0.636274115756
ACH-000028,-1.28518350969
ACH-000030,-0.359686932206
ACH-000035,-0.6807025145640001
ACH-000036,-0.862503618405
ACH-000037,-0.541837457432
ACH-000039,-0.607128287118
ACH-000040,-0.734986621927
ACH-000041,-0.698539303387
ACH-000042,-0.9046188964149999
ACH-000045,-1.1674088542399998
ACH-000047,-0.8906757207089999
ACH-000052,-0.873974414973
ACH-000053,-1.08230611811
ACH-000054,-0.7119257901899999
ACH-000055,-0.175520091721
ACH-000060,-0.86352253641
ACH-000067,-0.8119206271160001
ACH-000070,-0.817758965093
ACH-000075,-0.6456498496540001
ACH-000078,-0.42760085557800004
ACH-000082,-0.276885425904
ACH-000085,-0.27457100228799997
ACH-000086,-0.631088759046
ACH-000087,-0.989975053589
ACH-000092,-0.196242111916
ACH-000095,-0.656326773358
ACH-000097,-0.7212193941159999
ACH-000098,-0.7241019258140001
ACH-000099,-0.8572049821340001
ACH-000108,-1.18434540843
ACH-000113,-0.8606391953210001
ACH-000115,-0.401452148463
ACH-000116,-0.615956996089
ACH-000118,-0.6838313558820001
ACH-000120,0.34442790716
ACH-000123,-0.820241636608
ACH-000127,-0.674291497745
ACH-000128,-0.717663638513
ACH-000132,-0.32575270672400003
ACH-000133,-0.662490339934
ACH-000137,-0.28182946706399997
ACH-000138,-0.874676517972
ACH-000142,-0.545417463231
ACH-000143,-0.741498067666
ACH-000146,-1.0063059590999999
ACH-000148,-0.58653406473
ACH-000150,-0.822943646919
ACH-000152,-0.9164792944269999
ACH-000153,-0.8675982090000001
ACH-000159,-0.24368686975499998
ACH-000160,0.12358286388699999
ACH-000163,-0.6728599671100001
ACH-000167,-0.035520200194699994
ACH-000168,-0.660085957485
ACH-000169,-0.63348690409
ACH-000178,-0.8558537939
ACH-000182,-0.231478949604
ACH-000183,-0.8094378095270001
ACH-000188,-0.926637449479
ACH-000189,-0.307415523233
ACH-000190,-0.19740542438099998
ACH-000198,0.5327517100320001
ACH-000204,-0.433985147398
ACH-000206,-0.6507423624090001
ACH-000207,-0.664414027507
ACH-000211,-0.611788839035
ACH-000215,-0.629602071857
ACH-000221,-0.49749595767099997
ACH-000222,-0.5219112809359999
ACH-000223,-0.256439797126
ACH-000226,-0.7269893981810001
ACH-000227,-0.507678985947
ACH-000228,-0.534724827702
ACH-000231,-0.553633414319
ACH-000232,-0.814610583989
ACH-000233,-1.03111086624
ACH-000234,-0.5513166866120001
ACH-000235,-0.576728868895
ACH-000237,-0.6732105872290001
ACH-000238,-0.253844200217
ACH-000243,-0.685397673803
ACH-000244,-0.9838364968209999
ACH-000246,-0.301111927493
ACH-000248,-0.999671940254
ACH-000250,-0.225714367391
ACH-000251,-0.39725848223300003
ACH-000253,-0.497536987807
ACH-000255,-0.8155492858329999
ACH-000256,-0.662684009703
ACH-000257,-0.529531493583
ACH-000258,-1.10517654173
ACH-000259,-0.49323240162
ACH-000260,-0.744793397439
ACH-000261,-0.604595058018
ACH-000262,-0.912198864139
ACH-000263,-0.9898557810780001
ACH-000264,-0.66236868029
ACH-000265,-0.9416270926289999
ACH-000266,-0.687823155388
ACH-000272,-0.840623970953
ACH-000273,-0.961917777238
ACH-000274,-0.458830934942
ACH-000277,-1.1200961029799998
ACH-000278,-0.849207753229
ACH-000279,-0.914538368234
ACH-000280,-0.5315018930650001
ACH-000281,-1.21109585604
ACH-000288,-0.973413529335
ACH-000291,-0.8588714938950001
ACH-000293,-0.722511316452
ACH-000294,-0.8460608961380001
ACH-000295,-0.835725947683
ACH-000296,-1.35304748322
ACH-000302,-0.971723036653
ACH-000304,-0.49593087015
ACH-000307,-1.11320417569
ACH-000308,-0.796944039488
ACH-000310,-0.37865132864699996
ACH-000311,-0.815736308406
ACH-000312,-0.477972894287
ACH-000315,-0.7375085390080001
ACH-000316,-0.712924752003
ACH-000317,-0.441376512725
ACH-000318,-0.474389594413
ACH-000319,-0.448060195246
ACH-000320,-0.45519895642999997
ACH-000322,-0.779957931573
ACH-000323,-0.498217671752
ACH-000324,-0.474658684286
ACH-000329,-0.789414163361
ACH-000330,-0.779708836451
ACH-000331,-0.0498564652053
ACH-000332,-0.600470466871
ACH-000334,-0.031483367351099995
ACH-000335,-0.6963118095640001
ACH-000336,-0.44993308527099996
ACH-000337,-0.516165011482
ACH-000339,-0.931351884111
ACH-000341,-0.177996230764
ACH-000348,-0.34535544037199994
ACH-000350,-1.05494987366
ACH-000352,-1.38377686262
ACH-000356,-0.718277411415
ACH-000361,-0.600232825576
ACH-000362,-0.7632328308480001
ACH-000363,-0.450120958888
ACH-000364,-0.39144273858999995
ACH-000365,-0.926594867845
ACH-000366,-0.385142401245
ACH-000368,-0.511641880299
ACH-000374,-0.8986303097249999
ACH-000375,-0.588576599733
ACH-000376,-0.6381325442920001
ACH-000381,-0.719451326927
ACH-000383,-0.40898552163400004
ACH-000387,-1.08129810451
ACH-000389,-1.01169406321
ACH-000390,-0.48145207387100003
ACH-000393,-0.992269750642
ACH-000395,-1.0294779038500002
ACH-000397,-1.01277008191
