,KIAA1211L (343990)
ACH-000004,-0.22321574402199998
ACH-000007,0.0091567453226
ACH-000009,-0.332866617835
ACH-000011,-0.211052804728
ACH-000012,-0.17793530128600002
ACH-000013,-0.39961231847199996
ACH-000014,-0.319087108214
ACH-000015,-0.392883976594
ACH-000017,-0.138196524474
ACH-000018,-0.30412078256999997
ACH-000019,-0.436238497773
ACH-000021,0.013560663879899999
ACH-000022,-0.315041019868
ACH-000025,-0.104251155766
ACH-000028,-0.292301416653
ACH-000030,-0.335643244407
ACH-000035,-0.431516006459
ACH-000036,-0.443994514536
ACH-000037,-0.477383279566
ACH-000039,-0.224670150178
ACH-000040,-0.119361089368
ACH-000041,-0.165965298891
ACH-000042,-0.0956799699357
ACH-000045,-0.267028310318
ACH-000047,-0.204313466805
ACH-000052,-0.5191980250930001
ACH-000053,-0.374078039553
ACH-000054,-0.24820805785500002
ACH-000055,-0.0650565783104
ACH-000060,-0.249605171461
ACH-000067,-0.193568097453
ACH-000070,-0.509067511225
ACH-000075,-0.359402725533
ACH-000078,-0.229617646123
ACH-000082,-0.20297278378800002
ACH-000085,-0.36346214350699996
ACH-000086,-0.44445882522
ACH-000087,-0.375714758248
ACH-000092,-0.507642587804
ACH-000095,-0.409923798916
ACH-000097,-0.13128116087400002
ACH-000098,-0.497504021967
ACH-000099,-0.249538160463
ACH-000108,-0.04903401038869999
ACH-000113,-0.308108597808
ACH-000115,-0.09518193147389999
ACH-000116,-0.22172221319000002
ACH-000118,-0.270686930482
ACH-000120,-0.403646971451
ACH-000123,-0.399486500811
ACH-000127,-0.216939147609
ACH-000128,-0.47668908981299996
ACH-000132,-0.34798253135799995
ACH-000133,-0.399976698016
ACH-000137,-0.493001487858
ACH-000138,-0.146755936114
ACH-000142,-0.183557696136
ACH-000143,-0.401206362435
ACH-000146,-0.306756642861
ACH-000148,-0.33464041292
ACH-000150,-0.159280550389
ACH-000152,-0.365281336635
ACH-000153,0.196343699718
ACH-000159,-0.347119880431
ACH-000160,-0.245109117333
ACH-000163,-0.39340379271
ACH-000167,-0.28564900337099997
ACH-000168,-0.349998061994
ACH-000169,-0.237199390475
ACH-000178,0.0740438384003
ACH-000182,-0.20931657963599998
ACH-000183,-0.323619912258
ACH-000188,-0.244745345673
ACH-000189,0.026597826794
ACH-000190,-0.313064536397
ACH-000198,-0.20566569513799998
ACH-000204,-0.471246952538
ACH-000206,-0.100871071328
ACH-000207,-0.239428509979
ACH-000211,-0.35878630027900005
ACH-000215,-0.261414767181
ACH-000221,-0.367276000335
ACH-000222,-0.22490051079300002
ACH-000223,-0.377565798284
ACH-000226,-0.24195872038000002
ACH-000227,-0.284499874491
ACH-000228,-0.31416203087
ACH-000231,-0.25994969001999996
ACH-000232,-0.37461873767399995
ACH-000233,-0.351225075553
ACH-000234,-0.313972417278
ACH-000235,-0.20935318991799998
ACH-000237,-0.207075109492
ACH-000238,-0.0128645780669
ACH-000243,-0.15924560567600002
ACH-000244,-0.197227546228
ACH-000246,-0.173200761034
ACH-000248,-0.34956567119099996
ACH-000250,-0.37722052225599995
ACH-000251,-0.16152907119999999
ACH-000253,-0.23656112731400003
ACH-000255,-0.569252240623
ACH-000256,-0.244312111023
ACH-000257,-0.185723297469
ACH-000258,-0.39538622740199997
ACH-000259,-0.12140446962099999
ACH-000260,-0.238009937908
ACH-000261,-0.319157098112
ACH-000262,-0.28910703536800003
ACH-000263,-0.012795555578600001
ACH-000264,-0.240419878656
ACH-000265,-0.264240953436
ACH-000266,-0.0337164810684
ACH-000272,-0.396154514947
ACH-000273,-0.225885482522
ACH-000274,-0.323202521575
ACH-000277,-0.125300700996
ACH-000278,-0.0689322755568
ACH-000279,-0.382875377671
ACH-000280,-0.191410850462
ACH-000281,-0.23835653778299998
ACH-000288,-0.260716392031
ACH-000291,-0.362103191334
ACH-000293,-0.341923322112
ACH-000294,-0.25389759062899997
ACH-000295,-0.40116604084799995
ACH-000296,-0.22422396471500003
ACH-000302,-0.348653258043
ACH-000304,-0.6465600760970001
ACH-000307,-0.326770720958
ACH-000308,-0.40260034963799995
ACH-000310,-0.376249141959
ACH-000311,-0.149916603229
ACH-000312,-0.24707286750799998
ACH-000315,-0.41150290147
ACH-000316,-0.445438856209
ACH-000317,-0.35316166732
ACH-000318,-0.33542817161
ACH-000319,-0.368605903995
ACH-000320,-0.14966426415
ACH-000322,-0.19564183141600003
ACH-000323,-0.12366735330499999
ACH-000324,-0.33691616438199995
ACH-000329,-0.487730954688
ACH-000330,-0.244177481895
ACH-000331,-0.369646141178
ACH-000332,-0.074756618703
ACH-000334,-0.304636508385
ACH-000335,-0.488626252037
ACH-000336,-0.362371023405
ACH-000337,-0.33436516476399997
ACH-000339,-0.412509020611
ACH-000341,-0.298760251972
ACH-000348,-0.273787101924
ACH-000350,0.07872251540780001
ACH-000352,-0.10452210291200001
ACH-000356,-0.24853193785
ACH-000361,-0.19075671142099998
ACH-000362,-0.29426962149999997
ACH-000363,-0.0524692965184
ACH-000364,-0.320051945239
ACH-000365,-0.40765101090899997
ACH-000366,-0.268399218184
ACH-000368,-0.489444723165
ACH-000374,-0.148913410578
ACH-000375,-0.348184164452
ACH-000376,-0.242798032582
ACH-000381,-0.423286128428
ACH-000383,-0.23101445054900002
ACH-000387,-0.383195312262
ACH-000389,-0.231327190268
ACH-000390,-0.265909771666
ACH-000393,-0.225887783902
ACH-000395,-0.18631278818
ACH-000397,-0.097305460771
