,FRG1 (2483)
ACH-000004,-0.280349524082
ACH-000007,-0.38330752174599997
ACH-000009,-0.33927818626100004
ACH-000011,-0.45188807748099996
ACH-000012,-0.333022165729
ACH-000013,-0.187486181838
ACH-000014,-0.591427960715
ACH-000015,-0.225361469956
ACH-000017,-0.519053269714
ACH-000018,-0.46160243247599997
ACH-000019,-0.120137827572
ACH-000021,-0.598282707015
ACH-000022,-0.29302338329
ACH-000025,-0.246534673899
ACH-000028,-0.189521965119
ACH-000030,-0.548014304299
ACH-000035,-0.08936264844809999
ACH-000036,-0.576845507956
ACH-000037,-0.507593748325
ACH-000039,-0.32997873754
ACH-000040,-0.327576967694
ACH-000041,-0.468022517209
ACH-000042,-0.424627152824
ACH-000045,-0.20953729915
ACH-000047,-0.424748082443
ACH-000052,-0.303963865221
ACH-000053,-0.37249392592
ACH-000054,-0.39031129803099995
ACH-000055,-0.377716190486
ACH-000060,-0.350519119507
ACH-000067,-0.534488870348
ACH-000070,-0.684745325317
ACH-000075,-0.534967185308
ACH-000078,-0.331930755928
ACH-000082,-0.548762625444
ACH-000085,-0.438224181932
ACH-000086,-0.276002750553
ACH-000087,-0.616791934225
ACH-000092,-0.356840085776
ACH-000095,-0.389989312993
ACH-000097,-0.390747768741
ACH-000098,-0.46048816898
ACH-000099,-0.49937427321
ACH-000108,-0.480472031525
ACH-000113,-0.121933632629
ACH-000115,-0.522583943543
ACH-000116,-0.26228561051800003
ACH-000118,-0.41187550638400006
ACH-000120,-0.45047006442000004
ACH-000123,-0.478770480563
ACH-000127,-0.404122826768
ACH-000128,-0.26052441159699996
ACH-000132,-0.47059559074199997
ACH-000133,-0.18806438819000001
ACH-000137,0.0793034795213
ACH-000138,-0.24965597104899998
ACH-000142,-0.502167194309
ACH-000143,-0.48895814283699995
ACH-000146,-0.21676074700599998
ACH-000148,-0.484893787065
ACH-000150,-0.278861471788
ACH-000152,-0.625983061879
ACH-000153,-0.746857813819
ACH-000159,-0.35555679977300003
ACH-000160,-0.471189035106
ACH-000163,-0.47205817646399995
ACH-000167,-0.625301742232
ACH-000168,-0.40512897625100003
ACH-000169,-0.176188600232
ACH-000178,-0.47196819431599996
ACH-000182,-0.450561254629
ACH-000183,-0.391597503503
ACH-000188,-0.43758235954999997
ACH-000189,-0.510667899973
ACH-000190,-0.63369596414
ACH-000198,-0.348392152268
ACH-000204,-0.317978979179
ACH-000206,-0.6795910141179999
ACH-000207,-0.488920865122
