,TPI1 (7167)
ACH-000004,-0.8632239576690001
ACH-000007,-0.647611472557
ACH-000009,-1.140707342
ACH-000011,-0.942492767858
ACH-000012,-0.9064675667219999
ACH-000013,-0.6218436984669999
ACH-000014,-1.32156856408
ACH-000015,-0.8845691446709999
ACH-000017,-0.731845213826
ACH-000018,-1.0914061723100001
ACH-000019,-0.691054053722
ACH-000021,-1.27308737434
ACH-000022,-0.7551034663259999
ACH-000025,-1.18612979866
ACH-000028,-1.0640890834899999
ACH-000030,-1.1163443927299999
ACH-000035,-1.17879051293
ACH-000036,-1.1698368847
ACH-000037,-0.770733370125
ACH-000039,-1.02204902639
ACH-000040,-0.6173815508680001
ACH-000041,-0.7871182587710001
ACH-000042,-1.07619977116
ACH-000045,-0.9010055828110001
ACH-000047,-0.57798067194
ACH-000052,-0.839824290058
ACH-000053,-0.494384380034
ACH-000054,-0.690132743219
ACH-000055,-1.25070740829
ACH-000060,-0.879089647466
ACH-000067,-0.691765479755
ACH-000070,-1.0889627829700002
ACH-000075,-0.743009195909
ACH-000078,-0.735699293708
ACH-000082,-0.536677475976
ACH-000085,-0.948362732341
ACH-000086,-0.768262374421
ACH-000087,-0.7758754926100001
ACH-000092,-0.506539833114
ACH-000095,-0.9549941303139999
ACH-000097,-0.544251068927
ACH-000098,-0.92258624389
ACH-000099,-1.17086318758
ACH-000108,-1.2578342986700002
ACH-000113,-0.8974126448180001
ACH-000115,-0.767060047391
ACH-000116,-0.9661030341719999
ACH-000118,-0.9105279543979999
ACH-000120,-0.48851986966300004
ACH-000123,-0.867162694131
ACH-000127,-1.13019332255
ACH-000128,-0.643570067534
ACH-000132,-0.584198490591
ACH-000133,-1.0311976034399999
ACH-000137,-0.7723821507140001
ACH-000138,-1.34282413584
ACH-000142,-1.36283957765
ACH-000143,-0.952742235854
ACH-000146,-0.720635642305
ACH-000148,-1.00700148205
ACH-000150,-0.997151041211
ACH-000152,-0.644372877099
ACH-000153,-0.539822771545
ACH-000159,-0.866542581751
ACH-000160,-1.107623558
ACH-000163,-1.30096465509
ACH-000167,-0.477394776486
ACH-000168,-0.647682339798
ACH-000169,-0.852301118389
ACH-000178,-1.1612167230200001
ACH-000182,-0.377917167132
ACH-000183,-1.12142288629
ACH-000188,-1.1299224587
ACH-000189,-1.23978684955
ACH-000190,-1.09617654316
ACH-000198,-0.908206878876
ACH-000204,-0.956580530133
ACH-000206,-1.15867494057
ACH-000207,-1.23659064759
ACH-000211,-0.715657254412
ACH-000215,-0.8410425505600001
ACH-000221,-1.00537996922
ACH-000222,-0.9583242473389999
ACH-000223,-0.815231288884
ACH-000226,-0.986652243048
ACH-000227,-1.23688790437
ACH-000228,-1.22229472822
ACH-000231,-0.8677326360079999
ACH-000232,-1.01652255112
ACH-000233,-0.950666014219
ACH-000234,-0.8601851453749999
ACH-000235,-1.0486875184200002
ACH-000237,-1.1233937086
ACH-000238,-1.1640517291099999
ACH-000243,-1.33557166724
ACH-000244,-0.8712320867910001
ACH-000246,-0.9362677352150001
ACH-000248,-0.9247318905509999
ACH-000250,-1.1220515430700002
ACH-000251,-1.01776132701
ACH-000253,-0.835058209228
ACH-000255,-1.05427941006
ACH-000256,-0.981935796504
ACH-000257,-1.1010264678200001
ACH-000258,-0.8823541726880001
ACH-000259,-1.20976845177
ACH-000260,-1.11147614536
ACH-000261,-1.16209086573
ACH-000262,-0.906508927954
ACH-000263,-0.989565756822
ACH-000264,-0.645358443844
ACH-000265,-1.0174355922
ACH-000266,-0.6803751826700001
ACH-000272,-0.734954949972
ACH-000273,-1.05990235044
ACH-000274,-0.972501844885
ACH-000277,-0.491069476984
ACH-000278,-1.00939721681
ACH-000279,-1.20439708522
ACH-000280,-1.16283196182
ACH-000281,-1.28831599964
ACH-000288,-1.0369321902
ACH-000291,-0.360739259297
ACH-000293,-0.687585424437
ACH-000294,-1.81995371195
ACH-000295,-1.18746481575
ACH-000296,-1.15697338313
ACH-000302,-1.0420896593100002
ACH-000304,-0.550186066383
ACH-000307,-0.938432421629
ACH-000308,-0.45888328541100004
ACH-000310,-0.540414532027
ACH-000311,-0.879176818366
ACH-000312,-0.9717070329340001
ACH-000315,-0.987388240489
ACH-000316,-1.39149291039
ACH-000317,-1.54984590882
ACH-000318,-0.854097279842
ACH-000319,-1.14446866326
ACH-000320,-1.3772948414700001
ACH-000322,-1.3217835845299999
ACH-000323,-1.02848849768
ACH-000324,-1.0228824347299998
ACH-000329,-0.453972214511
ACH-000330,-0.709907647952
ACH-000331,-0.9825860713850001
ACH-000332,-0.739870561238
ACH-000334,-1.10586887937
ACH-000335,-0.885820624012
ACH-000336,-0.954592709842
ACH-000337,-0.44415983250200003
ACH-000339,-1.118220501
ACH-000341,-1.0337942118899999
ACH-000348,-0.827000321331
ACH-000350,-0.962386278777
ACH-000352,-0.6832616272059999
ACH-000356,-0.618789154662
ACH-000361,-0.9916253399670001
ACH-000362,-0.810981657141
ACH-000363,-0.26736654086399997
ACH-000364,-0.9494772791230001
ACH-000365,-0.999996157284
ACH-000366,-1.35420902068
ACH-000368,-0.709010004609
ACH-000374,-1.1727978800299999
ACH-000375,-1.0734830696100002
ACH-000376,-0.620496990365
ACH-000381,-1.21049965761
ACH-000383,-0.755763879438
ACH-000387,-1.02980664482
ACH-000389,-0.808869856038
ACH-000390,-0.585145617521
ACH-000393,-0.703540465412
ACH-000395,-1.4917235141499998
ACH-000397,-0.483473779112
ACH-000401,-0.9874785698559999
ACH-000402,-0.957540932419
ACH-000403,-0.9001911319179999
ACH-000404,-1.1647963727700001
ACH-000406,-1.22740713321
ACH-000407,-1.3499604309
ACH-000408,-0.954623519974
ACH-000410,-0.921183305081
ACH-000411,-0.8697489784100001
ACH-000414,-0.8013830909649999
ACH-000415,-1.23186319918
ACH-000416,-0.915139382012
ACH-000420,-0.615144557523
ACH-000421,-0.93282568528
ACH-000424,-1.15688428231
ACH-000425,-0.754002717682
ACH-000426,-0.850046052027
ACH-000427,-0.516601936532
ACH-000433,-0.997745430263
ACH-000436,-0.554207664667
ACH-000444,-1.06399539782
ACH-000445,-1.22322032187
ACH-000448,-0.7224044505030001
ACH-000450,-0.671728012148
ACH-000452,-0.7894083154420001
ACH-000454,-1.20873218803
ACH-000458,-1.05510911613
ACH-000459,-1.5275647352200001
ACH-000460,-1.0157410699299998
ACH-000461,-1.1615173632200002
ACH-000463,-1.09728505213
ACH-000464,-1.27572786168
ACH-000466,-0.7260253575460001
ACH-000467,-0.757130841192
ACH-000468,-1.13670396221
ACH-000469,-0.5993201577699999
ACH-000470,-1.29450513447
ACH-000471,-0.951101615546
ACH-000472,-0.7595290866519999
ACH-000473,-0.49703755162
ACH-000475,-0.8165092779019999
ACH-000476,-0.44966752568199997
ACH-000477,-1.20063590105
