,FECH (2235)
ACH-000004,-0.17928786143199998
ACH-000007,-0.346249090111
ACH-000009,-0.373806602179
ACH-000011,-0.274915500684
ACH-000012,-0.415568031564
ACH-000013,-0.31377701965
ACH-000014,-0.457223242095
ACH-000015,-0.22910348788600002
ACH-000017,-0.545647931536
ACH-000018,-0.563822766583
ACH-000019,-0.475112360515
ACH-000021,-0.44484402068000006
ACH-000022,-0.20659227299400001
ACH-000025,-0.4816451137100001
ACH-000028,-0.723156972157
ACH-000030,-0.900541064963
ACH-000035,-0.390105762197
ACH-000036,-0.311041035295
ACH-000037,-0.177740923527
ACH-000039,-0.46543467506499997
ACH-000040,-0.42594746689999996
ACH-000041,-0.378193012204
ACH-000042,-0.473290525211
ACH-000045,-0.771747034788
ACH-000047,-0.42922442738000005
ACH-000052,-0.418153077072
ACH-000053,-0.318810598653
ACH-000054,-0.14184134497300002
ACH-000055,-0.406076086013
ACH-000060,-0.40918308649
ACH-000067,-0.316223567465
ACH-000070,-0.9695327399160001
ACH-000075,-0.23819917434000001
ACH-000078,-0.199346113836
ACH-000082,-0.315772510316
ACH-000085,-0.179173740788
ACH-000086,-0.27259982754
ACH-000087,-0.380911893207
ACH-000092,-0.6393455932909999
ACH-000095,-0.206985531624
ACH-000097,-0.19240057391899998
ACH-000098,-0.39404217361199995
ACH-000099,-0.426179578012
ACH-000108,-0.379223076497
ACH-000113,-0.727696612128
ACH-000115,-0.814410754737
ACH-000116,-0.377484427923
ACH-000118,-0.599017381448
ACH-000120,-0.0213682675943
ACH-000123,-0.40100211337999997
ACH-000127,-0.580733864862
ACH-000128,-0.144759985581
ACH-000132,-0.343717302562
ACH-000133,-0.17011823082400002
ACH-000137,-0.562699052577
ACH-000138,-0.621266098043
ACH-000142,-0.437825825943
ACH-000143,-0.509829346814
ACH-000146,-0.922925737649
ACH-000148,-0.305238165176
ACH-000150,-0.7354188671070001
ACH-000152,-0.1102266598
ACH-000153,-0.300243304459
ACH-000159,-0.43966549613399997
ACH-000160,-0.586150224414
ACH-000163,-0.368089523319
ACH-000167,-0.296991095777
ACH-000168,-0.543320355837
ACH-000169,-0.31311451470199997
ACH-000178,-0.0874732347328
ACH-000182,-0.985653156653
ACH-000183,-0.726842721955
ACH-000188,-0.142890262817
ACH-000189,-0.394178283334
ACH-000190,-0.5431337106759999
ACH-000198,-0.635048005809
ACH-000204,-0.203114158112
ACH-000206,-0.402371102406
ACH-000207,-0.684729823131
ACH-000211,-0.351199958862
ACH-000215,-0.120660916845
ACH-000221,-1.04210603035
ACH-000222,-0.325730224389
ACH-000223,-0.6153314688620001
ACH-000226,-0.61614481308
ACH-000227,-0.707320481435
ACH-000228,-0.634133811106
ACH-000231,-0.360056917636
ACH-000232,-0.405549965229
ACH-000233,-0.6443972276709999
ACH-000234,-0.35375312912
ACH-000235,-0.42868760816600004
ACH-000237,-0.143798301627
ACH-000238,-0.344860688955
ACH-000243,-0.542672138882
ACH-000244,-0.0903897080585
ACH-000246,-0.213286884175
ACH-000248,-0.551128131663
ACH-000250,-0.330344266681
ACH-000251,-0.6476700242979999
ACH-000253,-0.6107244370970001
ACH-000255,-0.334857834835
ACH-000256,-0.12507005589700002
ACH-000257,-0.36340969999399997
ACH-000258,-0.49646358286200004
ACH-000259,-0.442329793145
ACH-000260,-0.08383059888
ACH-000261,-0.356411720158
ACH-000262,0.0144847073077
ACH-000263,-0.6489621620139999
ACH-000264,-0.47462802525700004
ACH-000265,-0.335762470902
ACH-000266,-0.365124657244
ACH-000272,-0.281516017418
ACH-000273,-0.515284145608
ACH-000274,-0.448082607069
ACH-000277,-0.6936742006129999
ACH-000278,-0.230164065256
ACH-000279,-0.661088945332
ACH-000280,-0.23552621048500003
ACH-000281,-0.876906904868
ACH-000288,-0.423404392799
ACH-000291,-0.018200082811200002
ACH-000293,-0.08847035523380001
ACH-000294,-1.21361753582
ACH-000295,-0.900026048626
ACH-000296,0.282440850315
ACH-000302,-0.213570356506
ACH-000304,-0.299711202773
ACH-000307,-0.362855759528
ACH-000308,-0.309525361275
ACH-000310,-0.387641094332
ACH-000311,-0.244911189391
ACH-000312,-0.09346096182710001
ACH-000315,-0.753802162719
ACH-000316,-0.31459819166499997
ACH-000317,-0.601467177717
ACH-000318,-0.36139542358800003
ACH-000319,-0.225978621773
ACH-000320,-0.642800098213
ACH-000322,-0.782908876936
ACH-000323,-0.377151196392
ACH-000324,-0.199256776437
ACH-000329,-0.581394391655
ACH-000330,-0.9949503050220001
ACH-000331,-0.18526855142299997
ACH-000332,-0.344879756961
ACH-000334,-0.367353203593
ACH-000335,-0.330553759472
ACH-000336,-0.346615525492
ACH-000337,-0.21569758292
ACH-000339,-0.6372002359960001
ACH-000341,-0.271958622984
ACH-000348,-0.296365561323
ACH-000350,-0.520497352244
ACH-000352,-0.5277540015119999
ACH-000356,-0.8255944068009999
ACH-000361,-0.65628371853
ACH-000362,-0.688533678668
ACH-000363,-0.436402577449
ACH-000364,-0.27121118615
ACH-000365,-0.593747899401
ACH-000366,-0.22140350700199998
ACH-000368,-0.521327336028
ACH-000374,-0.417792415137
ACH-000375,-0.216931679991
ACH-000376,-0.440609510189
ACH-000381,-0.60423818253
ACH-000383,-0.7494827842560001
ACH-000387,-0.207837709776
ACH-000389,-0.0611969767909
ACH-000390,-0.479626362478
ACH-000393,-0.60426032718
ACH-000395,-0.23907460212499998
ACH-000397,-0.33833343696699997
ACH-000401,-0.23528067588399998
ACH-000402,-0.575816094713
ACH-000403,-0.488027088413
ACH-000404,-0.387169639137
ACH-000406,-0.8697826325589999
ACH-000407,-0.27961648701499997
ACH-000408,-0.706727888785
ACH-000410,-0.48486871179200003
ACH-000411,-0.235213340459
ACH-000414,-0.31076387845
ACH-000415,-0.314836342193
ACH-000416,-0.45769268923
ACH-000420,-0.555373829532
ACH-000421,-0.572268945807
ACH-000424,-0.385515078977
ACH-000425,-0.257819795255
ACH-000426,-0.27734727996999997
ACH-000427,-0.266131090421
ACH-000433,-0.407354993186
ACH-000436,-0.13276759615999997
ACH-000444,-0.412360271196
ACH-000445,-0.356428279127
ACH-000448,-0.52438670792
ACH-000450,-0.367569202188
ACH-000452,-0.39784025721
ACH-000454,-0.718521841811
ACH-000458,-0.132017360544
ACH-000459,-0.791386208929
ACH-000460,-0.613486364281
ACH-000461,-0.832370326203
ACH-000463,-0.23515037494399998
ACH-000464,-0.49247056781900006
ACH-000466,-0.259466464233
ACH-000467,-0.456867922513
ACH-000468,-0.727381055279
ACH-000469,-0.40739915946000005
ACH-000470,-0.390407290242
ACH-000471,-0.31860475810100003
ACH-000472,-0.5213777966350001
ACH-000473,-0.20412087767099998
ACH-000475,-0.36119052647100003
ACH-000476,-0.41876885171899997
ACH-000477,-0.520851838627
ACH-000480,-0.280768406088
ACH-000481,-0.297778106502
ACH-000483,-0.267468116958
ACH-000484,-0.637571387061
ACH-000485,-0.160820504344
ACH-000486,-0.47780276608000005
ACH-000487,-0.472772117209
ACH-000488,-0.9063866233969999
ACH-000490,-0.37431417469800005
ACH-000491,-0.58847513303
ACH-000495,-0.232568169578
ACH-000496,-0.376598805298
ACH-000499,-0.481929877877
ACH-000500,-0.867389299205
ACH-000502,-0.575973727103
ACH-000503,-0.777733438416
ACH-000505,-0.37180291099299995
ACH-000507,-0.598268540298
ACH-000510,-0.428273351828
ACH-000511,-0.312295787582
ACH-000512,-0.7836732331530001
ACH-000516,-0.232383792991
ACH-000517,-0.440209026048
ACH-000518,-0.00292437651192
ACH-000520,-0.049029901902599995
ACH-000521,-0.44287618451099997
ACH-000522,-0.294367739591
ACH-000524,-0.351374333411
ACH-000527,-0.51677849834
ACH-000528,-0.679910991319
ACH-000537,-0.597795342299
ACH-000541,-0.485343267858
ACH-000542,-0.486993744565
ACH-000544,-0.7529270161049999
ACH-000545,-0.417937693375
ACH-000547,-0.623981336144
ACH-000548,-0.438483399531
ACH-000549,-0.23257575674199998
ACH-000550,-0.47016364139300004
ACH-000552,-0.627580017176
ACH-000556,-0.296508145763
ACH-000557,-0.447902942338
ACH-000570,-0.348780885989
ACH-000571,-0.37225535427100004
ACH-000573,-0.644914127213
ACH-000576,-0.355509268449
ACH-000580,-0.545532805352
ACH-000584,-0.44162570279200003
ACH-000585,-0.393359934535
ACH-000588,-0.374786574876
ACH-000589,-0.818115328524
ACH-000591,-0.41345729916599994
ACH-000593,-0.63287167924
ACH-000600,-0.37224970765199994
ACH-000601,-0.19438425544399998
ACH-000604,-0.464988933156
ACH-000605,-0.454309996277
ACH-000606,-0.529961573525
ACH-000608,-0.526252797953
ACH-000614,-0.46367467360500003
ACH-000616,-0.320897890792
ACH-000618,-0.48589577005199996
ACH-000619,-0.452586613337
ACH-000620,-0.242828946173
ACH-000621,-0.48845167895400005
ACH-000622,-0.490610984938
ACH-000623,-0.36629075006399997
ACH-000624,-0.44144355271700003
ACH-000627,-0.557185248422
ACH-000630,-0.39793961565499997
ACH-000632,-0.185079671695
ACH-000633,-0.39940516418000005
ACH-000637,-0.267032597128
ACH-000638,-0.6495963409000001
ACH-000646,-0.305161626654
ACH-000647,-0.48312990583400006
