,EIF4A1 (1973)
ACH-000004,-1.29397252123
ACH-000007,-1.61711960435
ACH-000009,-1.5856345162099998
ACH-000011,-1.34384385773
ACH-000012,-1.34025262839
ACH-000013,-1.0455948024700001
ACH-000014,-1.6133789012600002
ACH-000015,-1.49781900986
ACH-000017,-1.22957423013
ACH-000018,-1.27595097605
ACH-000019,-1.25439564225
ACH-000021,-1.4307222721000001
ACH-000022,-1.39375848879
ACH-000025,-1.62086973023
ACH-000028,-1.1680095702700002
ACH-000030,-1.38589134928
ACH-000035,-1.4633125815999999
ACH-000036,-1.3808436098399999
ACH-000037,-1.82891235113
ACH-000039,-1.44298673541
ACH-000040,-0.9968737603550001
ACH-000041,-1.7855461134000001
ACH-000042,-1.3447220578499999
ACH-000045,-1.48823990993
ACH-000047,-1.51471044092
ACH-000052,-1.27634207222
ACH-000053,-1.63089234857
ACH-000054,-1.33668427987
ACH-000055,-1.41528141928
ACH-000060,-1.7097930461700002
ACH-000067,-1.7518257111099997
ACH-000070,-1.8694693955500001
ACH-000075,-1.45710358945
ACH-000078,-1.26593339896
ACH-000082,-1.06796742328
ACH-000085,-1.88519189778
ACH-000086,-1.55936457443
ACH-000087,-1.37718278447
ACH-000092,-1.43631549308
ACH-000095,-1.31421032857
ACH-000097,-1.3632708094200001
ACH-000098,-1.8122030273900003
ACH-000099,-1.3152734295
ACH-000108,-1.6436420027
ACH-000113,-1.2704658606700001
ACH-000115,-0.667550293678
ACH-000116,-0.7109196922869999
ACH-000118,-1.44710345021
ACH-000120,-1.3837500687
ACH-000123,-1.3834065841999998
ACH-000127,-1.5247281492500002
ACH-000128,-1.70202847127
ACH-000132,-1.2721433662700001
ACH-000133,-0.728880717702
ACH-000137,-1.43662720276
ACH-000138,-1.47848465361
ACH-000142,-1.5616055786200003
ACH-000143,-1.7131190269799998
ACH-000146,-1.5845086588
ACH-000148,-1.2098995296100001
ACH-000150,-1.4717278263799998
ACH-000152,-1.62171062833
ACH-000153,-2.0908010062
ACH-000159,-1.7920863510900003
ACH-000160,-1.46176256799
ACH-000163,-1.1386988638
ACH-000167,-1.69511665517
ACH-000168,-1.22216590448
ACH-000169,-1.48842720256
ACH-000178,-1.60490997236
ACH-000182,-1.0637966069
ACH-000183,-1.75814969063
ACH-000188,-1.58902228889
ACH-000189,-1.29916362864
ACH-000190,-1.6711553834200001
ACH-000198,-1.35905343697
ACH-000204,-1.0640470845399999
