,ISM2 (145501)
ACH-000004,0.21026563057300002
ACH-000007,-0.133442212957
ACH-000009,-0.145492676043
ACH-000011,-0.0967198631553
ACH-000012,-0.23914662397199998
ACH-000013,-0.131983417595
ACH-000014,-0.0886463178202
ACH-000015,-0.11149705048800002
ACH-000017,-0.186033885964
ACH-000018,-0.23897641209800002
ACH-000019,-0.322134943237
ACH-000021,0.0225548230198
ACH-000022,-0.13675157851800002
ACH-000025,-0.00101328163182
ACH-000028,-0.08680824024489998
ACH-000030,-0.017751082429900002
ACH-000035,-0.0313259956126
ACH-000036,-0.006446580315310001
ACH-000037,-0.27417680554900004
ACH-000039,-0.17145689652499999
ACH-000040,-0.147660802771
ACH-000041,-0.116472421956
ACH-000042,-0.0707380797163
ACH-000045,-0.0277037470357
ACH-000047,-0.23364819928599997
ACH-000052,-0.148563767801
ACH-000053,-0.0466689226267
ACH-000054,-0.14894167065199998
ACH-000055,-0.243017977612
ACH-000060,-0.33296460994000004
ACH-000067,-0.0549723648791
ACH-000070,-0.15669683438100002
ACH-000075,-0.333264784688
ACH-000078,-0.09467762848030001
ACH-000082,-0.165534479193
ACH-000085,-0.07849789184339999
ACH-000086,-0.309865004111
ACH-000087,-0.356570566795
ACH-000092,-0.32601480276
ACH-000095,-0.25120205591899997
ACH-000097,-0.145229279091
ACH-000098,-0.210280085585
ACH-000099,-0.00835860215359
ACH-000108,-0.10770504745500001
ACH-000113,-0.0565200576413
ACH-000115,0.0493529428823
ACH-000116,-0.113242892836
ACH-000118,-0.172720567273
ACH-000120,-0.0567566148142
ACH-000123,-0.0859025345778
ACH-000127,-0.110260768421
ACH-000128,-0.289273699998
ACH-000132,0.0210528611669
ACH-000133,-0.10054911938899999
ACH-000137,0.06704022125850001
ACH-000138,-0.184168264383
ACH-000142,0.109590538618
ACH-000143,-0.26537796668
ACH-000146,-0.13933705108
ACH-000148,-0.16340808558599998
ACH-000150,0.264919248556
ACH-000152,-0.120646794901
ACH-000153,0.24069476867400003
ACH-000159,-0.234946873114
ACH-000160,-0.189191451778
ACH-000163,-0.227889324778
ACH-000167,-0.300870576074
ACH-000168,0.171403817543
ACH-000169,-0.151669383796
ACH-000178,-0.109515577874
ACH-000182,-0.225572663451
ACH-000183,-0.14199269088400002
ACH-000188,-0.058708370851999994
ACH-000189,-0.0390608143356
ACH-000190,-0.29112608508
ACH-000198,-0.143340785578
ACH-000204,-0.206786176856
ACH-000206,-0.015159327696499999
ACH-000207,-0.19733647451699998
ACH-000211,-0.171941733537
ACH-000215,-0.121980801442
ACH-000221,0.106985651411
ACH-000222,0.184771060932
ACH-000223,0.09150594844070001
ACH-000226,-0.351563810428
ACH-000227,-0.10946777614099999
ACH-000228,-0.17615145042199998
ACH-000231,-0.15558532666400002
ACH-000232,-0.139043338811
ACH-000233,8.56322390978e-05
ACH-000234,0.10120814625
ACH-000235,0.0405207625879
ACH-000237,0.00934695492523
ACH-000238,-0.10147921624
ACH-000243,-0.195726891442
ACH-000244,-0.302026906881
ACH-000246,-0.152532610601
ACH-000248,-0.23738066808699998
ACH-000250,-0.154399611426
ACH-000251,-0.39205193268
ACH-000253,-0.0946570437816
ACH-000255,-0.150798762044
ACH-000256,-0.14504916499099998
ACH-000257,-0.125609212686
ACH-000258,0.0634242469594
ACH-000259,-0.0459620534966
ACH-000260,-0.06603421263249999
ACH-000261,-0.165868378451
ACH-000262,0.00506600342368
ACH-000263,-0.187478622727
ACH-000264,-0.242633401499
ACH-000265,-0.11595281326099999
ACH-000266,0.0797774195532
ACH-000272,-0.21005365926600003
ACH-000273,-0.225936308154
ACH-000274,-0.12017521097200001
ACH-000277,-0.252026930471
ACH-000278,-0.0953578738545
ACH-000279,-0.09759702009150001
ACH-000280,-0.393090248218
ACH-000281,0.24249051582800002
ACH-000288,-0.199726319194
ACH-000291,-0.0408020992903
ACH-000293,-0.12183805328099999
ACH-000294,-0.175617120543
ACH-000295,-0.13675455022900002
ACH-000296,-0.0944779522194
ACH-000302,-0.040780806181900005
ACH-000304,-0.0612306341995
ACH-000307,-0.0996465631721
ACH-000308,-0.131473574531
ACH-000310,-0.126458776659
ACH-000311,-0.114077162496
ACH-000312,0.051377650975900004
ACH-000315,-0.20185777318
ACH-000316,-0.310847938685
ACH-000317,-0.136552289544
ACH-000318,0.03177109017
ACH-000319,-0.012132878797799998
ACH-000320,-0.108607714242
ACH-000322,-0.0965557634425
ACH-000323,0.0368678297041
ACH-000324,-0.103462811146
ACH-000329,-0.00783638983878
ACH-000330,-0.220905256822
ACH-000331,-0.026240908208300003
ACH-000332,-0.124603865677
ACH-000334,-0.234346766028
ACH-000335,-0.175054859293
ACH-000336,-0.223835047901
ACH-000337,-0.32697969118500003
ACH-000339,-0.120273386123
ACH-000341,-0.328277246892
ACH-000348,-0.0388445700379
ACH-000350,-0.131033759788
ACH-000352,-0.152424569603
ACH-000356,-0.023537136282700002
ACH-000361,-0.294661188675
ACH-000362,0.111622350462
ACH-000363,-0.0261850075717
ACH-000364,-0.251659453751
ACH-000365,-0.1979539421
ACH-000366,-0.22392912684900002
ACH-000368,-0.13634435326
ACH-000374,0.0184622553372
ACH-000375,-0.12621141879
ACH-000376,-0.110057123353
ACH-000381,-0.250671900843
ACH-000383,-0.28619376119199996
ACH-000387,0.104768695187
ACH-000389,-0.274116627928
ACH-000390,-0.139337846613
ACH-000393,-0.20739365242199997
ACH-000395,-0.16555219170399998
ACH-000397,-0.216438131388
ACH-000401,-0.0173315999062
