,ZNFX1 (57169)
ACH-000004,-0.00801467485325
ACH-000007,-0.13374001751599998
ACH-000009,-0.155828526078
ACH-000011,0.14625622397
ACH-000012,-0.0236875966034
ACH-000013,-0.020953222610200002
ACH-000014,-0.394708683127
ACH-000015,-0.0853767649575
ACH-000017,-0.180638745254
ACH-000018,-0.09729900910319998
ACH-000019,-0.146313622376
ACH-000021,-0.007792992147520001
ACH-000022,0.0245222932661
ACH-000025,-0.171437365053
ACH-000028,-0.16598127956800002
ACH-000030,-0.170102231459
ACH-000035,-0.47189056099699994
ACH-000036,-0.300895740112
ACH-000037,-0.0679689042019
ACH-000039,-0.019806074891
ACH-000040,-0.08825701876039999
ACH-000041,0.10322306480900001
ACH-000042,-0.145931421689
ACH-000045,-0.222428258209
ACH-000047,-0.202440771252
ACH-000052,0.10981332785499999
ACH-000053,-0.126698399162
ACH-000054,-0.051589907296
ACH-000055,-0.060765683338599996
ACH-000060,-0.10678456463
ACH-000067,-0.00672559530454
ACH-000070,-0.12439941054199999
ACH-000075,-0.25105264014600004
ACH-000078,-0.14342986351099998
ACH-000082,-0.45581799533699996
ACH-000085,0.023447818031599996
ACH-000086,-0.208822891574
ACH-000087,-0.253939605424
ACH-000092,-0.485889282408
ACH-000095,-0.13361064693900002
ACH-000097,-0.18594115714499998
ACH-000098,0.0819073689293
ACH-000099,-0.062131181484300003
ACH-000108,0.030100380398
ACH-000113,-0.199073499287
ACH-000115,0.046155354224199995
ACH-000116,-0.13595909778100002
ACH-000118,-0.08407369534749999
ACH-000120,-0.13770232742799998
ACH-000123,-0.14031906568900002
ACH-000127,-0.151068580143
ACH-000128,-0.0855059651092
ACH-000132,0.29168788852
ACH-000133,-0.141358407214
ACH-000137,-0.137439647805
ACH-000138,-0.216122522632
ACH-000142,-0.21376331805999998
ACH-000143,-0.241125577814
ACH-000146,-0.08321901743389999
ACH-000148,-0.0828323444081
ACH-000150,0.013571630064399999
ACH-000152,-0.101612336772
ACH-000153,0.0678835939238
ACH-000159,0.012886129562899999
ACH-000160,-0.053826991578800006
ACH-000163,0.07166544976269999
ACH-000167,-0.29216064188
ACH-000168,0.010864608452299999
ACH-000169,-0.28153229851399997
ACH-000178,-0.315358688436
ACH-000182,-0.161430947534
ACH-000183,-0.108365964792
ACH-000188,-0.151600051289
ACH-000189,0.0980446425344
ACH-000190,-0.188201010488
ACH-000198,-0.23689982418299999
ACH-000204,-0.687856095732
ACH-000206,-0.193545987324
ACH-000207,-0.15250346738700002
ACH-000211,-0.100688740511
ACH-000215,-0.406297042771
ACH-000221,-0.100306415387
ACH-000222,-0.0353895454138
ACH-000223,-0.0913091812279
ACH-000226,-0.0260732799034
ACH-000227,-0.189689529513
ACH-000228,-0.479654632958
ACH-000231,-0.7085326545460001
ACH-000232,-0.0276279893826
ACH-000233,-0.165010909864
ACH-000234,-0.19927141395999998
ACH-000235,-0.154412781093
ACH-000237,-0.213258005028
ACH-000238,-0.31926235104
ACH-000243,-0.0544240835762
ACH-000244,-0.234315647507
ACH-000246,-0.139757500494
ACH-000248,-0.0504248568953
ACH-000250,-0.023404145272900002
ACH-000251,-0.46204308826000007
ACH-000253,-0.10343229634500001
ACH-000255,-0.0828435451798
ACH-000256,-0.110916291571
ACH-000257,0.0661606729118
ACH-000258,-0.049564780773099996
ACH-000259,-0.092867488978
ACH-000260,-0.13639372044
ACH-000261,-0.17080219618099998
ACH-000262,-0.070029461261
ACH-000263,-0.28205774833
ACH-000264,-0.139620914643
ACH-000265,-0.0574094581097
ACH-000266,-0.0782041172209
ACH-000272,-0.0770138088444
ACH-000273,-0.33489894397500003
ACH-000274,-0.137702638366
ACH-000277,-0.473971608962
ACH-000278,-0.21814350219700002
ACH-000279,0.0155661049645
ACH-000280,-0.257920665366
ACH-000281,0.017633541745
ACH-000288,0.05681094699
ACH-000291,-0.18932390292100001
ACH-000293,0.00865704010868
ACH-000294,-0.193235700721
ACH-000295,-0.0945891666545
ACH-000296,-0.0319288915944
ACH-000302,0.0145546264773
ACH-000304,-0.09575025213580002
ACH-000307,-0.290518625224
ACH-000308,-0.190023964355
ACH-000310,-0.164432483247
ACH-000311,0.00835781983672
ACH-000312,-0.08472324420749999
ACH-000315,-0.128321052178
ACH-000316,-0.15474353514699998
ACH-000317,0.16556976364499998
ACH-000318,-0.0948067297924
ACH-000319,-0.134247377299
ACH-000320,-0.161798662398
ACH-000322,-0.6255295294609999
ACH-000323,-0.11033867344699999
ACH-000324,-0.188259424355
ACH-000329,-0.371380350578
ACH-000330,-0.487397683236
ACH-000331,-0.0948757176979
ACH-000332,-0.138525327004
ACH-000334,0.0713669782253
ACH-000335,0.164078972765
ACH-000336,-0.0764492316881
ACH-000337,0.0635655106785
