,ARHGDIA (396)
ACH-000004,-0.12102912045700001
ACH-000007,-0.12767227095699998
ACH-000009,-0.373631944131
ACH-000011,-0.40579957851
ACH-000012,0.0197821352286
ACH-000013,-0.016482645544100002
ACH-000014,-0.027298490542900004
ACH-000015,-0.23446963149500002
ACH-000017,-0.0972730239662
ACH-000018,0.0198573883625
ACH-000019,-0.447380086379
ACH-000021,-0.14166188791
ACH-000022,0.0822860686158
ACH-000025,0.00275822366636
ACH-000028,-0.197451337468
ACH-000030,-0.0871132620885
ACH-000035,0.0286690625087
ACH-000036,-0.18581681598900002
ACH-000037,-0.14687779652799998
ACH-000039,-0.399514451149
ACH-000040,-0.279838557278
ACH-000041,-0.142172107514
ACH-000042,-0.347433719292
ACH-000045,-0.27662132123100003
ACH-000047,-0.222358425798
ACH-000052,0.048183912999900005
ACH-000053,-0.236126417275
ACH-000054,-0.070013635696
ACH-000055,-0.227825449434
ACH-000060,-0.225930627301
ACH-000067,-0.38798397279799995
ACH-000070,-0.0157093401784
ACH-000075,0.0561469245053
ACH-000078,-0.0758137342254
ACH-000082,-0.044006359108499996
ACH-000085,-0.415372405446
ACH-000086,-0.22242573421
ACH-000087,0.130881349695
ACH-000092,-0.061182903311
ACH-000095,-0.305278972068
ACH-000097,-0.295088299067
ACH-000098,-0.10380943468
ACH-000099,-0.239377942559
ACH-000108,-0.322287993171
ACH-000113,-0.0339998646208
ACH-000115,-0.0246451958832
ACH-000116,-0.284258620327
ACH-000118,-0.197251006791
ACH-000120,-0.506223865314
ACH-000123,-0.129182216414
ACH-000127,0.0366589545015
ACH-000128,-0.0913434375503
ACH-000132,-0.30639619051899997
ACH-000133,-0.05351668526819999
ACH-000137,-0.057466077943599994
ACH-000138,-0.0133639927177
ACH-000142,-0.384157499108
ACH-000143,-0.40818464832400003
ACH-000146,-0.0524570810975
ACH-000148,0.032365319827400006
ACH-000150,-0.328047902735
ACH-000152,-0.189548009469
ACH-000153,0.07110447662000001
ACH-000159,-0.18716980338599998
ACH-000160,-0.2470700468
ACH-000163,-0.0552091208722
ACH-000167,0.0757449941166
ACH-000168,-0.136812642156
ACH-000169,-0.18823273820300002
ACH-000178,-0.30676372416700004
ACH-000182,-0.47066949395499996
ACH-000183,-0.15359207938799999
ACH-000188,-0.235989579658
ACH-000189,-0.07691112293060001
ACH-000190,-0.09506568551149999
ACH-000198,-0.166098893424
ACH-000204,0.38696843321999996
ACH-000206,0.042369591662599994
ACH-000207,0.007106041007859999
ACH-000211,-0.175853379349
ACH-000215,-0.26901722195
ACH-000221,-0.34958534665
ACH-000222,-0.205662504402
ACH-000223,0.000853422629481
ACH-000226,-0.078473294151
ACH-000227,0.18616962143
ACH-000228,-0.057959671570300006
ACH-000231,-0.117428267133
ACH-000232,-0.546142647883
ACH-000233,-0.141912359687
ACH-000234,-0.14513894042199998
ACH-000235,-0.191916458412
ACH-000237,-0.053212155478999996
ACH-000238,-0.0448971400183
ACH-000243,-0.204694336283
ACH-000244,-0.132334378573
ACH-000246,-0.248055073435
ACH-000248,-0.367335316245
ACH-000250,-0.25316206033599997
ACH-000251,-0.49123635919799996
ACH-000253,-0.265583985569
ACH-000255,-0.312196474535
ACH-000256,-0.050209737722800005
ACH-000257,0.0237662585927
ACH-000258,-0.0202583412208
ACH-000259,-0.168999141736
ACH-000260,-0.39575553793799995
ACH-000261,-0.110760842174
ACH-000262,0.0079937361497
ACH-000263,-0.32495112845199997
ACH-000264,-0.230396288377
ACH-000265,-0.18925617285799998
ACH-000266,-0.32866468169
ACH-000272,-0.23734468873300002
ACH-000273,4.186495500999999e-05
ACH-000274,-0.410369188488
ACH-000277,-0.405145122638
ACH-000278,-0.119581791499
ACH-000279,-0.12255841280200001
ACH-000280,-0.21899217833299997
ACH-000281,-0.196211765561
ACH-000288,-0.239876020819
ACH-000291,-0.149986225369
ACH-000293,-0.0991836952672
ACH-000294,-0.208440225752
ACH-000295,-0.324289319636
ACH-000296,-0.335540455407
ACH-000302,-0.287071773501
ACH-000304,-0.135680279684
ACH-000307,0.0437789645089
ACH-000308,-0.12470441401799999
ACH-000310,-0.48539297146300003
ACH-000311,-0.426158566983
ACH-000312,-0.315299988443
ACH-000315,-0.233733432702
ACH-000316,-0.230736814362
ACH-000317,0.248763605542
ACH-000318,-0.0165971508051
ACH-000319,-0.0660448479098
ACH-000320,0.0806296834344
ACH-000322,-0.07932550692910001
ACH-000323,0.11480017068
ACH-000324,-0.295200608761
ACH-000329,-0.34535205152099996
ACH-000330,0.0988754760619
ACH-000331,-0.314855316578
ACH-000332,-0.318707362694
ACH-000334,-0.010153149297299999
ACH-000335,0.10283882639
ACH-000336,-0.035894144741800006
ACH-000337,-0.319442056767
ACH-000339,-0.20748016514400003
ACH-000341,-0.26269659716
ACH-000348,-0.20918510674000002
