,EEF1E1 (9521)
ACH-000004,-0.491996635914
ACH-000007,-0.364067493472
ACH-000009,-0.499190303195
ACH-000011,-0.497882647957
ACH-000012,-0.429567710158
ACH-000013,-0.209064029167
ACH-000014,-0.46358927200800004
ACH-000015,-0.20757818233199998
ACH-000017,-0.35940743404799996
ACH-000018,-0.658989715926
ACH-000019,-0.39771774788099995
ACH-000021,-0.165383360037
ACH-000022,-0.275216274282
ACH-000025,-0.32254536235
ACH-000028,-0.28432602940900004
ACH-000030,-0.42361004417
ACH-000035,-0.394544802611
ACH-000036,-0.428700247678
ACH-000037,-0.266892645099
ACH-000039,-0.533203475008
ACH-000040,-0.435171770686
ACH-000041,-0.17316962724100002
ACH-000042,-0.379382512433
ACH-000045,-0.0125602032429
ACH-000047,-0.484940636298
ACH-000052,-0.471215429038
ACH-000053,-0.233438693315
ACH-000054,-0.38359120548799996
ACH-000055,-0.177266086685
ACH-000060,-0.243076656599
ACH-000067,-0.479249098795
ACH-000070,-0.48323127196099996
ACH-000075,-0.20765260373799999
ACH-000078,-0.521490923547
ACH-000082,-0.2829324275
ACH-000085,-0.10878385355
ACH-000086,-0.27556415638
ACH-000087,-0.468171223552
ACH-000092,-0.495999569011
ACH-000095,-0.213982801043
ACH-000097,-0.460976117527
ACH-000098,-0.46543969497599996
ACH-000099,-0.295217223032
ACH-000108,-0.269499634353
ACH-000113,-0.7187878150470001
ACH-000115,-0.445008313416
ACH-000116,-0.325282483001
ACH-000118,-0.23310377674899999
ACH-000120,-0.450114769262
ACH-000123,-0.392710748846
ACH-000127,-0.34313737897299995
ACH-000128,-0.24770114279599997
ACH-000132,-0.45622679212800005
ACH-000133,-0.287420358449
ACH-000137,-0.468639972108
ACH-000138,-0.425742595927
ACH-000142,-0.433034540656
ACH-000143,-0.268340469676
ACH-000146,-0.734095326482
ACH-000148,-0.190097408351
ACH-000150,-0.0271239371679
ACH-000152,-0.29399094374400003
ACH-000153,-0.556401010748
ACH-000159,-0.30219733662099996
ACH-000160,-0.359815554794
ACH-000163,-0.387616540131
ACH-000167,-0.7141676387520001
ACH-000168,-0.418552281072
ACH-000169,-0.280184404542
ACH-000178,-0.40668351226300004
ACH-000182,-0.500657527405
ACH-000183,-0.174969426751
ACH-000188,-0.242115848738
ACH-000189,-0.512239661196
ACH-000190,-0.78243531332
ACH-000198,-0.345897474104
ACH-000204,-0.596461277132
ACH-000206,-0.603771437139
ACH-000207,-0.329644898634
ACH-000211,-0.339820859997
ACH-000215,-0.380188197267
ACH-000221,-0.24873385996999997
ACH-000222,-0.254368464386
ACH-000223,-0.605664307098
ACH-000226,-0.35800950221999994
ACH-000227,-0.34651509516
ACH-000228,-0.11620673602399999
ACH-000231,-0.473522380251
ACH-000232,-0.360051171516
ACH-000233,-0.506253379046
ACH-000234,-0.43889393334700005
ACH-000235,-0.320492660664
ACH-000237,-0.641269738672
ACH-000238,-0.332636052943
ACH-000243,-0.504691107988
ACH-000244,-0.32677788688299997
ACH-000246,-0.340168766751
ACH-000248,-0.38537385180399997
ACH-000250,-0.432874394982
ACH-000251,-0.5264076244829999
ACH-000253,-0.496388231203
ACH-000255,-0.36261898224399997
ACH-000256,-0.35700981287
ACH-000257,-0.465292720607
ACH-000258,-0.09146946821900001
ACH-000259,-0.132640933834
ACH-000260,-0.235919235088
ACH-000261,-0.33715053955700003
ACH-000262,-0.299524709536
ACH-000263,-0.30048328770599997
ACH-000264,-0.32894154343000004
ACH-000265,-0.238831909758
ACH-000266,-0.7147692993029999
ACH-000272,-0.601406131844
ACH-000273,-0.462333944687
ACH-000274,-0.5539250784399999
