,MZT2A (653784)
ACH-000004,-0.391662870101
ACH-000007,-0.11950418151100001
ACH-000009,-0.5475253300990001
ACH-000011,-0.19224233700399998
ACH-000012,-0.301648224242
ACH-000013,-0.17043694652600003
ACH-000014,-0.262205876472
ACH-000015,-0.34941349114500003
ACH-000017,-0.0803910596205
ACH-000018,-0.36721295930299996
ACH-000019,-0.222689136206
ACH-000021,-0.0787858825931
ACH-000022,-0.129407233765
ACH-000025,-0.35513499285899996
ACH-000028,-0.477475805409
ACH-000030,-0.207714142963
ACH-000035,-0.152203468024
ACH-000036,-0.186917135049
ACH-000037,-0.17625708567
ACH-000039,-0.306682921451
ACH-000040,-0.311783451942
ACH-000041,-0.538513692011
ACH-000042,-0.18574502177299998
ACH-000045,-0.6801762335320001
ACH-000047,-0.119279552579
ACH-000052,-0.34307048071699997
ACH-000053,-0.28339511822700003
ACH-000054,-0.444027834604
ACH-000055,-0.33773019266099996
ACH-000060,-0.179470566451
ACH-000067,-0.209172928447
ACH-000070,-0.0467164346007
ACH-000075,-0.124188407414
ACH-000078,-0.378080852543
ACH-000082,-0.325090473374
ACH-000085,-0.389984803007
ACH-000086,-0.40679176510799997
ACH-000087,-0.382509114864
ACH-000092,-0.564470360294
ACH-000095,-0.289925267391
ACH-000097,-0.225243169837
ACH-000098,-0.45258357304700003
ACH-000099,-0.227000081274
ACH-000108,-0.0791602774305
ACH-000113,-0.333281447093
ACH-000115,-0.255777866589
ACH-000116,-0.09651696152969999
ACH-000118,-0.164899948389
ACH-000120,-0.583448117732
ACH-000123,-0.242929811356
ACH-000127,-0.326235129155
ACH-000128,-0.428793171165
ACH-000132,-0.239844762797
ACH-000133,-0.534645196268
ACH-000137,-0.406169185185
ACH-000138,-0.128066738259
ACH-000142,-0.281950644957
ACH-000143,-0.251562560494
ACH-000146,-0.27392797309
ACH-000148,-0.30126254001999997
ACH-000150,-0.235054880431
ACH-000152,-0.329670119289
ACH-000153,-0.35489582274899995
ACH-000159,-0.354828836766
ACH-000160,-0.327256548483
ACH-000163,-0.598425048598
ACH-000167,-0.8270025350660001
ACH-000168,-0.237371263095
ACH-000169,-0.274734178531
ACH-000178,-0.37613952281199997
ACH-000182,-0.174542834174
ACH-000183,-0.253979264436
ACH-000188,-0.351933123597
ACH-000189,-0.41527189077200005
ACH-000190,0.00695413767599
ACH-000198,-0.49516617796400003
ACH-000204,-0.181380553836
ACH-000206,-0.36140094684100005
ACH-000207,-0.10068824462999999
ACH-000211,-0.48862680133999997
ACH-000215,-0.288727456862
ACH-000221,-0.360527292963
ACH-000222,-0.149423756317
ACH-000223,-0.454879987546
ACH-000226,-0.219976757322
ACH-000227,-0.241813325104
ACH-000228,-0.275005220063
ACH-000231,-0.265362178132
ACH-000232,-0.347406601531
ACH-000233,-0.268079868954
ACH-000234,-0.332808651793
ACH-000235,-0.250685414069
ACH-000237,-0.605660631993
ACH-000238,-0.233497851547
ACH-000243,-0.264623248019
ACH-000244,-0.517645167161
ACH-000246,-0.169082963998
ACH-000248,-0.244348119479
ACH-000250,-0.255867456217
ACH-000251,-0.593160351331
ACH-000253,-0.36447683317199997
ACH-000255,-0.258373001239
ACH-000256,-0.189459217659
ACH-000257,-0.286954860696
ACH-000258,-0.341113987298
ACH-000259,-0.22401258574000002
ACH-000260,-0.345699585817
ACH-000261,-0.21752285096299998
