,PAPPA (5069)
ACH-000004,-0.180533197876
ACH-000007,-0.333605074358
ACH-000009,-0.319486352483
ACH-000011,-0.167296156131
ACH-000012,-0.29602616619399996
ACH-000013,-0.134976496152
ACH-000014,-0.0221133072335
ACH-000015,-0.42130057323200004
ACH-000017,-0.040901453843300004
ACH-000018,-0.222391015285
ACH-000019,-0.0061060052597900006
ACH-000021,-0.229055013669
ACH-000022,-0.135263219522
ACH-000025,-0.17453964883
ACH-000028,-0.10751048620999999
ACH-000030,-0.113063788543
ACH-000035,-0.235882899214
ACH-000036,-0.056785264210400005
ACH-000037,-0.121957594562
ACH-000039,-0.414193831155
ACH-000040,-0.409874483839
ACH-000041,-0.244379431143
ACH-000042,-0.39856022092200005
ACH-000045,-0.12432062262499999
ACH-000047,-0.23296133512800002
ACH-000052,-0.272500507641
ACH-000053,-0.20495566124
ACH-000054,-0.17645115311
ACH-000055,-0.0385239968581
ACH-000060,-0.19754100619000003
ACH-000067,-0.06577978073969999
ACH-000070,-0.277615881176
ACH-000075,0.017248640358400003
ACH-000078,-0.09711971757269999
ACH-000082,-0.141796124138
ACH-000085,-0.12128497955499999
ACH-000086,-0.230528648477
ACH-000087,-0.16009816656099998
ACH-000092,-0.0811650945626
ACH-000095,-0.102222161852
ACH-000097,-0.163591298991
ACH-000098,-0.08469977927339999
ACH-000099,-0.158473817738
ACH-000108,-0.40402135373099995
ACH-000113,-0.068376050864
ACH-000115,-0.424635078812
ACH-000116,-0.131167048228
ACH-000118,-0.391078265615
ACH-000120,-0.12998373593499998
ACH-000123,-0.10900299883199999
ACH-000127,-0.22277856562399997
ACH-000128,-0.327439901977
ACH-000132,-0.146318505918
ACH-000133,-0.16626814038899998
ACH-000137,0.10085033285900001
ACH-000138,-0.27869977406999996
ACH-000142,0.0261169781862
ACH-000143,-0.194626246619
ACH-000146,-0.05184707357369999
ACH-000148,-0.11709723482899999
ACH-000150,0.00542952012791
ACH-000152,-0.14710802982
ACH-000153,-0.25052577510400004
ACH-000159,-0.24715475485
ACH-000160,-0.25661641888799996
ACH-000163,-0.292484458375
ACH-000167,-0.228474565552
ACH-000168,0.150148418808
ACH-000169,-0.297745490312
ACH-000178,-0.299750828465
ACH-000182,-0.260740220451
ACH-000183,-0.143890178531
ACH-000188,-0.125639698363
ACH-000189,-0.415961871488
ACH-000190,-0.00862689750302
ACH-000198,-0.11804608215199999
ACH-000204,-0.149157896394
ACH-000206,-0.118151479014
ACH-000207,-0.17952816500799998
ACH-000211,-0.11244360169199999
ACH-000215,-0.32719970091999995
ACH-000221,-0.355811788195
ACH-000222,-0.112919090986
ACH-000223,-0.13035532520999998
ACH-000226,-0.197355953343
ACH-000227,-0.24184781041499998
ACH-000228,-0.0467284353027
ACH-000231,-0.20684716160500002
ACH-000232,-0.201176106529
ACH-000233,-0.12112579663300001
ACH-000234,-0.257894796426
ACH-000235,-0.24538633094099999
ACH-000237,-0.187379267536
ACH-000238,-0.10762480539000001
ACH-000243,-0.132617293859
ACH-000244,0.15704324012499998
ACH-000246,-0.21013878865
ACH-000248,-0.0963885870939
ACH-000250,-0.223634093805
ACH-000251,0.033509933831199996
ACH-000253,-0.09487482766169998
ACH-000255,-0.18844695918200002
ACH-000256,-0.0378907438065
ACH-000257,0.17554054475699998
ACH-000258,-0.235701788865
ACH-000259,-0.24166860281599997
ACH-000260,-0.220164841103
ACH-000261,-0.20898443704
ACH-000262,-0.42586382520099997
ACH-000263,-0.0654196887988
ACH-000264,-0.241182785789
ACH-000265,-0.26916461677700004
ACH-000266,-0.282454734929
ACH-000272,-0.195298546129
ACH-000273,-0.16616098081
ACH-000274,-0.245989104091
ACH-000277,-0.150477136231
ACH-000278,-0.102770205585
ACH-000279,-0.16424026793500002
ACH-000280,-0.284334980824
ACH-000281,-0.462185559027
ACH-000288,-0.12374391616599999
ACH-000291,-0.19087722410100003
ACH-000293,-0.06691562703290001
ACH-000294,-0.107334429927
ACH-000295,-0.239642347255
ACH-000296,-0.16447929867900002
ACH-000302,-0.21682526459399998
ACH-000304,-0.19124080628899998
ACH-000307,-0.0910154429032
ACH-000308,-0.20122673905699998
ACH-000310,-0.19494180426600002
ACH-000311,-0.15567770013499999
ACH-000312,-0.257729722189
ACH-000315,-0.275565188501
ACH-000316,-0.07280353656260001
ACH-000317,-0.375089661454
ACH-000318,-0.176930228926
ACH-000319,-0.0148242156458
ACH-000320,-0.163122803619
ACH-000322,-0.000487459347115
ACH-000323,-0.178567539999
ACH-000324,-0.217475347289
ACH-000329,-0.17174780731699998
ACH-000330,-0.104316730501
ACH-000331,-0.107608695289
ACH-000332,-0.202942005089
ACH-000334,-0.362618804517
ACH-000335,0.206487390412
ACH-000336,0.09156661183749999
ACH-000337,-0.2573962039
ACH-000339,-0.165582747561
ACH-000341,0.013219622723900001
ACH-000348,-0.19726983915100002
ACH-000350,-0.323044953043
ACH-000352,-0.183891828724
ACH-000356,-0.21466748802000002
ACH-000361,-0.109385040305
ACH-000362,-0.10529473895199999
ACH-000363,-0.091722910697
ACH-000364,-0.204640257935
ACH-000365,-0.132429916187
ACH-000366,-0.17323720629500003
ACH-000368,-0.212279184766
ACH-000374,-0.177905698466
ACH-000375,-0.240372834551
ACH-000376,-0.127103547819
ACH-000381,-0.27325663583
ACH-000383,-0.167882410374
ACH-000387,-0.185082878005
ACH-000389,-0.219281291798
ACH-000390,-0.320320860626
ACH-000393,-0.17292828533799998
ACH-000395,-0.130925839132
ACH-000397,-0.17540113376299998
ACH-000401,-0.243248892868
ACH-000402,-0.22663018577799998
ACH-000403,-0.219197123098
ACH-000404,-0.224343181131
ACH-000406,-0.220772852245
ACH-000407,-0.25646277695999997
ACH-000408,0.10830024720899999
ACH-000410,-0.0366621111
ACH-000411,-0.19699007378199998
ACH-000414,-0.327819556946
ACH-000415,-0.107392420023
ACH-000416,-0.252330203739
ACH-000420,-0.22244209245000002
ACH-000421,-0.12177487736400001
ACH-000424,-0.0856806722731
ACH-000425,-0.149823229967
ACH-000426,-0.026457732174299996
ACH-000427,-0.09683433471769999
ACH-000433,-0.21420656593100001
ACH-000436,-0.0039786559238
ACH-000444,-0.232606200797
ACH-000445,-0.339040998812
ACH-000448,-0.225789618825
ACH-000450,0.028452584926100002
ACH-000452,-0.136819340696
ACH-000454,-0.112726500952
ACH-000458,-0.0690999960694
ACH-000459,-0.20287734052099998
ACH-000460,-0.226553269547
ACH-000461,0.0637880883326
ACH-000463,-0.138479126577
ACH-000464,-0.036549500604300005
ACH-000466,-0.302475372016
ACH-000467,-0.23046485121100002
ACH-000468,-0.22695700393000004
ACH-000469,-0.314479234515
ACH-000470,0.00792682642655
ACH-000471,-0.23684789231400002
ACH-000472,-0.198824976919
ACH-000473,-0.134432046112
ACH-000475,-0.20398326149
ACH-000476,-0.235931139871
ACH-000477,0.08658400510150001
ACH-000480,-0.308321105623
ACH-000481,-0.221155970058
ACH-000483,-0.27666893585200003
ACH-000484,0.06974430819869999
ACH-000485,-0.231847467984
ACH-000486,-0.181675790903
ACH-000487,-0.399791743179
ACH-000488,-0.105212947793
ACH-000490,-0.23327190231699999
ACH-000491,-0.35456455184
ACH-000495,-0.195731587281
ACH-000496,-0.137096191553
ACH-000499,-0.0998692576739
ACH-000500,0.037294367571400006
ACH-000502,-0.206831650988
ACH-000503,-0.251893457567
ACH-000505,-0.163529730168
ACH-000507,-0.144594910489
ACH-000510,-0.04857460616169999
