,HAMP (57817)
ACH-000004,-1.00031769884
ACH-000007,-0.507013344083
ACH-000009,-0.803388566366
ACH-000011,-0.907147888056
ACH-000012,-0.730301150202
ACH-000013,-1.09071368916
ACH-000014,-0.82312357335
ACH-000015,-1.0045582985500001
ACH-000017,-1.1924863403000001
ACH-000018,-0.709457912871
ACH-000019,-1.12671032
ACH-000021,-0.8879882334200001
ACH-000022,-1.15232710019
ACH-000025,-0.557115897913
ACH-000028,-0.658869607076
ACH-000030,-1.0407778194600001
ACH-000035,-0.946394219662
ACH-000036,-0.7317414612809999
ACH-000037,-1.0573213444399998
ACH-000039,-0.702095386338
ACH-000040,-0.580997626974
ACH-000041,-0.958079032939
ACH-000042,-1.00791275592
ACH-000045,-0.882748564288
ACH-000047,-0.761991504764
ACH-000052,-0.513856686889
ACH-000053,-0.872480241312
ACH-000054,-0.858138927085
ACH-000055,-0.793486072791
ACH-000060,-0.609007475691
ACH-000067,-0.7320658592129999
ACH-000070,-0.871041362512
ACH-000075,-0.587928111979
ACH-000078,-1.00251697551
ACH-000082,-0.882338981853
ACH-000085,-1.0306490519
ACH-000086,-0.740226576108
ACH-000087,-1.2453772277500001
ACH-000092,-0.818785109197
ACH-000095,-0.8622536171809999
ACH-000097,-0.9323839870370001
ACH-000098,-0.858736380619
ACH-000099,-0.800476571128
ACH-000108,-0.47368123727600003
ACH-000113,-0.9957093536239999
ACH-000115,-1.2537529236799998
ACH-000116,-0.8194058106829999
ACH-000118,-0.880290193866
ACH-000120,-0.728704631885
ACH-000123,-0.922011918293
ACH-000127,-0.850633371057
ACH-000128,-0.783754144086
ACH-000132,-0.754293939023
ACH-000133,-0.756961383763
ACH-000137,-0.930704831622
ACH-000138,-0.8274778904819999
ACH-000142,-1.00676284533
ACH-000143,-0.837240913787
ACH-000146,-1.06254577474
ACH-000148,-0.7689381056550001
ACH-000150,-0.735554086984
ACH-000152,-0.675603682199
ACH-000153,-0.795789880279
ACH-000159,-1.0771052903899998
ACH-000160,-1.04866968638
ACH-000163,-0.36019717717699995
ACH-000167,-0.968541646766
ACH-000168,-1.0180271858299998
ACH-000169,-0.8528846813
ACH-000178,-0.654590888873
ACH-000182,-0.987093785259
ACH-000183,-0.8188998367129999
ACH-000188,-1.03530758179
ACH-000189,-0.693417996656
ACH-000190,-0.7668952414489999
ACH-000198,-0.765533583221
ACH-000204,-0.554500199093
ACH-000206,-1.39101297317
ACH-000207,-0.8014083107960001
ACH-000211,-0.904702696108
ACH-000215,-0.874207577068
ACH-000221,-0.9643297029440001
ACH-000222,-0.734010197355
ACH-000223,-0.7181483498810001
ACH-000226,-0.793627528845
ACH-000227,-0.995854175353
ACH-000228,-0.998529753143
ACH-000231,-0.625523835187
ACH-000232,-0.890030556405
ACH-000233,-0.9102030342659999
ACH-000234,-0.946997585765
ACH-000235,-0.8745416856980001
ACH-000237,-0.795282295388
ACH-000238,-0.654439267487
ACH-000243,-0.8699710782960001
ACH-000244,-0.644663401554
ACH-000246,-0.873042598814
ACH-000248,-0.587983442791
ACH-000250,-0.7649751214280001
ACH-000251,-0.9843492746539999
ACH-000253,-1.01882708421
ACH-000255,-0.919400758421
ACH-000256,-0.928029382298
ACH-000257,-0.711586269984
ACH-000258,-0.778507004238
ACH-000259,-0.985388787108
ACH-000260,-0.701555189689
ACH-000261,-0.951688492947
ACH-000262,-0.32087873783599996
ACH-000263,-0.961241992901
ACH-000264,-0.8300598119689999
ACH-000265,-0.9585628700200001
ACH-000266,-0.926583819632
ACH-000272,-0.69328381743
ACH-000273,-0.920203521003
ACH-000274,-1.12044615884
ACH-000277,-1.06950305338
ACH-000278,-0.9422334143459999
ACH-000279,-0.884273631221
ACH-000280,-0.7048479075380001
ACH-000281,-0.43097386804899995
ACH-000288,-0.761704457543
ACH-000291,-0.8737860243269999
ACH-000293,-1.75066422463
ACH-000294,-0.876803258097
ACH-000295,-0.932281748018
ACH-000296,-0.55287625211
ACH-000302,-1.1768377917200001
ACH-000304,-1.17187593063
ACH-000307,-0.689393007903
ACH-000308,-0.9118222637569999
ACH-000310,-1.1328764409799998
ACH-000311,-0.9565836073639999
ACH-000312,-0.501700752666
ACH-000315,-0.53544170368
ACH-000316,-0.5666005487610001
ACH-000317,-0.446506957033
ACH-000318,-1.15126312167
ACH-000319,-0.6998328392919999
ACH-000320,-0.620959109746
